sample	BertuzziAS_2018__ERS2032089	BertuzziAS_2018__ERS2032090	BertuzziAS_2018__ERS2032091	BertuzziAS_2018__ERS2032092	BertuzziAS_2018__ERS2032093	BertuzziAS_2018__ERS2032094	BertuzziAS_2018__ERS2032095	BertuzziAS_2018__ERS2032096	BertuzziAS_2018__ERS2032097	BertuzziAS_2018__ERS2032098	BertuzziAS_2018__ERS2032099	BertuzziAS_2018__ERS2032100	BertuzziAS_2018__ERS2032101	BertuzziAS_2018__ERS2032102	BertuzziAS_2018__ERS2032103	BertuzziAS_2018__ERS2032104	BertuzziAS_2018__ERS2032105	BertuzziAS_2018__ERS2032106	BertuzziAS_2018__ERS2032107	BertuzziAS_2018__ERS2032108	BertuzziAS_2018__ERS2032109	BertuzziAS_2018__ERS2032110	BertuzziAS_2018__ERS2032111	BertuzziAS_2018__ERS2032112	BertuzziAS_2018__ERS2032113	BertuzziAS_2018__ERS2032114	BertuzziAS_2018__ERS2032115	BertuzziAS_2018__ERS2032116	BertuzziAS_2018__ERS2032117	BertuzziAS_2018__ERS2032118	BertuzziAS_2018__ERS2032119	BertuzziAS_2018__ERS2032120	BertuzziAS_2018__ERS2032121	BertuzziAS_2018__ERS2032122	BertuzziAS_2018__ERS2032123	BertuzziAS_2018__ERS2032124	BertuzziAS_2018__ERS2032125	BertuzziAS_2018__ERS2032126	BertuzziAS_2018__ERS2032127	BertuzziAS_2018__ERS2032128	BertuzziAS_2018__ERS2032129	BertuzziAS_2018__ERS2032130
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Psychrobacter|s__Psychrobacter_immobilis|t__SGB10459	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23619	0.57471	9.34473	0.0	1.53469	14.72958	19.80143	0.0	1.27577	10.04832	2.17677	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Psychrobacter|s__Psychrobacter_namhaensis|t__SGB23002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48407	4.14884	0.0	0.01295	0.27379	0.0152	0.0	0.0	0.25803	1.24358	0.0	0.0	0.0	0.02195	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12726	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Psychrobacter|s__Psychrobacter_aquimaris|t__SGB23000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.61171	0.0186	3.07029	0.0	0.1441	3.0442	0.12911	0.0	0.29227	1.5497	1.62126	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecalis|t__SGB7962	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00568	0.0	0.0	0.15421	0.05371	0.0	0.0	0.0	0.01227	0.0	0.0	0.0	0.00256	0.0	0.0	0.0	0.0	0.0	0.0
k__Eukaryota|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Penicillium|s__Penicillium_camemberti|t__EUK5075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04666	0.18812	0.0	0.0	0.021	0.0	0.0	0.04403	0.0	0.03167	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_variabile|t__SGB17034	0.0	0.0	0.0	0.0	0.0	0.0	0.00902	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57519	2.01856	0.0	0.02159	2.70062	1.00619	0.0	0.08058	0.61915	1.39298	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00221	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Brevibacteriaceae|g__Brevibacterium|s__Brevibacterium_linens|t__SGB16634	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14147	0.87692	0.0	0.28773	1.1675	0.8948	0.0	0.11347	0.66283	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.93995	36.84955	33.18534	0.07273	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_helveticus|t__SGB7048	3.14713	2.15324	3.37865	2.59918	2.85258	3.36037	3.08464	3.16341	2.33856	3.38804	1.90787	2.87994	2.54343	3.10963	2.3714	1.06187	2.85192	2.2117	2.40986	0.32449	3.81912	1.36983	1.9042	0.48538	2.43253	2.97507	0.48497	2.21405	2.53589	2.0522	0.99143	0.52868	3.50247	3.31423	2.03462	0.83701	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_saprophyticus|t__SGB7848	0.00139	0.01535	0.28242	1.55741	0.0	0.0	0.80588	0.01421	0.0	0.0	1.23178	0.3984	0.0	44.37568	10.23837	9.7345	0.00786	29.97498	12.3309	19.65543	0.0	33.37362	12.61342	16.03681	0.0	0.00562	0.01082	0.0	0.0	0.0	0.0	0.0	0.0	0.01427	0.00657	0.00489	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_edaphicus|t__SGB7849	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00258	0.00061	0.0	0.00853	0.0	0.00116	0.0	0.01023	0.00233	0.00253	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Eukaryota|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Penicillium|s__Penicillium_roqueforti|t__EUK5082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04581	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_thermophilus|t__SGB8002	56.62375	77.78861	57.1696	55.48061	52.37301	67.96152	81.05066	62.29119	52.56557	69.70581	71.4385	70.89167	56.60755	25.37864	39.07842	23.69013	49.01505	17.62142	36.80601	14.0108	56.25819	17.98765	35.53381	16.78098	49.54266	48.09697	25.0178	31.57981	58.16609	38.18926	24.09802	22.17395	52.32086	33.0927	32.60675	34.02617	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Latilactobacillus|s__Latilactobacillus_curvatus|t__SGB7249	0.0	0.0	0.0	0.02338	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02833	0.0	0.0	0.0	0.00291	0.0	0.0	0.0	0.09772	0.0	0.0	0.0	0.07442	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_carnosus|t__SGB7987	0.0	0.00059	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00097	0.0	0.0	0.0	0.00203	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_shinii|t__SGB7846	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00514	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Geobacillus|s__Geobacillus_stearothermophilus|t__SGB8344	0.02943	0.01312	0.00466	0.00312	0.02291	0.01004	0.0	0.01255	0.03638	0.0	0.0	0.00165	0.0529	0.0	0.0	0.0	0.0813	0.0	0.0	0.0	0.03404	0.0	0.0	0.0	0.04496	0.0	0.0	0.0	0.04248	0.0	0.0	0.0	0.02324	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_infantarius|t__SGB8022	0.00379	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00322	0.0	0.0	0.0	0.00915	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
