sample	KastmanEK_2016__CSB962	KastmanEK_2016__CSB907	KastmanEK_2016__CSB888	KastmanEK_2016__CSB875	KastmanEK_2016__CSB870	KastmanEK_2016__CSB739	KastmanEK_2016__CSB737	KastmanEK_2016__CSB734	KastmanEK_2016__CSB729	KastmanEK_2016__CSB726	KastmanEK_2016__CSB720	KastmanEK_2016__CSB694	KastmanEK_2016__CSB619	KastmanEK_2016__CSB600	KastmanEK_2016__CSB409	KastmanEK_2016__CSB387	KastmanEK_2016__CSB341	KastmanEK_2016__CSB307
macrocategory	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food
category	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy
type	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese
subtype	cheese_rind	cheese_rind	cheese_rind	cheese_rind	cheese_rind	cheese_rind	cheese_rind	cheese_rind	cheese_rind	cheese_rind	cheese_rind	cheese_rind	cheese_rind	cheese_rind	cheese_rind	cheese_rind	cheese_rind	cheese_rind
country	USA	FRA	ITA	FRA	ESP	USA	USA	USA	USA	USA	USA	FRA	USA	USA	FRA	GBR	ESP	FRA
source	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Alkalibacterium|s__Alkalibacterium_gilvum|t__SGB7879	0.0	0.0	0.0	0.04801	0.0	0.0	0.0	0.0	0.0	0.0	0.17108	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Carnobacterium|s__Carnobacterium_maltaromaticum|t__SGB7902	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09049	0.0	0.0	0.0	0.0	0.0	0.09214	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Carnobacterium|s__Carnobacterium_sp_CS13|t__SGB7911	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02777	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Marinilactibacillus|s__Marinilactibacillus_psychrotolerans|t__SGB7876	0.0	0.0	0.0	0.00132	0.0	0.0	0.0	0.0	0.0	0.0	0.07323	0.0	0.02677	0.0	0.0	0.0	0.0	0.09136
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_devriesei|t__SGB7928	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.64705	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecalis|t__SGB7962	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06651	0.0	0.0	0.0	0.04612	0.0	0.0	0.01924
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_malodoratus|t__SGB7932	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0951	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Tetragenococcus|s__Tetragenococcus_halophilus|t__SGB7926	0.0	0.0	0.0	0.0	0.01067	0.18922	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00922	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Tetragenococcus|s__Tetragenococcus_koreensis|t__SGB29882	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04354	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Vagococcus|s__Vagococcus_fluvialis|t__SGB7918	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19238	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lacticaseibacillus|s__Lacticaseibacillus_paracasei|t__SGB7142_group	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.09561	0.0	0.0	0	0.0	0	0.023	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactiplantibacillus|s__Lactiplantibacillus_plantarum|t__SGB7202	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.01526	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Latilactobacillus|s__Latilactobacillus_curvatus|t__SGB7249	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.02417	0.00897	0.0	0	0.0	0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_mesenteroides|t__SGB7126	0	0.0	0	0.0	0.0	0.0	0.0	0.0	1.51049	0.0	0.11355	0	0.0	0	2.22905	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Loigolactobacillus|s__Loigolactobacillus_coryniformis|t__SGB7198	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.01339	0.0	0	0.0	0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Weissella|s__Weissella_hellenica|t__SGB29577	0	0.0	0	0.0	0.05446	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Weissella|s__Weissella_jogaejeotgali|t__SGB7119	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.16898
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Weissella|s__Weissella_paramesenteroides|t__SGB7118	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.01046	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_cremoris|t__SGB7984	0	0.06044	0	0.20188	0.0	0.14568	0.0	0.02717	0.36653	0.0	0.0	0	0.0	0	1.18091	0.0	0.0	0.14381
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_lactis|t__SGB7985	0	0.00557	0	0.57388	0.84171	1.87486	0.01027	1.25574	12.60106	0.0	1.23575	0	0.0	0	2.04212	0.10352	0.01085	1.54438
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_parauberis|t__SGB8228	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.016	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_thermophilus|t__SGB8002	0	0.27018	0	0.44187	0.0	0.21987	0.0	0.16546	2.211	0.0	0.0	0	1.17536	0	0.86094	0.0	0.0	0.22557
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Corticimicrobacter|s__Corticimicrobacter_populi|t__SGB22618	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0.00071	0
k__Bacteria|p__Proteobacteria|c__CFGB55768|o__OFGB55768|f__FGB55768|g__GGB72429|s__GGB72429_SGB99621|t__SGB99621	0.06407	0	0	0	0	0	0	0	0	0	0	0	0	0.3702	0	0.07476	0.0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Pseudoalteromonadaceae|g__Pseudoalteromonas|s__Pseudoalteromonas_nigrifaciens|t__SGB13904	0	0	0	0	0	0	0	0	0	0	0	0.1316	0	0	0.0	0	0.0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli|t__SGB10068	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.08513	0	0.0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Kluyvera|s__Kluyvera_cryocrescens|t__SGB23242	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.07257	0	0.0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Kluyvera|s__Kluyvera_intermedia|t__SGB31156	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	2.09598	0	0.0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Lelliottia|s__Lelliottia_amnigena|t__SGB10146	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.83994	0	0.0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Hafniaceae|g__Hafnia|s__Hafnia_paralvei|t__SGB10207	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	1.00952	0	0.0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Proteus|s__Proteus_vulgaris|t__SGB9993	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.01888	0	0.0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Providencia|s__Providencia_heimbachae|t__SGB10009	0	0	0	0	0	0	0	0	0	0	0	0.00397	0	0	0.0	0	0.0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Serratia|s__Serratia_liquefaciens|t__SGB10256	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.31723	0	0.0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Serratia|s__Serratia_quinivorans|t__SGB10257	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0	0.00619	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Psychrobacter|s__Psychrobacter_aquimaris|t__SGB23000	0.0	0	0	0.0	0	0	0	0	0	0	0.03746	0.02522	0	0	0	0.0	0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Psychrobacter|s__Psychrobacter_celer|t__SGB10449	0.0	0	0	0.0	0	0	0	0	0	0	0.06612	0.0	0	0	0	0.0	0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Psychrobacter|s__Psychrobacter_faecalis|t__SGB10464	0.0	0	0	0.0	0	0	0	0	0	0	0.17893	0.11401	0	0	0	0.0	0	0.34443
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Psychrobacter|s__Psychrobacter_immobilis|t__SGB10459	0.0	0	0	0.0	0	0	0	0	0	0	0.06657	0.57365	0	0	0	0.0	0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Psychrobacter|s__Psychrobacter_sp_FME13|t__SGB69382	0.0	0	0	0.02156	0	0	0	0	0	0	0.0	0.0	0	0	0	0.0	0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Psychrobacter|s__Psychrobacter_sp_FME5|t__SGB69383	0.0	0	0	0.2082	0	0	0	0	0	0	0.0	11.5321	0	0	0	0.0	0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae|g__Halomonas|s__Halomonas_SGB69225|t__SGB69225	0.00241	0	0	0.0	0	0	0	0	0	0	0.0	0.02942	0	0	0	0.0	0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae|g__Halomonas|s__Halomonas_sp_FME1|t__SGB11844	0.0	0	0	0.07643	0	0	0	0	0	0	0.0	0.55263	0	0	0	16.30599	0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_helleri|t__SGB12098	0.0	0	0.0	0	0	0	0	0.0	0.0	0	0.0	0	0.0	0	0.59105	0	0.0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_lundensis|t__SGB12101	0.0	0	0.0	0	0	0	0	0.0	0.0	0	0.0	0	0.0	0	0.15575	0	0.0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_lundensis|t__SGB12102	0.0	0	0.0	0	0	0	0	0.0	0.0	0	0.0	0	0.0	0	0.0535	0	0.0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_putida|t__SGB12293	0.0	0	0.0	0	0	0	0	0.0	0.0	0	0.0	0	0.0	0	0.12052	0	0.0	0
k__Eukaryota|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__Aspergillus_sp_MA_6041|t__EUK2153248	0.0	0	0.0	0	0	0	0	0.0	0.0	0	0.0	0	0.0	0	0.0	0	0.20499	0
k__Eukaryota|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Penicillium|s__Penicillium_camemberti|t__EUK5075	0.33036	0	2.38784	0	0	0	0	0.56353	0.28658	0	0.0884	0	12.78948	0	0.0	0	0.0	0
k__Eukaryota|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Penicillium|s__Penicillium_roqueforti|t__EUK5082	0.0	0	0.0	0	0	0	0	0.0	0.11416	0	0.48863	0	0.0	0	0.0	0	0.0	0
k__Eukaryota|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Penicillium|s__Penicillium_sp_SPG_F1|t__EUK2488753	0.0	0	8.8699	0	0	0	0	0.0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Candida|s__Candida_parapsilosis|t__EUK5480	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.04029	0	0.0	0.0	0	0.0	0.0	0.0
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Debaryomyces|s__Debaryomyces_hansenii_group_1|t__EUK4959_1	1.58074	1.89375	20.74057	0	5.86639	18.96184	0.49771	9.3911	19.76121	3.07406	1.95899	0	35.80206	1.26998	0	0.13843	0.27975	2.19341
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Debaryomyces|s__Debaryomyces_nepalensis|t__EUK27299	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.05428	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0.0
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Pichiaceae|g__Pichia|s__Pichia_kudriavzevii|t__EUK4909	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.01399	0	0.0	0.0	0	0.0	0.0	0.0
