clade_name	ArocheXA_2025__SRR32671091	ArocheXA_2025__SRR32671092	ArocheXA_2025__SRR32671084	ArocheXA_2025__SRR32671085	ArocheXA_2025__SRR32671090	ArocheXA_2025__SRR32671081	ArocheXA_2025__SRR32671093	ArocheXA_2025__SRR32671096	ArocheXA_2025__SRR32671094	ArocheXA_2025__SRR32671082	ArocheXA_2025__SRR32671083
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Tatumella|s__Tatumella_ptyseos|t__SGB165755	0.0	0.47247	0.0	0.02991	0.10963	0.0	0.62205	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter_baretiae|t__SGB92557	0.0	0.13227	0.0	0.0	0.02948	0.0	0.0	0.0	0.3148	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Orbales|f__Orbaceae|g__Gilliamella|s__Gilliamella_SGB165667|t__SGB165667	0.0	0.0	18.46042	0.54233	0.0	0.0	0.0	1.80558	0.16178	0.29079	0.0
k__Bacteria|p__Campylobacterota|c__Epsilonproteobacteria|o__Campylobacterales|f__Arcobacteraceae|g__Aliarcobacter|s__Aliarcobacter_cryaerophilus|t__SGB19418	0.0	0.0	14.76594	2.74648	0.03708	0.0	0.0	1.47803	0.0	9.05632	24.02211
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Asaia|s__Asaia_bogorensis|t__SGB1172	0.0	0.0	9.50303	2.00307	0.34758	0.0	0.0	0.0	0.0	1.3342	0.91699
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillaceae_unclassified|s__Lactobacillaceae_bacterium_L1_55_11|t__SGB208551	0.0	0.0	4.45696	0.0	0.0	0.0	0.0	0.0	0.0	0.30972	1.3294
k__Bacteria|p__Campylobacterota|c__Epsilonproteobacteria|o__Campylobacterales|f__Arcobacteraceae|g__GGB26853|s__GGB26853_SGB77197|t__SGB77197	0.0	0.0	2.59462	0.81099	0.0	0.0	0.0	0.0	0.0	0.81185	2.30669
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_fluvialis|t__SGB22850	0.0	0.0	1.62582	1.89357	0.0	0.0	0.0	0.23778	0.0	1.91436	5.9681
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillaceae_unclassified|s__Leuconostocaceae_bacterium_ESL0723|t__SGB162849	0.0	0.0	1.51872	0.0	0.0	0.0	0.0	0.0	0.0	0.16646	0.85788
k__Bacteria|p__Bacteroidota|c__CFGB4833|o__OFGB4833|f__FGB4833|g__GGB111793|s__GGB111793_SGB193176|t__SGB193176	0.0	0.0	1.50917	0.0	0.0	0.0	0.0	0.0	0.0	1.33681	1.34456
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Rhodocyclales|f__Azonexaceae|g__Azonexus|s__Azonexus_hydrophilus|t__SGB61967	0.0	0.0	0.5299	0.03027	0.0	0.0	0.0	0.0	0.0	0.91564	0.46209
k__Bacteria|p__Campylobacterota|c__Epsilonproteobacteria|o__Campylobacterales|f__Arcobacteraceae|g__Aliarcobacter|s__Aliarcobacter_butzleri|t__SGB19413	0.0	0.0	0.26565	0.0	0.0	0.0	0.0	0.0	0.0	0.08795	0.47837
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Alteromonadaceae|g__Alishewanella|s__Alishewanella_agri|t__SGB9784	0.0	0.0	0.25946	0.42955	0.0	0.0	0.0	0.0	0.0	0.29762	0.83456
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_graminisolvens|t__SGB1924	0.0	0.0	0.14478	0.29645	0.0	0.0	0.0	0.0	0.0	0.5124	0.8224
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Acetilactobacillus|s__Acetilactobacillus_jinshanensis|t__SGB29587	0.0	0.0	0.08032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Snodgrassella|s__Snodgrassella_alvi|t__SGB9492	0.0	0.0	0.03347	0.0	0.0	0.0	0.0	0.0	0.0	0.01329	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Aquipseudomonas|s__Aquipseudomonas_alcaligenes|t__SGB12361	0.0	0.0	0.0	0.77079	0.0	0.0	0.0	0.0	0.0	0.19923	0.45324
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Pantoea|s__Pantoea_ananatis|t__SGB10194	0.0	0.0	0.0	0.6389	4.70027	0.0	0.0	0.0	0.15733	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Kosakonia|s__Kosakonia_cowanii|t__SGB10050	0.0	0.0	0.0	0.56974	0.66911	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Lysobacterales|f__Lysobacteraceae|g__Pseudoxanthomonas|s__Pseudoxanthomonas_kaohsiungensis|t__SGB88924	0.0	0.0	0.0	0.43666	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Cloacibacterium|s__Cloacibacterium_caeni|t__SGB2534	0.0	0.0	0.0	0.39666	0.0	0.0	0.0	0.0	0.0	0.27792	0.17588
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__GGB120907|s__GGB120907_SGB153180|t__SGB153180	0.0	0.0	0.0	0.33837	0.0	0.0	0.0	0.0	0.0	0.08121	0.154
k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Chryseobacterium|s__Planobacterium_oryzisoli|t__SGB78870	0.0	0.0	0.0	0.22441	0.0	0.0	0.0	0.05224	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Lysobacterales|f__Lysobacteraceae|g__Pseudoxanthomonas|s__Pseudoxanthomonas_mexicana|t__SGB88901	0.0	0.0	0.0	0.21607	0.0	0.0	0.0	0.0	0.0	0.11837	0.06515
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__GGB2734|s__GGB2734_SGB3677|t__SGB3677	0.0	0.0	0.0	0.20873	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Campylobacterota|c__Epsilonproteobacteria|o__Campylobacterales|f__Arcobacteraceae|g__Arcobacter|s__Arcobacter_cloacae|t__SGB28486	0.0	0.0	0.0	0.18903	0.0	0.0	0.0	0.0	0.0	0.326	0.29071
k__Bacteria|p__Campylobacterota|c__Epsilonproteobacteria|o__Campylobacterales|f__Arcobacteraceae|g__Arcobacter|s__Arcobacter_ellisii|t__SGB28488	0.0	0.0	0.0	0.16109	0.0	0.0	0.0	0.0	0.0	0.15618	0.09894
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_cholerae|t__SGB9862	0.0	0.0	0.0	0.12751	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Demequinaceae|g__Demequina|s__Demequina_sediminis|t__SGB175147	0.0	0.0	0.0	0.12434	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Paraburkholderia|s__Paraburkholderia_tropica|t__SGB12985	0.0	0.0	0.0	0.11745	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Lysobacterales|f__Lysobacteraceae|g__Arenimonas|s__Arenimonas_malthae|t__SGB206639	0.0	0.0	0.0	0.11745	0.0	0.0	0.0	0.0	0.0	0.03312	0.0
k__Bacteria|p__Bacteroidota|c__CFGB87840|o__OFGB87840|f__FGB87840|g__GGB46174|s__GGB46174_SGB63942|t__SGB63942	0.0	0.0	0.0	0.10841	0.0	0.0	0.0	0.0	0.0	0.6771	0.71415
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Oceanospirillales|f__Oceanospirillaceae|g__Venatoribacter|s__Venatoribacter_cucullus|t__SGB92493	0.0	0.0	0.0	0.10588	0.0	0.0	0.0	0.0	0.0	0.0	0.05301
k__Bacteria|p__Bdellovibrionota|c__Bdellovibrionia|o__Bdellovibrionales|f__Pseudobdellovibrionaceae|g__Micavibrio|s__Micavibrio_aeruginosavorus|t__SGB1221	0.0	0.0	0.0	0.10273	0.0	0.0	0.0	0.0	0.0	0.01533	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Erwiniaceae_unclassified|s__Erwiniaceae_bacterium_L1_54_3|t__SGB81771	0.0	0.0	0.0	0.08964	0.002	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Aeromonadales|f__Aeromonadaceae|g__Aeromonas|s__Aeromonas_caviae|t__SGB9955	0.0	0.0	0.0	0.08052	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Asaia|s__Asaia_bogorensis|t__SGB208092	0.0	0.0	0.0	0.06864	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Chromatiales|f__Chromatiaceae|g__Rheinheimera|s__Rheinheimera_mesophila|t__SGB9774	0.0	0.0	0.0	0.06733	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Lysobacterales|f__Lysobacteraceae|g__Stenotrophomonas|s__Stenotrophomonas_koreensis|t__SGB12444	0.0	0.0	0.0	0.05587	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Neisseriales|f__Aquaspirillaceae|g__Aquaspirillum|s__Aquaspirillum_serpens|t__SGB208671	0.0	0.0	0.0	0.05307	0.0	0.0	0.0	0.0	0.0	0.00986	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_hormaechei|t__SGB10130	0.0	0.0	0.0	0.04619	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Chromatiales|f__Chromatiaceae|g__Rheinheimera|s__Rheinheimera_tangshanensis|t__SGB9773	0.0	0.0	0.0	0.04488	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__GGB14856|s__GGB14856_SGB103011|t__SGB103011	0.0	0.0	0.0	0.0435	0.0	0.0	0.0	0.2184	0.0	0.0	0.0
k__Bacteria|p__Bdellovibrionota|c__CFGB26207|o__OFGB26207|f__FGB26207|g__GGB26207|s__GGB26207_SGB38233|t__SGB38233	0.0	0.0	0.0	0.03499	0.0	0.0	0.0	0.0	0.0	0.0	0.0
