clade_name	SantAnnaMF_2025__SRR30729946	SantAnnaMF_2025__SRR30729947	SantAnnaMF_2025__SRR30729948	SantAnnaMF_2025__SRR30729949	SantAnnaMF_2025__SRR30729950	SantAnnaMF_2025__SRR30729951	SantAnnaMF_2025__SRR30729952	SantAnnaMF_2025__SRR30729953	SantAnnaMF_2025__SRR30729954	SantAnnaMF_2025__SRR30729955	SantAnnaMF_2025__SRR30729956	SantAnnaMF_2025__SRR30729958	SantAnnaMF_2025__SRR30729957	SantAnnaMF_2025__SRR30729959	SantAnnaMF_2025__SRR30729960	SantAnnaMF_2025__SRR30729961	SantAnnaMF_2025__SRR30729962	SantAnnaMF_2025__SRR30729963	SantAnnaMF_2025__SRR30729964	SantAnnaMF_2025__SRR30729965	SantAnnaMF_2025__SRR30729966	SantAnnaMF_2025__SRR30729967	SantAnnaMF_2025__SRR30729968	SantAnnaMF_2025__SRR30729969	SantAnnaMF_2025__SRR30729970	SantAnnaMF_2025__SRR30729971	SantAnnaMF_2025__SRR30729972	SantAnnaMF_2025__SRR30729973	SantAnnaMF_2025__SRR30729974	SantAnnaMF_2025__SRR30729975	SantAnnaMF_2025__SRR30729976	SantAnnaMF_2025__SRR30729977
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_casei|t__SGB9845	0.0	0.0	1.75581	0.0	1.87422	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_SGB211232|t__SGB211232	0.0	0.0	1.40968	0.0	0.88763	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Psychrobacter|s__Psychrobacter_immobilis|t__SGB10459	0.0	0.0	0.83918	0.0	5.1265	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Micrococcaceae|g__Glutamicibacter|s__Glutamicibacter_arilaitensis|t__SGB16749	0.0	0.0	0.37581	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Debaryomyces|s__Debaryomyces_hansenii_group_1|t__EUK4959_1	0.0	0.0	0.15764	0.0	0.0	12.23152	0.0	0.29309	0.0	54.42536	0.0	51.04091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.35312	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae|g__Halomonas|s__Halomonas_SGB69225|t__SGB69225	0.0	0.0	0.0	0.0	0.15305	0.0	65.23201	6.2335	0.0	0.0	66.61805	0.0	19.99245	0.21059	0.08832	0.0	0.08295	3.44521	0.0	0.0	0.29107	0.43246	0.0	1.25645	3.49686	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__GGB49922|s__GGB49922_SGB69917|t__SGB69917	0.0	0.0	0.0	0.0	0.0	0.0	20.64041	35.20982	0.0	0.0	18.3696	0.0	78.0039	0.0	0.4093	0.0	0.0	13.73328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_casei|t__SGB17127	0.0	0.0	0.0	0.0	0.0	0.0	3.40139	27.00471	0.0	0.0	3.29477	0.0	0.18214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Brevibacteriaceae|g__Brevibacterium|s__Brevibacterium_aurantiacum|t__SGB16639	0.0	0.0	0.0	0.0	0.0	0.0	3.34296	16.49149	0.0	0.77397	3.24002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.98434	0.41317	0.0	0.19957	0.46303	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_equorum|t__SGB7843	0.0	0.0	0.0	0.0	0.0	0.0	2.99216	10.00958	0.0	38.59051	2.35148	32.75933	0.93311	0.0	0.02081	0.0	0.0	0.0	0.0	0.0	5.19797	2.94049	0.0	0.78542	3.98818	0.0	0.0	0.0	0.0	0.0	0.0	0.0
