	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_parauberis|t__SGB8228	0.04383	0.0	0.0	0.0	0.0	0.0	0.00226	0.03178	0.0	0.0	0.12228	0.0	0.0	0.00275	0.0	0.0	0.0	0.0	0.0	0.01383	0.02684	0.00108	0.0	0.0	0.00402	0.0	0.00171	0.00256	0.53293	0.04084	0.68706	0.01838	0.0	0.0	0.01946	0.0	0.0	0.0	0.0	0.0	0.04889	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_gallinarum|t__SGB61354	0.00167	0.0	0.0	0.0	0.0	0.00023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0014	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_SGB96887|t__SGB96887	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08834	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005	0.0	0.0	0.0	0.0	0.00807	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Psychrobacter|s__Psychrobacter_pasteurii|t__SGB10444	0.0	0.0	0.0	0.03162	0.06032	0.0042	0.00014	0.00211	0.0	0.0	0.0	0.00161	0.0	0.0	0.03081	0.0	0.00103	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00961	0.00051	0.00652	0.0	0.0	0.00176	0.0	0.00147	0.0	0.0	0.00179	0.00366	0.03385	0.05628	0.0	0.0	0.01085	0.00545	0.0	0.00165	0.1036	0.03506	0.00539	0.03203
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Moraxella|s__Moraxella_osloensis|t__SGB10439	0.03414	0.0	0.0	0.0	0.0	0.01935	0.56014	0.05802	0.26954	0.00404	0.03603	0.01298	0.00079	0.0378	0.0	0.04881	0.01867	0.0	0.01927	0.02844	0.1103	0.01244	0.0	0.0	0.00213	0.0	0.03417	0.03341	0.06396	0.1922	0.27801	0.1528	0.01505	0.05102	0.11071	0.09282	0.0	0.01922	0.0489	0.0	0.1034	0.11903	0.0	0.0	0.01638	0.04398	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_crudilactis|t__SGB33632	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02171	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00806	0.00081	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_mongoliense|t__SGB17228	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00624	0.0	0.01389	0.00515	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_raffinolactis|t__SGB7989	0.0629	0.0	0.0	0.0	0.0	0.0015	0.0	0.27446	0.00522	0.0	0.37999	0.0	0.0	0.01545	0.0	0.0	0.0	0.0	0.0	0.01559	0.04028	0.02355	0.0	0.0	0.03053	0.01128	0.00406	0.01229	0.0608	0.04408	0.33054	0.06479	0.0	0.0	0.0247	0.00153	0.0	0.0	0.00354	0.0	0.00482	0.01987	0.0	0.0	0.0	0.00654	0.0089	0.0	0.00076
k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Chryseobacterium|s__Chryseobacterium_piscium|t__SGB21875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00587	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Chryseobacterium|s__Chryseobacterium_manosquense|t__SGB2641	0.35933	0.0	0.0	0.01246	0.02328	0.16071	0.0483	0.01736	0.11369	0.00485	0.00971	0.0	0.0069	0.0	0.0	0.0	0.0	0.0	0.0	0.03109	0.27056	0.00223	0.00113	0.0	0.01571	0.0	0.07568	0.09954	0.01057	0.09369	0.16973	0.0	0.00723	0.0106	0.00764	0.01191	0.0	0.0002	0.00386	0.0	0.0	0.15488	0.0	0.0	0.0	0.02252	0.0	0.00453	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter_guillouiae|t__SGB10380	0.153	0.0	0.0	0.0	0.0	0.00129	0.00588	0.04634	0.15887	0.0	0.03414	0.0	0.03322	0.01075	0.0	0.0	0.0	0.0	0.0156	0.0037	0.00691	0.00121	0.0	0.0	0.0	0.02443	0.0023	0.0	0.0439	0.01043	0.02895	0.00743	0.0	0.0	0.0592	0.00134	0.0	0.00084	0.05313	0.0	0.05596	0.01791	0.0	0.0	0.0	0.0	0.00763	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Microbacteriaceae|g__Microbacterium|s__Microbacterium_maritypicum|t__SGB16874	0.0	0.0	0.0	0.0	0.00203	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae|g__Aerococcaceae_unclassified|s__Aerococcaceae_bacterium_DSM_111176|t__SGB94576	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter_pseudolwoffii|t__SGB10403	0.00737	0.0	0.0	0.00846	0.02023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00216	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter_albensis|t__SGB10396	0.23191	0.0	0.00199	4.52673	5.86095	0.00093	0.01323	0.00676	0.35234	0.0	8.80146	0.54395	0.0	0.00189	1.1057	0.0	0.50811	0.0	0.0	1.37009	1.29625	0.05892	0.0	0.0	0.08481	0.41641	0.45472	0.00652	0.17136	0.69388	0.00373	0.12354	0.0	0.0	0.01462	0.0	0.00368	0.07262	0.58048	0.0	0.02939	0.0	0.0	0.02672	0.0	0.46782	0.10721	0.36261	0.01144
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_freudenreichii|t__SGB15904	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00657	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__CFGB23749|o__OFGB23749|f__FGB23749|g__GGB47282|s__GGB47282_SGB65238|t__SGB65238	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00265	0.0	0.0	0.0	0.0	0.00743	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Propionibacteriaceae|g__Propioniciclava|s__Propioniciclava_flava|t__SGB35154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00209	0.0	0.00044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_marinum|t__SGB17087	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00106	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_petauri|t__SGB7980	0.00382	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01307	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter_johnsonii|t__SGB10398	0.18643	0.0	0.0	0.00807	0.01334	0.00026	0.02063	0.31895	0.13018	0.0	0.05974	0.0	0.0214	0.12621	0.0	0.0	0.0	0.0	0.00748	0.03646	0.02492	0.00873	0.0	0.0	0.0	0.03453	0.00468	0.01014	0.05763	0.03046	0.18015	0.14816	0.00383	0.0	0.01945	0.06548	0.0	0.0	0.11212	0.0	0.19213	0.0279	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_levii|t__SGB27847	0.0	0.00013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Helcococcus|s__Helcococcus_ovis|t__SGB29517	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Ottowia|s__Ottowia_oryzae|t__SGB22424	0.00068	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04262	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae|g__Fundicoccus|s__Fundicoccus_ignavus|t__SGB82637	7e-05	0.0	0.0	0.00152	0.00132	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lentilactobacillus|s__Lentilactobacillus_otakiensis|t__SGB7218	0.0	0.0	0.0	0.0	0.00032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Microbacteriaceae|g__Pseudoclavibacter|s__Pseudoclavibacter_chungangensis|t__SGB87781	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00241	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_suis|t__SGB29821_group	9e-05	0.0	0.0	0.0	0.0	0.02949	0.1387	0.22887	0.02098	0.00032	0.20835	0.00473	0.0	0.0	0.0	0.00606	0.00163	0.00229	0.01308	0.1128	1.06162	0.07233	0.0	0.0	0.01085	0.10421	0.06298	0.03069	0.00427	0.01117	0.43007	0.0	0.0007	0.04878	0.13027	0.05056	0.0	0.01639	0.35056	0.00546	0.07706	0.18426	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Epilithonimonas|s__Epilithonimonas_bovis|t__SGB2548	0.01713	0.0	0.0	0.0	0.0	0.0	0.0	0.00549	0.19676	0.0	0.0	0.0	0.0	0.0068	0.0	0.0	0.0	0.0	0.0	0.0	0.08064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14283	0.00151	0.0	0.00546	0.0	0.08895	0.08618	0.0	0.0	0.00064	0.0	0.06168	0.21287	0.0	0.0	0.00342	0.00073	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_lactis|t__SGB66296	0.01796	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01956	0.0	0.02466	0.0	0.47095	0.00215	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01101	2.73392	0.01804	0.0	0.0	0.0	0.0	0.04799	0.0	0.0	0.0	0.0	0.0	0.0	0.01394	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00101
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Limosilactobacillus|s__Limosilactobacillus_fermentum|t__SGB7106	0.04177	0.08385	0.06861	0.0	0.0	0.11278	0.22439	0.0008	0.0	0.00364	0.00428	0.0	0.0	0.07653	0.12375	0.1396	0.0	0.00546	0.0	0.00046	0.01408	0.0	0.03794	0.01233	0.12581	0.00931	0.15284	0.00616	0.07654	0.0	0.0	0.01321	0.09075	0.12416	0.49387	0.00151	0.03292	0.0	0.0	0.08091	0.0	0.0	0.0	0.04578	0.00812	0.00935	0.02342	0.01349	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_lactis|t__SGB7121	0.00974	0.0	0.0	0.34954	0.79349	0.0	0.00032	0.0	0.0	0.0	0.0	0.0	0.0	0.01765	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10996	0.0	0.12233	0.0	0.0	0.0	0.0	0.08208	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15217	0.0	0.0	0.0	0.0	0.0	2.56044	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Hydrogenophilia|o__Hydrogenophilales|f__Hydrogenophilaceae|g__Tepidiphilus|s__Tepidiphilus_succinatimandens|t__SGB12605	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01387	0.0	0.0	0.01429	0.0	0.0	0.0	0.0	0.0	0.0	0.14994	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_infantarius|t__SGB8022	0.0	0.0	0.0	0.0	0.0	0.00178	0.0	0.01765	0.0	0.0	0.02501	0.0	0.0	0.0	0.0	0.01406	0.0	0.0	0.01004	0.09765	0.0	0.0	0.0	0.0	0.0	0.0175	0.0	0.0	0.02753	0.08467	0.0	0.0	0.0	0.0	0.0	0.6553	0.0	0.0	0.0	0.0	0.09768	0.12284	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Acidovorax|s__Acidovorax_temperans|t__SGB12690	0.03725	0.0	0.0	0.0	0.0	0.00111	0.00154	0.0	0.01426	0.00204	0.0	0.0	0.0	0.00049	0.0	0.0	0.0	0.0	0.0	0.00243	0.0043	0.0	0.0	0.0	0.00411	0.0	0.08507	0.00172	0.0	0.0	0.0	0.0	0.0	0.0	0.00504	0.0	0.0	0.0	0.0	0.0	0.00116	0.08193	0.0	0.0	0.0	0.00471	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_fabarum|t__SGB1190	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00208	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00498	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_kefiranofaciens|t__SGB7046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00416	0.0	0.0	0.0	0.0	0.0	0.00471	0.0	0.0	0.0	0.0	0.0004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00242	0.0	0.0	0.0	0.0	0.01572	0.0	0.0	0.0	0.0	0.01055	0.0	0.0	0.00559	0.04882	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lentilactobacillus|s__Lentilactobacillus_kefiri|t__SGB7221	0.0	0.0	0.0	0.03414	0.04131	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00339	0.0	0.0	0.0	0.0	0.0	0.0	0.00264	0.0	0.01378	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_orientalis|t__SGB1187	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00712	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Macrococcoides|s__Macrococcoides_caseolyticum|t__SGB7869	0.0	0.0	0.0	0.0	0.0	0.0	0.0122	0.02243	0.15296	0.0	0.01615	0.0	0.0	0.03606	0.0	0.00109	0.0	0.0	0.12097	0.0	0.00729	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01087	0.07798	0.32399	0.0	0.00071	0.00606	0.0	0.0	0.0	0.0	0.00033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Caryophanaceae|g__Kurthia|s__Kurthia_gibsonii|t__SGB7515	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03284	0.0	0.0	0.0	0.0	0.0	0.00338	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00377	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_asburiae|t__SGB10141_group	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0231	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26892	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter_baumannii|t__SGB10343	0.0	0.0	0.0	0.0	0.0	0.0	0.00226	0.0	0.09569	0.0	0.0	0.0	0.0	0.0	0.0	0.00346	0.0	0.0	0.00951	0.0	0.0	0.00705	0.0	0.0	0.0	0.0	0.0	0.0	0.03203	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00228	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactiplantibacillus|s__Lactiplantibacillus_pentosus|t__SGB7200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00773	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_pseudomesenteroides|t__SGB69408	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB9039|o__OFGB9039|f__FGB9039|g__GGB26873|s__GGB26873_SGB39064|t__SGB39064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
