	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024	MagliuloR_2024
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Cutibacterium_acnes|t__SGB16955	0.0	0.0	0.0	0.0	0.0	0.0	0.00045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00055	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_mesenteroides|t__SGB7126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3531	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_hormaechei|t__SGB10130	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_italicus|t__SGB7973	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00562	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00042	0.0438	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00062	0.00501	0.0	0.0	0.0	0.0	0.04654	0.00097	0.0	0.0	0.08035	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_grimontii|t__SGB10120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03829	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_durans|t__SGB7966	0.0	0.0	0.0	0.0	0.00276	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_helleri|t__SGB12098	0.28784	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.53254	0.00031	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01426	0.29313	0.01284	0.0	0.02504	0.0	0.0	0.32575	0.0	0.0	0.00033	0.0	0.0	0.0	0.00327	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06233	0.00107	0.0475
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Psychrobacter|s__Psychrobacter_immobilis|t__SGB10459	0.01675	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08397	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00189	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_lundensis|t__SGB12101	0.02451	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01401	0.0	0.0759	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00013	0.0	0.02628	0.14796	0.01359	0.0	0.0	0.0	0.0	0.3992	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02469	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecalis|t__SGB7962	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00287	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Hafniaceae|g__Hafnia|s__Hafnia_alvei|t__SGB10209	0.00135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00343	0.0	0.0	0.0	0.0	0.0	0.03599	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00451	0.0	0.0	0.0	0.01443	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Hafniaceae|g__Hafnia|s__Hafnia_paralvei|t__SGB10207	0.00269	0.0	0.0	0.0	0.0	0.0	0.0	0.00248	0.0	0.0	0.0	0.0	0.00684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01709	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Carnobacterium|s__Carnobacterium_maltaromaticum|t__SGB7902	0.00443	0.0	0.0	0.0	0.01022	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0099	0.0	0.0	0.0	0.0	0.01041	0.0	0.02234	0.0	0.0	0.0	0.0	0.00037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_helveticus|t__SGB7048	80.40043	66.22473	60.73886	46.23058	45.92337	35.01539	48.05496	27.10967	41.12738	54.63873	49.95015	17.8666	36.55929	16.75877	33.70377	9.73936	18.81275	58.87803	0.1883	36.85272	53.47871	32.92893	8.18197	5.48391	25.91246	62.55978	47.08103	37.94043	45.49086	10.95965	32.92392	56.93875	30.37196	67.95276	72.8652	34.31721	51.93931	24.89727	22.96939	15.08898	11.85819	61.4623	37.92123	80.40404	76.61486	75.549	27.51389	39.4747	22.84116
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Pediococcus|s__Pediococcus_parvulus|t__SGB7180	0.0	0.0	0.0	0.0	0.0	0.0	0.00137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00211	0.0	0.00579	0.0	0.0	0.0	0.0	0.00388	0.0	0.0	0.0	0.0	0.00155	0.00983	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_thermophilus|t__SGB8002	11.37625	29.4293	35.12199	28.46653	32.24479	40.81048	29.72146	63.19912	25.43618	38.54668	35.09405	51.63754	51.03276	55.3726	60.59885	59.84977	47.91131	30.34608	49.12373	51.51853	31.24651	46.2855	87.07123	93.71333	66.99727	14.22333	44.06476	36.54471	39.53728	47.80482	45.40491	18.9044	62.62305	22.23734	16.61261	25.03303	42.30502	28.29112	51.57452	81.55915	19.35981	9.66643	46.42224	9.86711	12.41186	15.50727	62.12379	49.03487	5.00193
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_delbrueckii|t__SGB7020	1.60068	4.26199	4.06855	20.32643	14.97339	23.79914	19.50278	8.27871	30.84903	5.83254	3.8409	29.90512	7.93778	27.23363	4.13948	30.18444	32.69818	10.76601	48.98915	6.8801	11.48728	19.33096	2.99739	0.78824	3.19003	13.01447	5.57572	25.24276	13.60771	38.19004	18.33879	14.82343	6.75139	9.45519	9.26499	26.80002	5.70792	46.51661	23.28157	3.26551	53.56522	16.67746	12.58635	9.64858	10.94265	7.95051	7.05726	10.77289	65.30045
