sample	LimaC_2020__SRR9640343	LimaC_2020__SRR9640344	LimaC_2020__SRR9640345	LimaC_2020__SRR9640346	LimaC_2020__SRR9640347	LimaC_2020__SRR9640348	LimaC_2020__SRR9640350	LimaC_2020__SRR9640351	LimaC_2020__SRR9640352	LimaC_2020__SRR9640353	LimaC_2020__SRR9640354	LimaC_2020__SRR9640355	LimaC_2020__SRR9640356	LimaC_2020__SRR9646966
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Gluconobacter|s__Gluconobacter_kanchanaburiensis|t__SGB89213	0.05179	0.00172	0.0	0.00398	0.0	0.0	0.0	0.00086	0.00095	0.04949	0.00829	0.0737	0.01727	0.0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Gluconobacter|s__Gluconobacter_japonicus|t__SGB1161	11.10085	0.68386	0.20929	8.73646	0.17718	0.05674	0.01846	0.42661	1.08517	5.20423	5.24222	6.03771	7.97139	0.07617
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__GGB59904|s__GGB59904_SGB81786|t__SGB81786	0.0532	0.00105	0.0	0.23971	0.00015	0.0	0.0	0.00107	0.00395	0.02679	0.02701	0.02448	0.04238	0.0
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Pichiaceae|g__Pichia|s__Pichia_manshurica|t__EUK121235	0.0	0.0	0.0	0.0	0.00579	0.04856	0.02119	0.0	0.0	0.0	0.0	0.0068	0.04798	0.00041
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Liquorilactobacillus|s__Liquorilactobacillus_vini|t__SGB7065	0.0	0.0	0.0	0.0	0.0	0.21746	1.34492	0.0	0.0	0.0	0.0	0.0	0.0	0.00084
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Lysobacterales|f__Lysobacteraceae|g__Xanthomonas|s__Xanthomonas_massiliensis|t__SGB32973	0.0	5e-05	0.0	0.0	0.0	0.0	0.00716	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_vaccinii|t__SGB89215	0.0	0.0	0.0	0.01909	0.0	0.0	0.0	0.0	0.0	0.0	0.00799	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Pantoea|s__Pantoea_sp_Mb_10|t__SGB81775	0.01313	0.0	0.0	0.08816	0.00065	0.0	0.0	0.00565	0.0	0.01867	0.00068	0.11061	0.00106	0.0001
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Pantoea|s__Pantoea_stewartii|t__SGB10192	0.0	0.0	0.0	0.64745	0.0	0.0	0.0	0.0	0.0	0.02494	0.07777	0.0	0.04649	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Pantoea|s__Pantoea_eucrina|t__SGB10168	0.02321	0.00162	0.00718	1.448	0.01007	0.0	0.0	0.10315	0.08665	0.28396	0.2024	0.6068	0.10383	0.0047
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_oryzihabitans|t__SGB12308	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00903	0.04107	0.0	0.0	0.0	0.0	0.0
