sample	QuijadaN_2022__ERR7245779	QuijadaN_2022__ERR7245780
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Brevibacteriaceae|g__Brevibacterium|s__Brevibacterium_SGB98808|t__SGB98808	0.0	0.0003
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Flaviflexus|s__Flaviflexus_ciconiae|t__SGB33736	0.05587	0.54334
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Micrococcaceae|g__Citricoccus|s__Citricoccus_muralis|t__SGB175477	0.0	6e-05
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae|g__Halomonas|s__Halomonas_SGB69225|t__SGB69225	0.48201	0.03452
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Alkalibacterium|s__Alkalibacterium_gilvum|t__SGB7879	0.15449	0.24116
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_saprophyticus|t__SGB7848	0.0	0.0021
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Streptosporangiales|f__Nocardiopsidaceae|g__Nocardiopsis|s__Nocardiopsis_sp_JB363|t__SGB16395	0.0	0.00026
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Mammaliicoccus|s__Mammaliicoccus_lentus|t__SGB7817	0.0008	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_thermophilus|t__SGB8002	0.00285	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Mycobacteriaceae|g__GGB71750|s__GGB71750_SGB98711|t__SGB98711	0.0	0.02089
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Microbacteriaceae|g__GGB72001|s__GGB72001_SGB99057|t__SGB99057	0.0	0.0122
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__GGB73677|s__GGB73677_SGB96934|t__SGB96934	0.0	0.02184
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Microbacteriaceae|g__GGB71985|s__GGB71985_SGB99038|t__SGB99038	0.0	0.01446
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Microbacteriaceae|g__Microbacterium|s__Microbacterium_SGB66223|t__SGB66223	0.03667	1.41578
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae|g__GGB44602|s__GGB44602_SGB99208|t__SGB99208	0.00452	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Propionibacteriaceae|g__GGB71863|s__GGB71863_SGB98865|t__SGB98865	0.0	0.00159
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Kitasatosporales|f__Streptomycetaceae|g__GGB49345|s__GGB49345_SGB69246|t__SGB69246	0.0	0.05509
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Microbacteriaceae|g__Microbacterium|s__Microbacterium_SGB99058|t__SGB99058	0.0	0.09136
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__GGB71197|s__GGB71197_SGB96935|t__SGB96935	0.01072	0.02388
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae|g__Vreelandella|s__Vreelandella_SGB99201|t__SGB99201	0.09808	0.00081
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Marinobacteraceae|g__GGB7989|s__GGB7989_SGB99143|t__SGB99143	0.16015	0.01827
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Jeotgalicoccus|s__Jeotgalicoccus_aerolatus|t__SGB24958	0.00087	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Ruaniaceae|g__Ruania|s__Ruania_SGB99013|t__SGB99013	0.0	0.02463
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Kitasatosporales|f__Streptomycetaceae|g__GGB71966|s__GGB71966_SGB99017|t__SGB99017	0.0	0.00279
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Kitasatosporales|f__Streptomycetaceae|g__GGB10111|s__GGB10111_SGB98997|t__SGB98997	0.0	0.00043
k__Bacteria|p__Firmicutes|c__CFGB5585|o__OFGB5585|f__FGB5585|g__GGB71203|s__GGB71203_SGB96941|t__SGB96941	0.0	0.00041
