	YangC_2021	YangC_2021	YangC_2021	YangC_2021	YangC_2021	YangC_2021	YangC_2021	YangC_2021
sample	YangC_2021__SRR13259372	YangC_2021__SRR13259373	YangC_2021__SRR13259374	YangC_2021__SRR13259375	YangC_2021__SRR13259376	YangC_2021__SRR13259377	YangC_2021__SRR13259378	YangC_2021__SRR13259379
macrocategory	food	food	food	food	food	food	food	food
category	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy
type	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese
subtype	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese
country	CHN	ITA	GRC	CHN	CHN	GRC	ITA	CHN
source	public	public	public	public	public	public	public	public
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Marinilactibacillus|s__Marinilactibacillus_psychrotolerans|t__SGB7876	0.01027	0.0	0.0	0.01647	0.0	0.0	0.0	0.83571
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Psychrobacter|s__Psychrobacter_sp_FME5|t__SGB69383	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15657
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Micrococcaceae|g__Arthrobacter|s__Arthrobacter_rhombi|t__SGB16742	0.0433	0.0	0.0	0.00392	0.21189	0.0	0.0	0.24333
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Micrococcaceae|g__Arthrobacter|s__Arthrobacter_SGB69235|t__SGB69235	0.16471	0.0	0.0	0.00018	0.0	0.0	0.0	0.16388
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Micrococcaceae|g__Glutamicibacter|s__Glutamicibacter_ardleyensis|t__SGB16746	0.0	0.0	0.0	0.0	0.0	0.00016	0.0	0.00298
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Micrococcaceae|g__Arthrobacter|s__Arthrobacter_SGB98769|t__SGB98769	0.3979	0.0	0.0	0.01036	0.0	0.0	0.0	2.57195
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_malodoratus|t__SGB7932	0.0	0.39572	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecalis|t__SGB7962	0.0	0.00346	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Brevibacteriaceae|g__Brevibacterium|s__Brevibacterium_sandarakinum|t__SGB16640	0.0003	0.0	0.0	0.0	0.0	0.0	0.09979	0.00096
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Psychrobacter|s__Psychrobacter_faecalis|t__SGB10464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00487
k__Eukaryota|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Penicillium|s__Penicillium_camemberti|t__EUK5075	0.10937	0.0	0.0	0.02642	0.0	0.0513	0.0	0.01076
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactiplantibacillus|s__Lactiplantibacillus_plantarum|t__SGB7202	0.0	0.05639	0.0	0.00931	0.0	0.00256	0.0	0.00474
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_variabile|t__SGB17034	0.0016	0.0	0.0	0.0	0.0	0.0	0.0	0.17544
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Micrococcaceae|g__Garicola|s__Garicola_SGB98753|t__SGB98753	0.0	0.0	0.0	0.0	0.0	0.0	0.39008	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Brevibacteriaceae|g__Brevibacterium|s__Brevibacterium_SGB98807|t__SGB98807	0.0	0.0	0.0	0.0	0.0	0.0	0.00037	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Micrococcaceae|g__GGB42949|s__GGB42949_SGB60172|t__SGB60172	0.0	0.0	0.0	0.0	0.0	0.0	0.52021	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Brevibacteriaceae|g__Brevibacterium|s__Brevibacterium_antiquum|t__SGB16638	0.21133	0.0	0.0	0.0055	0.08039	0.0	0.0	2.27222
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Tetragenococcus|s__Tetragenococcus_halophilus|t__SGB7926	0.00493	0.0	0.0	0.0	0.0	0.0	0.0	0.10909
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_helveticus|t__SGB7048	0.02088	0.08624	4.01877	39.09623	0.0	46.01335	0.0	0.00404
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_saprophyticus|t__SGB7848	18.33295	0.0	0.00557	0.54546	0.0	0.01071	0.0	11.98995
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_succinus|t__SGB7842	0.19092	0.0	0.0	0.00086	0.0	0.0	0.0	0.65804
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Bartonellaceae|g__GGB72429|s__GGB72429_SGB99621|t__SGB99621	0.0	0.0	0.03116	0.0	0.0	0.16041	79.59249	0.0
k__Eukaryota|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Penicillium|s__Penicillium_nordicum|t__EUK229535	0.0	0.0	0.0	13.45625	0.0	2.55361	0.0	0.0
