	YangC_2021	YangC_2021	YangC_2021	YangC_2021	YangC_2021	YangC_2021	YangC_2021	YangC_2021
sample	YangC_2021__SRR13259372	YangC_2021__SRR13259373	YangC_2021__SRR13259374	YangC_2021__SRR13259375	YangC_2021__SRR13259376	YangC_2021__SRR13259377	YangC_2021__SRR13259378	YangC_2021__SRR13259379
macrocategory	food	food	food	food	food	food	food	food
category	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy
type	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese
subtype	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese
country	CHN	ITA	GRC	CHN	CHN	GRC	ITA	CHN
source	public	public	public	public	public	public	public	public
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_sp_NAM3COL9|t__SGB7844	0.0	0.0	0.0	0.0	0.0	0.00221	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Weissella|s__Weissella_sagaensis|t__SGB29577	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00211
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter_lwoffii|t__SGB10405	0.0	0.0	0.0	0.0	0.0	0.01227	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Mammaliicoccus|s__Mammaliicoccus_fleurettii|t__SGB7819	0.00402	0.0	0.0	0.0	0.0	0.0	0.0	0.00232
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Citrobacter|s__Citrobacter_braakii|t__SGB10086	0.0	0.0383	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Salinicoccus|s__Salinicoccus_SGB96906|t__SGB96906	0.0	0.0	0.0	0.0	0.0	0.0	0.74888	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Kluyvera|s__Kluyvera_cryocrescens|t__SGB23242	0.0	0.02308	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Jeotgalibaca|s__Jeotgalibaca_sp_MA1X17_3|t__SGB109728	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01109
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Citrobacter|s__Citrobacter_freundii|t__SGB10083	0.0	0.00603	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Paucilactobacillus|s__Paucilactobacillus_wasatchensis|t__SGB7185	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01335
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Pichiaceae|g__Pichia|s__Pichia_fermentans|t__EUK53655	0.0	0.02719	0.0	0.0	0.0	0.0	0.0	0.0
k__Eukaryota|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Penicillium|s__Penicillium_nalgiovense|t__EUK60175	0.0	0.0	0.0	0.0	0.0	0.02525	0.0	0.0
k__Eukaryota|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__Aspergillus_candidus|t__EUK41067	0.08653	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Pseudoalteromonadaceae|g__Pseudoalteromonas|s__Pseudoalteromonas_sp_A601|t__SGB13913	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00026
k__Bacteria|p__Firmicutes|c__CFGB1988|o__OFGB1988|f__FGB1988|g__GGB5726|s__GGB5726_SGB8279|t__SGB8279	0.0	0.0	0.0	0.00136	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Micrococcaceae|g__Kocuria|s__Kocuria_massiliensis|t__SGB34809	0.0	0.0	0.0	0.0	0.0	0.0	0.01122	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Micrococcaceae|g__GGB71780|s__GGB71780_SGB98747|t__SGB98747	0.0	0.0	0.0	0.0	0.0	0.0	0.0315	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Virgibacillus|s__Virgibacillus_halotolerans|t__SGB94625	0.0	0.0	0.0	0.0	92.60343	0.0	0.0	0.00364
k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Chryseobacterium|s__Chryseobacterium_scophthalmum|t__SGB2563	0.0	0.0	0.0	0.00098	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Mangrovibacter|s__Mangrovibacter_phragmitis|t__SGB10030	0.0	0.0	0.02125	9e-05	0.0	0.00302	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Alteromonadaceae|g__Alishewanella|s__Alishewanella_aestuarii|t__SGB9785	0.0	0.0	0.00145	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB79362|o__OFGB79362|f__FGB79362|g__GGB60655|s__GGB60655_SGB82660|t__SGB82660	0.0	0.0	0.0	0.0	0.00104	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Winogradskyella|s__Winogradskyella_vidalii|t__SGB79129	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00104
