sample	DuR_2020__DRS139335	DuR_2020__DRS139334	DuR_2020__DRS139333
macrocategory	food	food	food
category	alcohol	alcohol	alcohol
type	grain	grain	grain
subtype	chinese_liquor	chinese_liquor	chinese_liquor
country	CHN	CHN	CHN
source	public	public	public
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Aneurinibacillus|s__Aneurinibacillus_thermoaerophilus|t__SGB7316	0.0019	0.0004	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Brevibacillus|s__Brevibacillus_massiliensis|t__SGB29272	0.0	0.00011	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Thermobacillus|s__Thermobacillus_composti|t__SGB7373	0.00368	0.00399	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Kurthia|s__Kurthia_sp_3B1D|t__SGB29938	0.00066	0.00026	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Ureibacillus|s__Ureibacillus_thermophilus|t__SGB49065	0.0	0.00378	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Jeotgalicoccus|s__Jeotgalicoccus_coquinae|t__SGB82657	0.00449	0.0	0.00021
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Jeotgalicoccus|s__Jeotgalicoccus_meleagridis|t__SGB64159	3e-05	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Mammaliicoccus|s__Mammaliicoccus_lentus|t__SGB7817	0.00078	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Mammaliicoccus|s__Mammaliicoccus_sciuri|t__SGB7818	0.00213	0.00143	0.00085
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_gallinarum|t__SGB7835	0.0079	0.00342	0.00949
