clade_name	LeonardSR_2015__SRR2177250	LeonardSR_2015__SRR2177251	LeonardSR_2015__SRR2177280	LeonardSR_2015__SRR2177281	LeonardSR_2015__SRR2177282	LeonardSR_2015__SRR2177283	LeonardSR_2015__SRR2177284	LeonardSR_2015__SRR2177285	LeonardSR_2015__SRR2177286	LeonardSR_2015__SRR2177287	LeonardSR_2015__SRR2177288	LeonardSR_2015__SRR2177357	LeonardSR_2015__SRR2177358	LeonardSR_2015__SRR2177359	LeonardSR_2015__SRR2177360	LeonardSR_2015__SRR2177361
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Shewanellaceae|g__Shewanella|s__Shewanella_oncorhynchi|t__SGB23312	1.07966	0.0	0.0	0.0	0.0	0.0	1.33007	0.0	0.0	0.0	0.56156	0.10012	1.07805	0.0	0.01416	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_shahriarae|t__SGB12163	1.05955	0.0	0.05818	0.44345	0.0	0.0	3.35154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_paraversuta|t__SGB12105	1.05894	0.0	0.0	0.0	0.0	0.0	3.10436	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_atacamensis|t__SGB12194	0.89717	0.42204	3.0865	0.20719	0.0	2.78247	0.71847	0.01084	0.0	0.14575	0.17843	0.78964	1.28184	3.1414	0.12317	1.78795
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_fragi|t__SGB12107	0.79289	0.70729	2.25213	7.22845	0.0	3.84203	1.43234	0.0	0.09182	1.53708	0.72503	0.14426	0.12204	0.01105	0.01306	0.05233
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Buttiauxella|s__Buttiauxella_agrestis|t__SGB10040	0.79171	0.0	1.69113	0.0	0.0	0.01598	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_cereus|t__SGB7697	0.77175	0.23684	0.0	0.0	0.0	0.0	0.0	0.0	0.7212	0.0	0.0	0.0	0.0	0.0	22.67463	0.00404
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Exiguobacterium|s__Exiguobacterium_sp_Helios|t__SGB24984	0.76004	52.96053	0.82287	5.26926	0.0	0.0	0.0	0.0039	0.0	36.54442	14.56737	6.4679	3.10509	1.31375	12.28896	3.77886
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_proteolytica|t__SGB12165	0.70672	0.02358	0.0	0.13153	0.0	0.0	1.90512	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00394	0.07572
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Janthinobacterium|s__Janthinobacterium_tructae|t__SGB12852	0.61679	0.0	0.0	0.0	0.0	0.0	3.15985	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
