clade_name	SirenK_2019__ERR3094541	SirenK_2019__ERR3094543	SirenK_2019__ERR3094540	SirenK_2019__ERR3094542	SirenK_2019__ERR3094547	SirenK_2019__ERR3094549	SirenK_2019__ERR3094548	SirenK_2019__ERR3094545	SirenK_2019__ERR3094546	SirenK_2019__ERR3094544
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas|s__Sphingomonas_aerolata|t__SGB11652	0.01013	0.0	0.00784	0.0	0.03576	0.0	0.0	0.00041	0.00108	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Lawsonellaceae|g__GGB2722|s__GGB2722_SGB3663|t__SGB3663	0.00737	0.0	0.25267	3.6905	0.01789	0.17641	1.31606	1.74649	3.175	1.58995
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Sphaerotilaceae|g__Roseateles|s__Roseateles_puraquae|t__SGB12794	0.00639	6e-05	0.02811	0.0654	0.01386	0.0	0.00192	0.02044	0.03559	0.0
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_sp_WP9|t__SGB13059	0.0062	0.0	0.02445	0.11451	0.02715	0.0	0.0	0.06659	0.07755	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_epidermidis|t__SGB7865	0.00559	0.0	0.12276	0.94621	0.16981	0.14198	1.25075	0.57599	1.34001	0.12766
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Cytobacillus|s__Cytobacillus_oceanisediminis|t__SGB7551	0.00484	0.0	0.0	0.02746	0.0	0.0	0.0	0.00837	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Micrococcaceae|g__Micrococcus|s__Micrococcus_terreus|t__SGB16678	0.00416	0.0	0.0	0.00338	0.0	0.0	0.0	0.0404	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales|f__Acidocellaceae|g__Acidocella|s__Acidocella_facilis|t__SGB10903	0.00237	0.0	0.07204	0.24613	0.07293	0.0	0.0	0.09771	0.08	0.0
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Paraburkholderia|s__Paraburkholderia_caledonica|t__SGB13046	0.00188	0.0	0.05413	0.17487	0.02322	0.0	0.0	0.08114	0.17573	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Cutibacterium_namnetense|t__SGB16956	0.00085	0.0	0.01314	0.80368	0.0	0.00725	0.03658	0.12655	0.35611	0.16556
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Sphaerotilaceae|g__Roseateles|s__Roseateles_saccharophilus|t__SGB32547	0.00048	0.0002	0.00383	0.01159	0.00217	0.00047	0.00489	0.00579	0.01148	0.0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Nitrobacteraceae|g__Bradyrhizobium|s__Bradyrhizobium_elkanii|t__SGB11334	0.0	1.58784	0.00366	0.0	7.41661	0.0	1.9711	0.0	6.29894	0.61498
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_warneri|t__SGB7857	0.0	0.16471	0.0	1.23213	0.0	0.0	0.0	0.0	0.00963	0.0
k__Bacteria|p__Bacteroidota|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Hydrobacter|s__Hydrobacter_penzbergensis|t__SGB3474	0.0	0.0583	0.0	0.0	0.64774	0.0	0.0	0.0	0.32873	0.0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Novosphingobium|s__Novosphingobium_sp_LASN5T|t__SGB31738	0.0	0.04751	0.0	0.0	0.81211	0.0	0.0	0.0	0.95581	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_pasteuri|t__SGB7855	0.0	0.00033	0.0	0.61173	0.00877	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_delbrueckii|t__SGB7020	0.0	0.0	9.49533	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_salivarius|t__SGB8007	0.0	0.0	5.67052	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_suis|t__SGB29821_group	0.0	0.0	4.02452	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Limosilactobacillus|s__Limosilactobacillus_fermentum|t__SGB7106	0.0	0.0	1.79024	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_helveticus|t__SGB7048	0.0	0.0	1.41699	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_infantarius|t__SGB8022	0.0	0.0	1.37384	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Aeromonadales|f__Aeromonadaceae|g__Aeromonas|s__Aeromonas_caviae|t__SGB9955	0.0	0.0	0.64501	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Pichiaceae|g__Pichia|s__Pichia_kluyveri|t__EUK36015	0.0	0.0	0.23163	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingobium|s__Sphingobium_limneticum|t__SGB31652	0.0	0.0	0.01328	0.03455	0.01039	0.0	0.0	0.01132	0.03669	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli|t__SGB10068	0.0	0.0	0.00782	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Cutibacterium_granulosum|t__SGB16958	0.0	0.0	0.00681	0.59249	0.0	0.0	0.00512	0.37825	0.76117	0.03261
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Massilia|s__Massilia_sp_9096|t__SGB179484	0.0	0.0	0.0056	0.02313	0.00157	0.0	0.0	0.0077	0.01314	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter_junii|t__SGB10370	0.0	0.0	0.00464	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Caballeronia|s__Caballeronia_concitans|t__SGB12960	0.0	0.0	0.00361	0.00619	0.00033	0.0	0.0	0.00472	0.00438	0.0
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Delftia|s__Delftia_acidovorans|t__SGB12680	0.0	0.0	0.00301	0.0806	0.00313	0.0	0.0	0.03369	0.05343	0.0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Nitrobacteraceae|g__GGB44766|s__GGB44766_SGB133340|t__SGB133340	0.0	0.0	0.00276	0.00133	0.0	0.0	0.0	0.0021	0.0016	0.0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__Rhizobium|s__Rhizobium_lusitanum|t__SGB89590	0.0	0.0	0.00245	0.0057	0.00453	0.0	0.0	0.00761	0.00591	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_tuberculostearicum|t__SGB17103_group	0.0	0.0	0.00141	0.08261	0.0	0.0	0.0	0.04086	0.04176	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_auricularis|t__SGB7816	0.0	0.0	0.00053	0.55274	0.0	0.0	0.0	0.02188	0.14275	0.00056
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Novosphingobium|s__Novosphingobium_sp_1748|t__SGB24585	0.0	0.0	0.00043	0.0058	0.00045	0.0	0.0	0.0	0.00733	0.0
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Pichiaceae|g__Pichia|s__Pichia_occidentalis|t__EUK54552	0.0	0.0	0.00031	0.03791	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Peptoniphilus|s__Peptoniphilus_lacydonensis|t__SGB6692	0.0	0.0	0.00012	0.0	0.0	0.0	0.0	0.02604	0.14572	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Cutibacterium_porci|t__SGB87725	0.0	0.0	5e-05	0.01008	0.0	0.0	0.0	0.0036	0.00541	0.0008
k__Eukaryota|p__Basidiomycota|c__Malasseziomycetes|o__Malasseziales|f__Malasseziaceae|g__Malassezia|s__Malassezia_restricta|t__EUK76775	0.0	0.0	0.0	0.6008	0.0	0.0	0.0	0.10661	0.32919	0.03558
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__GGB36032|s__GGB36032_SGB56813|t__SGB56813	0.0	0.0	0.0	0.09288	0.0	0.0	0.0	0.0	0.36364	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_otitidis|t__SGB17081	0.0	0.0	0.0	0.08342	0.0	0.0	0.07809	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_capitis|t__SGB7863	0.0	0.0	0.0	0.03239	0.0	0.0	0.0	0.0	0.07718	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_kefirresidentii|t__SGB17100	0.0	0.0	0.0	0.0143	0.0	0.0	0.0	0.07054	0.3108	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_iners|t__SGB7025	0.0	0.0	0.0	0.00938	0.0	0.0	0.0	0.0	0.0	0.0
