clade_name	QuekJJ_2025__SRR31860670	QuekJJ_2025__SRR31860669	QuekJJ_2025__SRR31860671	QuekJJ_2025__SRR31860678	QuekJJ_2025__SRR31860677	QuekJJ_2025__SRR31860679	QuekJJ_2025__SRR31860672	QuekJJ_2025__SRR31860676	QuekJJ_2025__SRR31860673	QuekJJ_2025__SRR31860674	QuekJJ_2025__SRR31860675	QuekJJ_2025__SRR31860680	QuekJJ_2025__SRR31860684	QuekJJ_2025__SRR31860683	QuekJJ_2025__SRR31860682	QuekJJ_2025__SRR31860691	QuekJJ_2025__SRR31860694	QuekJJ_2025__SRR31860693	QuekJJ_2025__SRR31860692	QuekJJ_2025__SRR31860689	QuekJJ_2025__SRR31860690	QuekJJ_2025__SRR31860695	QuekJJ_2025__SRR31860685	QuekJJ_2025__SRR31860688	QuekJJ_2025__SRR31860687	QuekJJ_2025__SRR31860686	QuekJJ_2025__SRR31860681
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Micrococcaceae|g__Glutamicibacter|s__Glutamicibacter_mishrai|t__SGB16752	1.60085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_peradeniyensis|t__SGB206555	1.24591	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00623	0.0	0.0	0.0	0.0	0.0	0.0	0.00831	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Rahnella|s__Rahnella_contaminans|t__SGB81713	1.04224	0.0	0.00825	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_putida|t__SGB12290	0.96764	0.0	0.01289	0.0	0.0	0.0	0.01596	0.48881	0.01568	0.00839	0.19431	0.0	0.0	0.09419	0.0	0.0	0.0	0.02477	0.0	0.0	0.1813	0.02741	0.0	0.0	2.05179	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Pantoea|s__Pantoea_rwandensis|t__SGB10180	0.88517	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0158	0.0	0.0	0.0	0.0	0.00495	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Aeromonadales|f__Aeromonadaceae|g__Aeromonas|s__Aeromonas_hydrophila|t__SGB9954	0.86937	0.08181	1.09297	0.0	0.0	0.0	0.0	0.0	0.00141	15.8388	0.0	0.0	0.0	0.06849	0.0	2.62608	0.19186	0.0	0.0	0.0	0.0057	0.0	0.0	0.03398	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__GGB72467|s__GGB72467_SGB99677|t__SGB99677	0.86181	0.0	0.19803	0.0	0.0	0.0	0.0	0.0	0.90887	0.0	0.02483	0.0	0.0	0.11176	0.0	0.0	0.00564	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter_johnsonii|t__SGB10398	0.8566	0.18885	0.9209	0.0	0.0	0.0	0.0	0.0	2.28285	0.8205	0.12298	0.0	0.0	0.24073	0.0	1.52976	0.00277	0.02242	0.0	0.0	3.64274	0.065	0.00058	0.12916	19.84873	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter_oleivorans|t__SGB10351	0.82421	0.0	0.04484	0.0	0.0	0.0	0.0	0.0	0.04915	0.0	0.03982	0.0	0.0	0.105	0.0	0.0	0.0	0.00281	0.0	0.0	0.90278	0.00856	0.01984	0.0	0.28604	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Serratia|s__Serratia_fonticola|t__SGB10260	0.79491	0.00208	0.0	0.0	0.0	0.0	0.0	0.0	0.32309	0.0	0.0	0.0	0.0	0.0092	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19741	0.0	0.0	0.0
