	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Paucilactobacillus|s__Paucilactobacillus_nenjiangensis|t__SGB49082	0.0	0.0	0.0	0.07368	7.43207	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02068	0.44055	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00834	0.0	0.05075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_laudensis|t__SGB7991	1.93666	0.0	0.0	0.0232	0.07062	0.0	0.0	0.0	0.0	0.0	0.39225	0.56622	1.32542	0.0	0.0	7.65509	0.0	0.4482	0.0	0.0	0.0	0.0	0.0	2.66327	0.0	0.0	0.0	0.0	0.0	0.0	3.31436	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20423	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.87669	1.34649	0.18729	0.0	10.78573	7.95763	8.61397	0.0	0.0	0.0	0.0	0.0	0.08062	0.0	0.0	6.86866	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Cutibacterium_acnes|t__SGB16955	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10469	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04438	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04446	0.0	0.0	0.0	0.0	0.0	0.02336	0.09787	0.0	0.01364	0.0	0.0	0.0	0.0	0.0	0.0	0.39224	0.0	0.0	0.0	0.0	0.0	0.0	0.18682	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Lawsonellaceae|g__GGB2722|s__GGB2722_SGB3663|t__SGB3663	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02285	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_mesenteroides|t__SGB7126	0.01182	0.10182	0.0	0.0	0.0	0.06884	0.09845	0.0	0.0	0.0	0.00641	0.0	0.00771	0.0	0.0	0.0	0.0	3.25661	0.0	0.0	0.03967	6.2782	0.11826	0.71313	0.0	0.72332	0.0	0.0	0.0	0.0	0.6923	0.0	0.0	0.51743	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35241	0.0	0.01538	0.0	0.0	0.24998	0.0	0.0	0.0	0.0	0.1737	0.0	0.0	0.0	0.0	0.0	0.0	1.32628	0.17037	0.0	0.0	0.0	0.26974	0.05713	0.0	0.0	0.0	0.0	0.0	0.0445	0.0	0.0	9.04104	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Brevibacteriaceae|g__Brevibacterium|s__Brevibacterium_sp_239c|t__SGB16641	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.28879	0.0	0.0	0.0	5.81334	0.04332	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.3298	0.0	0.0	0.0	0.0	0.15422	0.119	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.30916	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_hormaechei|t__SGB10130	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13685	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.26825	0.0	0.06164	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_equorum|t__SGB7843	0.09414	0.0	0.0	0.0	0.0	21.1429	0.0	0.0	0.0	0.26195	0.0	0.0	0.0	0.0	0.0	0.15944	0.0	0.0	0.0	0.7949	0.0	0.0	0.03748	0.0	8.62311	0.59394	4.39471	1.34343	10.75705	0.0	2.7354	0.0	11.65253	38.32376	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.9648	0.0	0.0	0.0	1.2282	0.1723	2.44846	0.65691	0.0	0.0	0.14913	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.141	0.0	0.0	1.41985	5.46488	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Dermabacteraceae|g__Brachybacterium|s__Brachybacterium_alimentarium|t__SGB16653	0.0418	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01649	0.0	0.0	0.0	8.38807	0.0	0.0	0.0	8.04942	0.72246	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.67379	0.0	0.0	1.00985	0.64158	0.08222	0.61235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45483	6.64018	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Brevibacteriaceae|g__Brevibacterium|s__Brevibacterium_aurantiacum|t__SGB16639	0.89559	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00866	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04334	0.0	0.0	0.0	0.0	0.0	0.01082	0.0	19.00315	0.17819	0.10931	0.0	36.88029	2.74271	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32505	0.0	0.0	0.08734	0.0	2.54766	0.01356	0.55848	8.81139	0.27288	17.68931	26.36597	0.0	0.0	0.0	0.0	0.00948	0.0	0.0	0.0	0.0	0.0	0.09785	0.0	0.0	0.0	79.54712	0.0	0.0
