sample	SequinoG_2024_a__SRR26596524	SequinoG_2024_a__SRR26596525	SequinoG_2024_a__SRR26596526	SequinoG_2024_a__SRR26596527	SequinoG_2024_a__SRR26596528	SequinoG_2024_a__SRR26596529	SequinoG_2024_a__SRR26596530	SequinoG_2024_a__SRR26596531	SequinoG_2024_a__SRR26596532	SequinoG_2024_a__SRR26596533	SequinoG_2024_a__SRR26596534	SequinoG_2024_a__SRR26596535	SequinoG_2024_a__SRR26596536	SequinoG_2024_a__SRR26596537	SequinoG_2024_a__SRR26596538	SequinoG_2024_a__SRR26596539	SequinoG_2024_a__SRR26596540	SequinoG_2024_a__SRR26596541	SequinoG_2024_a__SRR26596542	SequinoG_2024_a__SRR26596543	SequinoG_2024_a__SRR26596544	SequinoG_2024_a__SRR26596545	SequinoG_2024_a__SRR26596546	SequinoG_2024_a__SRR26596547	SequinoG_2024_a__SRR26596548	SequinoG_2024_a__SRR26596549	SequinoG_2024_a__SRR26596550	SequinoG_2024_a__SRR26596551	SequinoG_2024_a__SRR26596552	SequinoG_2024_a__SRR26596553	SequinoG_2024_a__SRR26596554	SequinoG_2024_a__SRR26596555	SequinoG_2024_a__SRR26596556	SequinoG_2024_a__SRR26596557	SequinoG_2024_a__SRR26596558	SequinoG_2024_a__SRR26596559	SequinoG_2024_a__SRR26596560	SequinoG_2024_a__SRR26596561	SequinoG_2024_a__SRR26596562	SequinoG_2024_a__SRR26596563	SequinoG_2024_a__SRR26596564	SequinoG_2024_a__SRR26596565	SequinoG_2024_a__SRR26596566	SequinoG_2024_a__SRR26596567	SequinoG_2024_a__SRR26596568	SequinoG_2024_a__SRR26596569	SequinoG_2024_a__SRR26596570	SequinoG_2024_a__SRR26596571	SequinoG_2024_a__SRR26596572	SequinoG_2024_a__SRR26596573	SequinoG_2024_a__SRR26596574	SequinoG_2024_a__SRR26596575	SequinoG_2024_a__SRR26596576	SequinoG_2024_a__SRR26596577	SequinoG_2024_a__SRR26596578	SequinoG_2024_a__SRR26596579	SequinoG_2024_a__SRR26596580	SequinoG_2024_a__SRR26596581	SequinoG_2024_a__SRR26596582	SequinoG_2024_a__SRR26596583	SequinoG_2024_a__SRR26596584	SequinoG_2024_a__SRR26596585	SequinoG_2024_a__SRR26596586	SequinoG_2024_a__SRR26596587	SequinoG_2024_a__SRR26596588	SequinoG_2024_a__SRR26596589	SequinoG_2024_a__SRR26596590	SequinoG_2024_a__SRR26596591	SequinoG_2024_a__SRR26596592	SequinoG_2024_a__SRR26596593	SequinoG_2024_a__SRR26596594	SequinoG_2024_a__SRR26596595	SequinoG_2024_a__SRR26596596	SequinoG_2024_a__SRR26596597	SequinoG_2024_a__SRR26596598	SequinoG_2024_a__SRR26596599	SequinoG_2024_a__SRR26596600	SequinoG_2024_a__SRR26596601	SequinoG_2024_a__SRR26596602
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Vagococcus|s__Vagococcus_salmoninarum|t__SGB29863	0.02844	0.0	1.03965	0.12524	0.04812	0.0464	0.0	0.0	1.27508	0.0	0.01552	0.0469	0.0	0.0	0.0	0.0	0.0	0.0	0.03141	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.64107	0.00393	0.0	0.0	0.0	0.0	1.96749	0.05008	0.60934	0.0	0.0	3.30753	0.0	0.22495	0.0	0.01444	0.0	0.0	0.0	0.0	0.0	0.0	0.00843	0.0	0.0	0.0	0.0	0.0	0.0	1.235	0.01853	0.02617	0.0	0.0	0.0	0.30929	0.0	0.00442	0.01696	0.0	0.07707	0.0	0.14448	0.0	0.0	0.0	0.0	0.0	0.02169	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Psychrobacter|s__Psychrobacter_immobilis|t__SGB10459	26.15364	0.2256	24.90055	4.33303	42.00277	3.89993	0.21866	3.66957	8.62647	3.56046	45.0463	30.59628	1.90427	0.09949	11.78463	0.01193	3.7274	2.97414	11.30762	5.60348	13.49241	9.35479	0.68303	0.0	25.24714	13.80714	4.47449	0.50626	6.07845	0.00909	0.0	20.14487	5.51216	0.24301	19.81576	0.61803	0.24401	14.14962	0.03895	24.74568	2.85799	5.62866	0.02809	0.22326	19.76765	18.13085	47.71836	24.92251	59.34709	51.66817	28.31521	3.99144	0.0	0.4298	14.39933	0.21623	0.00193	2.01085	0.0035	0.0	33.50514	2.5691	0.0	0.13072	24.40793	0.02155	3.68514	0.09459	0.42698	0.0775	0.15056	0.14677	0.33068	43.04811	25.9755	1.04902	0.25552	0.0	15.81071
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Morganella|s__Morganella_psychrotolerans|t__SGB10025	0.0	0.0	0.30213	0.0	0.0	0.0	0.0	0.0	0.03842	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20665	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00029	0.0	0.0	0.14843	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00219	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Pseudoalteromonadaceae|g__Pseudoalteromonas|s__Pseudoalteromonas_distincta|t__SGB13906	0.00358	0.0	0.0	0.0	0.06242	0.0	0.0	0.0	0.00165	0.03823	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07864	0.0	0.0	0.0	0.0	0.0	0.06226	0.0	0.0	0.0	0.0	0.03747	0.0	0.07666	0.0	0.0	0.0	0.0	0.00078	0.0081	0.0	0.0	0.0	0.0	0.0	0.0155	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00531	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Psychrobacter|s__Psychrobacter_celer|t__SGB10449	0.0	0.0	0.05509	0.84747	0.09969	2.95774	0.28385	0.0	0.0	0.20588	0.05162	0.0	1.22842	0.38392	0.2307	0.0	0.0	0.0	0.08369	0.26278	0.0	3.55596	0.14399	0.0	0.01286	0.0	0.00204	0.06411	0.0	0.0069	0.0	0.0	0.0	0.01089	0.0	0.08347	0.16079	0.01309	0.06194	0.0	0.041	0.0	0.00495	0.0	0.0	0.0	0.0	0.04855	0.0	0.63762	0.0	1.05483	1.64249	0.00883	0.0	0.0	0.00121	0.01917	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00821	0.0	0.02857	0.0	0.03052	0.0	0.04045	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_lundensis|t__SGB12101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00564	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00395	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_litoralis|t__SGB23030	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00738	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00365	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Psychrobacter|s__Psychrobacter_immobilis|t__SGB10451	0.09335	0.00316	1.51014	0.25059	3.15178	0.22149	0.0	0.47726	0.4235	0.16487	2.27844	0.26487	0.21601	0.0	0.37122	0.0	0.0	0.0	0.2085	3.02425	0.18656	0.49506	0.0	0.0	1.43706	1.06288	0.02169	0.3334	0.98406	0.0	0.0	1.48853	0.08784	0.0	0.63007	0.06442	0.0	0.07691	0.00191	0.41612	0.0	0.88726	0.0	0.0	1.85787	1.03993	0.57014	0.91134	0.30975	5.0779	1.70353	1.28356	0.0	0.06038	1.25183	0.0	0.0	0.05085	0.0	0.0	1.63512	0.01442	0.0	0.0	0.02719	0.0	0.03818	0.00324	0.0	0.0	0.00474	0.0	0.0	1.3926	0.15142	0.0	0.00298	0.0	0.53974
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Psychrobacter|s__Psychrobacter_alimentarius|t__SGB10455	0.0	0.0	0.0326	0.00704	0.07863	0.0	0.0	0.0	0.0	0.0	0.07627	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27219	0.0	0.0238	0.0	0.0	0.02259	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00321	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00404	0.01031	0.00212	0.06246	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16081	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Psychrobacter|s__Psychrobacter_aquimaris|t__SGB23000	0.0	0.0	0.00104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00531	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0018	0.0	0.00089	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Micrococcaceae|g__Glutamicibacter|s__Glutamicibacter_ardleyensis|t__SGB16746	0.0	0.0	0.13816	0.0	0.02846	0.0	0.0	0.0	0.11665	0.00947	0.00802	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01127	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00199	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00186	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01565	0.0	0.0	0.0	0.0	0.0	0.0	0.01453	0.0	0.00206	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01602	0.0	0.00301	0.0	0.0	0.0	0.0	0.09032	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Psychrobacter|s__Psychrobacter_faecalis|t__SGB10464	0.0	0.0	0.01087	0.00232	0.00723	0.01425	0.0	0.0	0.00188	0.0	0.00565	0.00326	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44553	0.0	0.16482	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00401	0.0	0.00231	0.0	0.0	0.0	0.0	0.0	0.0	0.00281	0.0	0.01074	0.02087	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00226	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00672	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Carnobacterium|s__Carnobacterium_maltaromaticum|t__SGB7902	0.32966	0.0	0.53839	0.02479	0.01549	0.00389	0.0	0.0	0.80748	0.00195	0.00772	0.30818	0.0	0.0	0.0	0.0	0.14424	0.0	0.83795	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.42192	0.02752	0.01357	0.0	0.0	0.0	2.41675	0.0	0.92313	0.0	0.0	3.67056	0.0	0.29739	0.00135	0.03708	0.0	0.0	0.0	0.0	0.0	0.0	0.03139	0.0	0.0	0.0	0.0	0.0	0.0	1.32571	0.0	0.11364	0.0	0.0	0.0	0.65422	0.00044	0.0946	0.2114	0.0	0.30822	0.0	1.20433	0.00223	0.0	0.0	0.0	0.0	0.45695	0.2447	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_kanaloae|t__SGB9910	0.0	0.04051	0.12704	0.57718	0.57653	41.11731	1.21223	0.0	0.01294	13.16398	0.61829	0.0	29.62065	1.39098	0.0	0.0	0.0	2.77566	0.0	0.22568	0.0	0.5006	0.5599	0.0	0.0	0.0	0.06658	0.82798	0.04584	1.47623	0.0	0.0	0.0	0.04825	0.00819	1.12495	0.0	0.04885	3.02683	0.0037	1.75553	0.05488	1.83191	0.58457	0.0	0.0	0.0	0.00016	0.0	0.01437	0.0	0.09054	2.01486	0.00236	0.0	0.02258	0.14218	0.44774	0.81233	0.18131	0.0	0.0	0.0	0.0	0.0	0.02311	0.0	0.05069	0.0	0.00479	0.0	0.02087	1.80649	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Campylobacterota|c__Epsilonproteobacteria|o__Campylobacterales|f__Arcobacteraceae|g__Malaciobacter|s__Malaciobacter_marinus|t__SGB19419	0.0	0.0	0.0	0.00314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17084	0.0	0.0	0.0	0.0	0.0	0.00847	0.0	0.0	0.0	0.0	0.07368	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Pseudoalteromonadaceae|g__Pseudoalteromonas|s__Pseudoalteromonas_tetraodonis|t__SGB13896	0.0	0.0	0.0	0.0	0.05625	0.0236	0.0	0.0315	0.0	0.04009	0.00063	0.0	0.02869	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01586	0.01698	0.0	0.0	0.0	0.0	0.0	0.00346	0.01496	0.0	0.0	0.00143	0.0085	0.0	0.03692	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0272	0.0	0.0	0.0095	0.01228	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
