dataset_name	sample_id	macrocategory	category	type	subtype	commercial_name	fermented/non-fermented	Part_of_cheese	Milk_source	Animal_feeding	Milk_processing	Thermisation	Pasteurization	Skimming	Inoculation_of_moulds	Curd_cutting	Presence_of_rind	Backslopping	Starter_culture	Technology_of_production	Coagulation_method	Ripening_period	Rheological_properties	Temperature_of_curd_processing_Celsius_degree	country	sample_accession	run_accession	experiment_accession	study_accession	project_accession	database_origin	library_layout	sequencing_platform	DNA_extraction_kit	collection_date	n_of_bases	n_of_reads	min_read_len	median_read_len	mean_read_len	max_read_len	n_contigs	n_MAGs_MQ_prok	n_MAGs_HQ_prok	n_MAGs_MQ_euk	n_MAGs_HQ_euk	filtered	curator
FontanaF_2023	SRR20746881	food	dairy	cheese	raw_milk_cheese		F	Core	Mixed		Raw	No	No	Yes			Yes	No	NWC			Variable	Variable	Variable	ITA	SAMN30094195	SRR20746881	SRX16767185	SRP389312	PRJNA865096	NCBI	PAIRED	Illumina_MiSeq	DNeasy_PowerFood_Microbial_Kit	9/11/2021	1457243221	9789694	75	150.0	148.0060322	151.0	14612	2	1	0	0	no	Liam_Walsh
FontanaF_2023	SRR20746834	food	dairy	cheese	raw_milk_cheese		F	Core	Mixed		Raw	No	No	Yes			Yes	No	NWC			Variable	Variable	Variable	ITA	SAMN30094238	SRR20746834	SRX16767122	SRP389312	PRJNA865096	NCBI	PAIRED	Illumina_MiSeq	DNeasy_PowerFood_Microbial_Kit	10/24/2021	1441995454	9801258	75	149.0	145.5280973	150.0	9381	3	6	0	0	no	Liam_Walsh
FontanaF_2023	SRR20746956	food	dairy	cheese	raw_milk_cheese		F	Core	Mixed		Raw	No	No	Yes			Yes	No	NWC			Variable	Variable	Variable	ITA	SAMN30094227	SRR20746956	SRX16767110	SRP389312	PRJNA865096	NCBI	PAIRED	Illumina_MiSeq	DNeasy_PowerFood_Microbial_Kit	10/13/2021	1465602192	9826701	75	150.0	148.4236053	151.0	2679	1	1	0	0	no	Liam_Walsh
FontanaF_2023	SRR20746858	food	dairy	cheese	raw_milk_cheese		F	Core	Mixed		Raw	No	No	Yes			Yes	No	NWC			Variable	Variable	Variable	ITA	SAMN30094299	SRR20746858	SRX16767208	SRP389312	PRJNA865096	NCBI	PAIRED	Illumina_MiSeq	DNeasy_PowerFood_Microbial_Kit	12/24/2021	1484597709	9987490	75	150.0	147.4837838	151.0	1637	1	1	0	0	no	Liam_Walsh
FontanaF_2023	SRR20746979	food	dairy	cheese	raw_milk_cheese		F	Core	Mixed		Raw	No	No	Yes			Yes	No	NWC			Variable	Variable	Variable	ITA	SAMN30094206	SRR20746979	SRX16767087	SRP389312	PRJNA865096	NCBI	PAIRED	Illumina_MiSeq	DNeasy_PowerFood_Microbial_Kit	9/22/2021	1491950049	10003543	75	150.0	148.5273977	151.0	1812	1	2	0	0	no	Liam_Walsh
FontanaF_2023	SRR20746844	food	dairy	cheese	raw_milk_cheese		F	Core	Mixed		Raw	No	No	Yes			Yes	No	NWC			Variable	Variable	Variable	ITA	SAMN30094312	SRR20746844	SRX16767222	SRP389312	PRJNA865096	NCBI	PAIRED	Illumina_MiSeq	DNeasy_PowerFood_Microbial_Kit	2/26/2022	1532428329	10321220	75	150.0	147.1072183	151.0	968	2	0	0	0	no	Liam_Walsh
FontanaF_2023	SRR20746948	food	dairy	cheese	raw_milk_cheese		F	Core	Mixed		Raw	No	No	Yes			Yes	No	NWC			Variable	Variable	Variable	ITA	SAMN30094234	SRR20746948	SRX16767118	SRP389312	PRJNA865096	NCBI	PAIRED	Illumina_MiSeq	DNeasy_PowerFood_Microbial_Kit	10/20/2021	1521785164	10397488	75	149.0	144.410044	150.0	2769	0	3	0	0	no	Liam_Walsh
FontanaF_2023	SRR20746862	food	dairy	cheese	raw_milk_cheese		F	Core	Mixed		Raw	No	No	Yes			Yes	No	NWC			Variable	Variable	Variable	ITA	SAMN30094295	SRR20746862	SRX16767204	SRP389312	PRJNA865096	NCBI	PAIRED	Illumina_MiSeq	DNeasy_PowerFood_Microbial_Kit	12/20/2021	1531906167	10457613	75	149.0	144.390201	150.0	921	0	0	0	0	no	Liam_Walsh
FontanaF_2023	SRR20746934	food	dairy	cheese	raw_milk_cheese		F	Core	Mixed		Raw	No	No	Yes			Yes	No	NWC			Variable	Variable	Variable	ITA	SAMN30094264	SRR20746934	SRX16767132	SRP389312	PRJNA865096	NCBI	PAIRED	Illumina_MiSeq	DNeasy_PowerFood_Microbial_Kit	11/19/2021	1535959494	10465038	75	149.0	145.0670338	150.0	1196	0	3	0	0	no	Liam_Walsh
FontanaF_2023	SRR20746829	food	dairy	cheese	raw_milk_cheese		F	Core	Mixed		Raw	No	No	Yes			Yes	No	NWC			Variable	Variable	Variable	ITA	SAMN30094243	SRR20746829	SRX16767237	SRP389312	PRJNA865096	NCBI	PAIRED	Illumina_MiSeq	DNeasy_PowerFood_Microbial_Kit	10/29/2021	1510883442	10493829	75	149.0	141.8361864	150.0	2214	1	3	0	0	no	Liam_Walsh
