sample	FalardeauJ_2023__SRR20811130	FalardeauJ_2023__SRR20811131	FalardeauJ_2023__SRR20811132	FalardeauJ_2023__SRR20811133	FalardeauJ_2023__SRR20811134	FalardeauJ_2023__SRR20811136	FalardeauJ_2023__SRR20811137	FalardeauJ_2023__SRR20811138	FalardeauJ_2023__SRR20811139	FalardeauJ_2023__SRR20811140	FalardeauJ_2023__SRR20811141	FalardeauJ_2023__SRR20811142	FalardeauJ_2023__SRR20811143	FalardeauJ_2023__SRR20811144	FalardeauJ_2023__SRR20811145	FalardeauJ_2023__SRR20811147	FalardeauJ_2023__SRR20811148	FalardeauJ_2023__SRR20811149	FalardeauJ_2023__SRR20811150	FalardeauJ_2023__SRR20811151	FalardeauJ_2023__SRR20811152	FalardeauJ_2023__SRR20811153	FalardeauJ_2023__SRR20811174	FalardeauJ_2023__SRR20811175	FalardeauJ_2023__SRR20811176	FalardeauJ_2023__SRR20811178	FalardeauJ_2023__SRR20811179	FalardeauJ_2023__SRR20811221	FalardeauJ_2023__SRR20811222	FalardeauJ_2023__SRR20811223	FalardeauJ_2023__SRR20811224	FalardeauJ_2023__SRR20811227	FalardeauJ_2023__SRR20811228	FalardeauJ_2023__SRR20811229	FalardeauJ_2023__SRR20811270	FalardeauJ_2023__SRR20811271	FalardeauJ_2023__SRR20811272	FalardeauJ_2023__SRR20811273	FalardeauJ_2023__SRR20811274	FalardeauJ_2023__SRR20811275	FalardeauJ_2023__SRR20811276	FalardeauJ_2023__SRR20811278	FalardeauJ_2023__SRR20811279	FalardeauJ_2023__SRR20811280	FalardeauJ_2023__SRR20811281	FalardeauJ_2023__SRR20811282	FalardeauJ_2023__SRR20811283	FalardeauJ_2023__SRR20811284	FalardeauJ_2023__SRR20811285	FalardeauJ_2023__SRR20811286	FalardeauJ_2023__SRR20811287	FalardeauJ_2023__SRR20811289	FalardeauJ_2023__SRR20811290	FalardeauJ_2023__SRR20811291	FalardeauJ_2023__SRR20811292	FalardeauJ_2023__SRR20811293
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Microbacteriaceae|g__Microbacterium|s__Microbacterium_gubbeenense|t__SGB34904	7.55844	4.52484	2.61844	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.30082	9.38022	8.70269	5.22293	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.40764	0.04859	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.18078
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Marinilactibacillus|s__Marinilactibacillus_psychrotolerans|t__SGB7876	7.06045	6.16548	4.87214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.60446	0.05054	0.16909	7.5463	0.14548	0.0	0.0	0.0	0.13399	0.02216	0.08957	1.21811	0.62394	0.52131	0.37501	0.31299	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.24705	0.0	0.07288	11.34923
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Brevibacteriaceae|g__Brevibacterium|s__Brevibacterium_aurantiacum|t__SGB16639	4.76472	3.06399	1.83715	0.98785	0.0	0.0	0.0	0.54556	0.0	0.59644	0.17621	0.08997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.5818	3.11463	31.2287	3.20188	0.17552	0.0	0.0	0.06319	1.87593	1.08062	1.3986	0.95304	0.78147	0.24672	0.07674	0.02223	35.59473	28.95329	42.81194	13.83775	0.10365	0.11079	0.0	0.0	44.21197	49.83202	35.20947	20.14609	3.37473	0.88451	0.0	1.38702	0.0	0.0	0.0	0.0	8.57582
k__Bacteria|p__Proteobacteria|c__CFGB15127|o__OFGB15127|f__FGB15127|g__GGB49922|s__GGB49922_SGB69917|t__SGB69917	2.21744	1.00102	2.0927	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03799	0.11836	0.07449	0.0224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23919	0.01445	0.0	0.12001
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Alkalibacterium|s__Alkalibacterium_gilvum|t__SGB7879	1.60219	0.99248	0.74919	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.51669	0.0	0.0	2.13036
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_cremoris|t__SGB7984	1.28404	1.46303	1.42144	3.37643	15.84245	15.57955	31.6518	38.04075	50.95696	7.21666	15.19736	55.78996	97.19182	83.33847	54.21515	12.06422	18.38073	10.84117	11.71296	2.84781	24.00609	7.17967	32.82694	10.66463	64.27591	63.41113	54.47579	0.08341	0.25466	0.20216	0.17038	3.96764	6.56034	8.42945	16.30272	3.3738	2.79169	7.62172	18.68531	0.0	0.0	0.0	0.0	6.54657	5.5261	6.81722	16.34781	13.96311	4.73486	5.91048	19.3274	8.62974	12.59533	57.70167	59.07241	1.51689
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_thermophilus|t__SGB8002	0.76902	0.77245	1.08507	0.22631	0.31189	0.31321	0.2522	28.11961	35.57833	0.22491	0.7436	1.84135	0.0	0.0	0.0	48.66194	53.64368	48.89458	44.05591	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.3688	10.45689	1.78008	3.39565	15.77526	37.93722	35.23799	40.9113	0.0	0.0	0.0	0.0	9.45853	7.97145	44.15785	70.08718	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25195
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Dermabacteraceae|g__Brachybacterium|s__Brachybacterium_tyrofermentans|t__SGB69231	0.69796	0.39346	0.22164	0.0	0.0	0.0	0.0	0.0	0.0	0.76354	0.50904	0.05956	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33333	0.0	0.0	0.0	0.0	0.0	0.0	0.2252	2.14121	1.92886	0.9868	1.36579	0.37767	0.0	0.0	0.0	0.16836	0.23533	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.59193
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_pseudomesenteroides|t__SGB7124	0.54541	0.50335	0.49789	7.75365	14.96476	15.76976	7.25215	4.42764	5.61904	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41255	1.42477	0.8915	2.43993	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4933	1.50484	1.41074	1.99216	0.13419	0.13532	0.36731	0.92374	0.75954	0.47973	0.70816	1.12432	0.06917	0.0	0.03869	0.09831	0.91853	0.34094	0.62476	2.75497	0.0	0.01163	0.09868	0.04544	0.85975
k__Bacteria|p__Bacteroidetes|c__CFGB14281|o__OFGB14281|f__FGB14281|g__GGB71371|s__GGB71371_SGB97751|t__SGB97751	0.46597	0.29175	0.79989	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.63319
