clade_name	DasM_2024__SRR29845383	DasM_2024__SRR29845382	DasM_2024__SRR29845380	DasM_2024__SRR29988523	DasM_2024__SRR29845385	DasM_2024__SRR29845384
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Lederbergia|s__Lederbergia_galactosidilytica|t__SGB7644	0.23755	0.0	0.0	0.0	0.0	0.36255
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Vagococcus|s__Vagococcus_carniphilus|t__SGB29898	0.17858	0.23473	0.13198	0.18492	0.14224	0.16096
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Lysinibacillus|s__Lysinibacillus_irui|t__SGB82703	0.12681	0.19011	0.05494	0.10783	0.02845	0.0721
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Comamonas|s__Comamonas_testosteroni|t__SGB12681	0.10576	0.1413	0.1128	0.15077	0.05483	0.05464
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Mammaliicoccus|s__Mammaliicoccus_sciuri|t__SGB7818	0.08781	0.0	0.0	0.0	0.0	0.13157
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Paenalcaligenes|s__Paenalcaligenes_faecalis|t__SGB99683	0.08747	0.13796	0.03784	0.06119	0.04309	0.0368
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Lacrimispora|s__Lacrimispora_SGB36966|t__SGB36966	0.08007	0.12929	0.03152	0.04545	0.06462	0.03442
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_casseliflavus|t__SGB7952	0.07647	0.0	0.05262	0.01993	0.15869	0.12472
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sulfidigenes|t__SGB6235	0.06197	0.0952	0.0	0.02034	0.0	0.01253
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_licheniformis|t__SGB7780	0.06182	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_paranthracis|t__SGB7703_group	0.06075	0.0	0.20923	0.15019	0.0	0.06246
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus_dendritiformis|t__SGB58363	0.05213	0.0	0.0	0.0	0.0	0.02607
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_glycinifermentans|t__SGB7778	0.04907	0.0	0.23906	0.12263	0.52747	0.2724
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Providencia|s__Providencia_rettgeri|t__SGB10005	0.0405	0.0	0.0	0.0	0.0	0.07107
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Siminovitchia|s__Siminovitchia_thermophila|t__SGB7645	0.03646	0.02777	0.00547	0.01853	0.0	0.03968
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Brevibacillus|s__Brevibacillus_borstelensis|t__SGB7321	0.03099	0.0	0.0	0.0	0.0	0.04126
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelothrix|s__Erysipelothrix_urinaevulpis|t__SGB77379	0.01931	0.0	0.0	0.0	0.0006	0.03692
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Oceanobacillus|s__Oceanobacillus_indicireducens|t__SGB82744	0.01906	0.0	0.0	0.0	0.01421	0.05243
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_mobile|t__SGB109599	0.0188	0.03955	0.0	0.00618	0.00332	0.0039
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Vagococcus|s__Vagococcus_vulneris|t__SGB29902	0.0173	0.02854	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus_sp_CAA11|t__SGB25349	0.01698	0.02089	0.0	0.00625	0.0	0.00105
k__Bacteria|p__Firmicutes|c__Clostridia|o__Peptostreptococcales|f__Peptostreptococcaceae|g__Metaclostridioides|s__Metaclostridioides_mangenotii|t__SGB77435	0.01164	0.07456	6.57289	4.05011	9.13334	3.04697
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Aneurinibacillus|s__Aneurinibacillus_aneurinilyticus|t__SGB7315	0.00605	0.0	0.0	0.0	0.0	0.02832
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_sp_OxB_1|t__SGB7610	0.0055	0.0	0.0	0.0	0.0	0.00319
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus_taichungensis|t__SGB7428	0.0	0.0	12.06538	7.10006	10.04421	3.3811
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_nepalensis|t__SGB7839	0.0	0.0	6.5299	3.98635	10.94774	3.57526
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Lysinibacillus|s__Lysinibacillus_alkalisoli|t__SGB82710	0.0	0.0	3.17853	1.9315	6.33585	1.99704
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_stationis|t__SGB17128	0.0	0.0	3.0098	1.87856	2.80895	0.87644
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_ammoniagenes|t__SGB17126	0.0	0.0	1.42758	0.87722	1.24061	0.41136
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Moraxella|s__Moraxella_osloensis|t__SGB10439	0.0	0.0	1.22873	0.72776	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Mammaliicoccus|s__Mammaliicoccus_lentus|t__SGB7817	0.0	0.0	1.14962	0.68776	1.85807	0.63244
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Caryophanaceae|g__Ureibacillus|s__Ureibacillus_thermosphaericus|t__SGB29943	0.0	0.0	0.67806	0.40453	1.6115	0.51863
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Intrasporangiaceae|g__Janibacter|s__Janibacter_melonis|t__SGB16015	0.0	0.0	0.42948	0.18741	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Jeotgalibaca|s__Jeotgalibaca_ciconiae|t__SGB29874	0.0	0.0	0.41473	0.24979	0.56318	0.18564
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae|g__Globicatella|s__Globicatella_sulfidifaciens|t__SGB7813	0.0	0.0	0.22981	0.21562	1.4575	0.55802
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecium|t__SGB7968	0.0	0.0	0.06831	0.02149	0.18126	0.03833
