sample	YaoG_2017__MG14-1	YaoG_2017__MG14-2	YaoG_2017__MG14-3	YaoG_2017__MG15-1	YaoG_2017__MG15-2	YaoG_2017__MG15-3	YaoG_2017__MG16-1	YaoG_2017__MG16-2	YaoG_2017__MG16-3	YaoG_2017__MG17-1	YaoG_2017__MG17-2	YaoG_2017__MG17-3	YaoG_2017__MG18-1	YaoG_2017__MG18-2	YaoG_2017__MG18-3	YaoG_2017__NM17-1	YaoG_2017__NM17-2	YaoG_2017__NM17-3	YaoG_2017__NM18-1	YaoG_2017__NM18-2	YaoG_2017__NM18-3	YaoG_2017__NM19-1	YaoG_2017__NM19-2	YaoG_2017__NM19-3	YaoG_2017__NM20-1	YaoG_2017__NM20-2	YaoG_2017__NM20-3	YaoG_2017__NM21-1	YaoG_2017__NM21-2	YaoG_2017__NM21-3
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lentilactobacillus|s__Lentilactobacillus_parakefiri|t__SGB7222	26.35848	17.04477	6.98489	10.30378	19.68533	23.13703	0.0	0.0	5.61949	12.54364	0.12528	71.30324	2.09333	2.09898	1.75947	0.59938	0.22415	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19425	0.17791	2.41241	1.4426
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Macrococcoides|s__Macrococcoides_caseolyticum|t__SGB7869	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.56825	0.0	1.30153	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB9039|o__OFGB9039|f__FGB9039|g__GGB26873|s__GGB26873_SGB39064|t__SGB39064	0.20256	0.28188	0.00382	0.0	0.0	0.0	0.0	0.0	0.0	0.60702	0.0	0.01138	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_pasteurianus|t__SGB1197	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05653	0.0	0.0	0.0	0.0	0.10263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2577	0.0	1.64316
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_gallolyticus|t__SGB8018	0.1249	0.08511	0.22878	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_pneumoniae|t__SGB10115_group	0.0	0.0	0.0	0.0	0.0	0.0	0.0919	0.07663	0.0	0.0	0.0	0.0	0.10084	0.0	0.0	0.0	0.0	0.28659	4.24506	1.62389	1.64464	0.52074	1.24259	3.05393	0.35251	0.50773	0.0	0.18022	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_casseliflavus|t__SGB7952	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07846	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_pasteurianus|t__SGB1196	0.0	0.0	0.0	1.21132	0.02499	0.0086	0.0	0.0	10.54388	0.0	0.0	0.0	0.0	0.0	0.0	0.04091	0.00499	0.7763	0.56231	3.93269	0.42436	0.0	0.0	0.0	0.0	0.0	0.0	2.03726	0.00979	0.46519
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_estunensis|t__SGB89224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00097
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lentilactobacillus|s__Lentilactobacillus_diolivorans|t__SGB7225	2.04929	15.12754	16.78577	17.29931	29.52211	5.45325	0.0	0.0	0.18022	2.09981	0.0181	0.01345	3.50446	0.00707	0.02216	0.11417	0.04024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0499	0.0	0.0289	0.03789
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Citrobacter|s__Citrobacter_braakii|t__SGB10086	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00052	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27328	0.0	0.00116
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_malorum|t__SGB1201	0.0	0.00124	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12665	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Mycobacteriaceae|g__Mycobacterium|s__Mycobacterium_tuberculosis|t__SGB15557	0.0	0.0	0.02977	0.0	0.0	0.01817	0.01283	0.00898	0.0888	0.04252	0.07001	0.02532	0.01303	0.0168	0.01707	0.3277	0.13339	0.03062	0.36024	0.23079	0.20457	0.03944	0.14635	0.35438	0.07071	0.03682	0.15608	0.01783	0.10573	0.09659
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Nocardioidaceae|g__Pimelobacter|s__Pimelobacter_simplex|t__SGB15980	0.0	0.0	0.00282	0.0	0.0	0.00152	0.00167	0.00303	0.03161	0.0055	0.00918	0.01175	0.00347	0.00287	0.00148	0.07279	0.02026	0.00534	0.11409	0.15294	0.02813	0.02135	0.03059	0.14088	0.02076	0.00641	0.01307	0.00775	0.01823	0.01412
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Mediterraneibacter|s__Ruminococcus_torques|t__SGB4608	0.0	0.0	0.0	0.0	0.00163	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Dolosigranulum|s__Dolosigranulum_pigrum|t__SGB7017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33849	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
