sample	AlmeidaO_2020__SRR8742576	AlmeidaO_2020__SRR8742577	AlmeidaO_2020__SRR8742578	AlmeidaO_2020__SRR8742579	AlmeidaO_2020__SRR8742580	AlmeidaO_2020__SRR8742581	AlmeidaO_2020__SRR8742582	AlmeidaO_2020__SRR8742584	AlmeidaO_2020__SRR8742585
macrocategory	food	food	food	food	food	food	food	food	food
category	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds
type	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans
subtype									
country	BRA	BRA	BRA	BRA	BRA	BRA	BRA	BRA	BRA
source	public	public	public	public	public	public	public	public	public
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Limosilactobacillus|s__Limosilactobacillus_gorillae|t__SGB29589	0.0	0.0	0.0	0.0	0.00318	0.00991	0.0067	0.0	0.00075
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_indonesiensis|t__SGB1203	0.0	0.0	0.0	0.0	0.00295	0.00083	0.00869	0.0	0.00231
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Liquorilactobacillus|s__Liquorilactobacillus_cacaonum|t__SGB7075	0.0	0.0	0.0	0.0	0.0009	0.00788	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Weizmannia|s__Weizmannia_coagulans|t__SGB7729	0.0	0.0	0.0	0.0	0.00084	0.0	0.0	0.04016	0.09028
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Margalitia|s__Margalitia_camelliae|t__SGB7731	0.0	0.0	0.0	0.0	0.00014	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_durrellii|t__SGB94573	0.0	0.0	0.0	0.0	0.0	0.01131	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Sphingobacterium|s__Sphingobacterium_litopenaei|t__SGB78603	0.0	0.0	0.0	0.0	0.0	0.00364	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Sphingobacterium|s__Sphingobacterium_composti_Yoo_et_al_2007_non_Ten_et_al_2007|t__SGB78592	0.0	0.0	0.0	0.0	0.0	0.00353	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_koreensis|t__SGB16630	0.0	0.0	0.0	0.0	0.0	0.00328	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_casseliflavus|t__SGB7952	0.0	0.0	0.0	0.0	0.0	0.00318	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter_baumannii|t__SGB10343	0.0	0.0	0.0	0.0	0.0	0.00313	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Ureibacillus|s__Ureibacillus_sp_Re31|t__SGB82709	0.0	0.0	0.0	0.0	0.0	0.00255	0.0	0.32311	0.13056
