sample	AlmeidaO_2020__SRR8742576	AlmeidaO_2020__SRR8742577	AlmeidaO_2020__SRR8742578	AlmeidaO_2020__SRR8742579	AlmeidaO_2020__SRR8742580	AlmeidaO_2020__SRR8742581	AlmeidaO_2020__SRR8742582	AlmeidaO_2020__SRR8742584	AlmeidaO_2020__SRR8742585
macrocategory	food	food	food	food	food	food	food	food	food
category	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds
type	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans
subtype									
country	BRA	BRA	BRA	BRA	BRA	BRA	BRA	BRA	BRA
source	public	public	public	public	public	public	public	public	public
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_licheniformis|t__SGB7780	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32907	0.08716
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Cytobacillus|s__Cytobacillus_sp_Sa5YUA1|t__SGB82814	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01427	0.01033
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Caldibacillus|s__Caldibacillus_thermoamylovorans|t__SGB7728	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01248	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_halotolerans|t__SGB7787	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01102	0.00101
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus_lactis|t__SGB7408	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00705	0.00782
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_sp_SKDU12|t__SGB66481	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00606	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Lysinibacillus|s__Lysinibacillus_odysseyi|t__SGB7477	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00384	0.00217
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus_montaniterrae|t__SGB94505	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00144	0.00059
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Heyndrickxia|s__Heyndrickxia_vini|t__SGB94638	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00277
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus_cookii|t__SGB7404	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00175
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Rummeliibacillus|s__Rummeliibacillus_pycnus|t__SGB29935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00133
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus_chibensis|t__SGB29209	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00061
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Heyndrickxia|s__Heyndrickxia_sporothermodurans|t__SGB7733	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002
