sgb_id	Unknown	Level of assigned taxonomy	Assigned taxonomy	superkingdom	phylum	class	order	family	genus	species	alcohol	dairy	fermented_beverages	fermented_fruits_and_vegetables	fermented_grains	fermented_legumes	fermented_meat	fermented_seeds	fermented_tubers_and_roots	fruits_and_vegetables	other	probiotics
EUK41413	kSGB	Species	k__Eukaryota|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__Aspergillus_glaucus|t__EUK41413	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_glaucus	0	0	0	0	0	0	2	0	0	0	0	0
EUK10000011	kSGB	Species	k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Debaryomyces|s__Debaryomyces_tyrocola|t__EUK10000011	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces_tyrocola	0	0	0	0	0	0	1	0	0	0	0	0
EUK229535	kSGB	Species	k__Eukaryota|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Penicillium|s__Penicillium_nordicum|t__EUK229535	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_nordicum	0	0	0	0	0	0	3	0	0	0	0	0
EUK10000013	uSGB	Genus	k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Debaryomyces|s__unknown|t__EUK10000013	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	unknown	0	0	0	0	0	0	1	0	0	0	0	0
EUK10000069	kSGB	Species	k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Dipodascaceae|g__Yarrowia|s__Yarrowia_alimentaria|t__EUK10000069	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae	Yarrowia	Yarrowia_alimentaria	0	0	0	0	0	0	1	0	0	0	0	0
EUK10000018	uSGB	Genus	k__Eukaryota|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__unknown|t__EUK10000018	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	unknown	0	0	0	0	0	0	4	0	0	0	0	0
EUK2488753	kSGB	Species	k__Eukaryota|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Penicillium|s__Penicillium_sp_SPG_F1|t__EUK2488753	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_sp_SPG_F1	0	10	0	0	0	0	1	0	0	0	0	0
EUK4959_1	kSGB	Species	k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Debaryomyces|s__Debaryomyces_hansenii_group_1|t__EUK4959_1	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces_hansenii_group_1	2	106	0	0	0	0	21	1	0	0	0	0
EUK10000014	kSGB	Species	k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__unknown|g__unknown|s__Candida_glucosophila|t__EUK10000014	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	unknown	unknown	Candida_glucosophila	0	0	0	0	0	0	1	0	0	0	0	0
EUK10000047	kSGB	Species	k__Eukaryota|p__Mucoromycota|c__Mucoromycetes|o__Mucorales|f__Mucoraceae|g__Helicostylum|s__Helicostylum_pulchrum|t__EUK10000047	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Helicostylum	Helicostylum_pulchrum	0	0	0	0	0	0	1	0	0	0	0	0
EUK10000073	uSGB	Genus	k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Kurtzmaniella|s__unknown|t__EUK10000073	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Kurtzmaniella	unknown	0	0	0	0	0	0	1	0	0	0	0	0
