dataset_name	sample_id	macrocategory	category	type	subtype	commercial_name	country	sample_accession	run_accession	experiment_accession	study_accession	project_accession	database_origin	library_layout	sequencing_platform	DNA_extraction_kit	collection_date	n_bases	n_reads	min_read_len	median_read_len	mean_read_len	max_read_len	n_contigs	n_MAGs_(HQ+MQ)	n_MAGs_MQ	n_MAGs_HQ	n_MAGs_all	filtered	curator
AlvarezOrdonezA_xxxx	C05-18	food	fermented_meat	meat	cured_meat_after_ripening		ESP							PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		9337145609	63150598	75	151.0	147.8552207692475	151	60531	7	4	3	25		Niccolò Carlino
AlvarezOrdonezA_xxxx	C05-19	food	fermented_meat	meat	cured_meat_after_ripening		ESP							PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		8661800127	57922006	75	151.0	149.5424748756112	151	46605	2	2	0	15		Niccolò Carlino
AlvarezOrdonezA_xxxx	C06-16	food	meat	cured_meat_before_ripening	cured_meat_before_ripening		ESP							PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		9511546100	64433858	75	151.0	147.61720615891105	151	88329	2	2	0	11		Niccolò Carlino
AlvarezOrdonezA_xxxx	C06-17	food	meat	cured_meat_before_ripening	cured_meat_before_ripening		ESP							PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		6833296914	46503898	75	151.0	146.94030410095945	151	63505	3	2	1	6		Niccolò Carlino
AlvarezOrdonezA_xxxx	C06-18	food	fermented_meat	meat	cured_meat_after_ripening		ESP							PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		9580900273	65224007	75	151.0	146.89223667291708	151	52111	3	3	0	24		Niccolò Carlino
AlvarezOrdonezA_xxxx	C06-19	food	fermented_meat	meat	cured_meat_after_ripening		ESP							PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		9670748043	65116537	75	151.0	148.5144709553581	151	29284	2	0	2	15		Niccolò Carlino
AlvarezOrdonezA_xxxx	C07-16	food	meat	cured_meat_before_ripening	cured_meat_before_ripening		ESP							PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		7849283566	53042157	75	151.0	147.98198282170162	151	144155	3	2	1	8		Niccolò Carlino
AlvarezOrdonezA_xxxx	C07-17	food	meat	cured_meat_before_ripening	cured_meat_before_ripening		ESP							PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		7057558321	47721043	75	151.0	147.89195451993788	151	84338	1	0	1	3		Niccolò Carlino
AlvarezOrdonezA_xxxx	C07-18	food	fermented_meat	meat	cured_meat_after_ripening		ESP							PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		8482337454	57751828	75	151.0	146.87565307889474	151	22910	4	2	2	13		Niccolò Carlino
AlvarezOrdonezA_xxxx	C07-19	food	fermented_meat	meat	cured_meat_after_ripening		ESP							PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		8117483421	54683960	75	151.0	148.44359152117002	151	32277	5	4	1	21		Niccolò Carlino
