sgb_id	Unknown	Assigned taxonomy	Level of assigned taxonomy	MAG	reference_genomes	Food_processing	Animal	Food	Human	Other_categories	NA
SGB1203	kSGB	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_indonesiensis|t__SGB1203	Species	4	3	0	0	4	0	0	3
SGB1205	kSGB	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_senegalensis|t__SGB1205	Species	5	6	0	0	1	0	4	7
SGB1680	uSGB	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_SGB1680|t__SGB1680	Genus	664	0	0	4	1	737	0	169
SGB1705	uSGB	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__GGB1270|s__GGB1270_SGB1705|t__SGB1705	Family	176	0	0	2	1	182	0	22
SGB2021	uSGB	k__Bacteria|p__Bacteroidetes|c__CFGB619|o__OFGB619|f__FGB619|g__GGB1458|s__GGB1458_SGB2021|t__SGB2021	Other	455	0	0	16	1	521	0	68
SGB2540	kSGB	k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Elizabethkingia|s__Elizabethkingia_meningoseptica|t__SGB2540	Species	2	24	0	0	1	0	1	25
SGB2547	kSGB	k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Chryseobacterium|s__Chryseobacterium_sp_FP211_J200|t__SGB2547	Species	6	1	5	0	1	0	0	1
SGB2548	kSGB	k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Epilithonimonas|s__Epilithonimonas_bovis|t__SGB2548	Species	13	2	10	0	1	1	0	3
SGB2576	kSGB	k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Chryseobacterium|s__Chryseobacterium_gleum|t__SGB2576	Species	5	2	0	0	1	0	2	4
SGB2641	kSGB	k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Kaistella|s__Kaistella_haifensis|t__SGB2641	Species	12	4	3	0	9	0	0	4
SGB2756	kSGB	k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Salegentibacter|s__Salegentibacter_agarivorans|t__SGB2756	Species	11	3	2	0	2	0	6	4
