sgb_id	Unknown	Level of assigned taxonomy	Assigned taxonomy	superkingdom	phylum	class	order	family	genus	species	MAG	genome	filtered	Food	Human	Animal	Other_categories	NA
SGB1165	kSGB	Species	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Gluconobacter|s__Gluconobacter_oxydans|t__SGB1165	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconobacter	Gluconobacter_oxydans	23	11	3	23	0	0	0	14
SGB94715	ufSGB	Genus	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_SGB94715|t__SGB94715	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc_SGB94715	5	0	0	5	0	0	0	0
SGB92524	ufSGB	Genus	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Rahnella|s__Rahnella_SGB92524|t__SGB92524	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Rahnella	Rahnella_SGB92524	1	0	0	1	0	0	0	0
SGB94718	ufSGB	Genus	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_SGB94718|t__SGB94718	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_SGB94718	2	0	0	2	0	0	0	0
SGB10209	kSGB	Species	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Hafniaceae|g__Hafnia|s__Hafnia_alvei|t__SGB10209	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Hafniaceae	Hafnia	Hafnia_alvei	25	27	7	10	16	0	0	33
SGB94719	ufSGB	Genus	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_SGB94719|t__SGB94719	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_SGB94719	3	0	0	3	0	0	0	0
SGB92555	ufSGB	Family	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Roseobacteraceae|g__GGB68574|s__GGB68574_SGB92555|t__SGB92555	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	GGB68574	GGB68574_SGB92555	2	0	0	2	0	0	0	0
SGB92515	ufSGB	Genus	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Hafniaceae|g__Hafnia|s__Hafnia_SGB92515|t__SGB92515	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Hafniaceae	Hafnia	Hafnia_SGB92515	6	0	0	6	0	0	0	0
SGB7216	kSGB	Species	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lentilactobacillus|s__Lentilactobacillus_hilgardii|t__SGB7216	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_hilgardii	71	4	7	75	0	0	0	7
SGB39064	uSGB	Other	k__Bacteria|p__Firmicutes|c__CFGB9039|o__OFGB9039|f__FGB9039|g__GGB26873|s__GGB26873_SGB39064|t__SGB39064	Bacteria	Firmicutes	CFGB9039	OFGB9039	FGB9039	GGB26873	GGB26873_SGB39064	8	0	0	4	0	0	0	4
