mag	dataset_name	sample_id	sgb_id	Unknown	Level of assigned taxonomy	superkingdom	phylum	class	order	family	genus	species	genome_size	# contigs	N50 (contigs)	completeness	contamination	GC	strain_heterogeneity
ArikanM_2020__ERS1939656__bin.7	ArikanM_2020	ERS1939656	SGB24152	kSGB	Species	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconacetobacter	Gluconacetobacter_entanii	2364342	51	76104	95.02487562	0	0.6438628591	0
ArikanM_2020__ERS1939657__bin.4	ArikanM_2020	ERS1939657	SGB24152	kSGB	Species	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconacetobacter	Gluconacetobacter_entanii	2336265	95	46792	76.50758305	0	0.6362497405	0
ArikanM_2020__ERS1881306__bin.5	ArikanM_2020	ERS1881306	SGB30482	kSGB	Species	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter	Komagataeibacter_xylinus	2722496	87	53973	95.1933879	2.114427861	0.6411891882	87.5
ArikanM_2020__ERS1937824__bin.3	ArikanM_2020	ERS1937824	SGB30482	kSGB	Species	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter	Komagataeibacter_xylinus	2772231	103	42798	98.94479217	1.119402985	0.6415504336	75
ArikanM_2020__ERS1937969__bin.3	ArikanM_2020	ERS1937969	SGB30482	kSGB	Species	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter	Komagataeibacter_xylinus	2680084	114	38085	97.29176697	2.23880597	0.6419780126	83.33
ArikanM_2020__ERS1939580__bin.2	ArikanM_2020	ERS1939580	SGB30482	kSGB	Species	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter	Komagataeibacter_xylinus	2814879	71	61634	99.53057294	0.1243781095	0.6391052688	100
ArikanM_2020__ERS1939594__bin.3	ArikanM_2020	ERS1939594	SGB30482	kSGB	Species	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter	Komagataeibacter_xylinus	2208301	81	40561	90.57534906	1.243781095	0.6453083162	50
ArikanM_2020__ERS1939655__bin.5	ArikanM_2020	ERS1939655	SGB30482	kSGB	Species	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter	Komagataeibacter_xylinus	2874712	105	46963	98.94880437	0.1243781095	0.6397472164	100
ArikanM_2020__ERS1939656__bin.3	ArikanM_2020	ERS1939656	SGB30482	kSGB	Species	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter	Komagataeibacter_xylinus	2369457	64	59498	91.0276331	0.2902155887	0.6424421291	100
ArikanM_2020__ERS1939657__bin.6	ArikanM_2020	ERS1939657	SGB30482	kSGB	Species	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter	Komagataeibacter_xylinus	2871627	120	37008	97.20751083	3.980099502	0.6413444364	87.5
ArikanM_2020__ERS1932640__bin.3	ArikanM_2020	ERS1932640	SGB1180	kSGB	Species	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter	Komagataeibacter_rhaeticus	2764145	97	42012	88.5261194	0.7462686567	0.6429449251	100
ArikanM_2020__ERS1937824__bin.1	ArikanM_2020	ERS1937824	SGB1180	kSGB	Species	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter	Komagataeibacter_rhaeticus	2831343	102	53089	95.21344888	0	0.6435211135	0
ArikanM_2020__ERS1937969__bin.6	ArikanM_2020	ERS1937969	SGB1180	kSGB	Species	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter	Komagataeibacter_rhaeticus	2876641	94	55053	95.052961	2.155887231	0.6445614868	80
ArikanM_2020__ERS1939580__bin.3	ArikanM_2020	ERS1939580	SGB1180	kSGB	Species	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter	Komagataeibacter_rhaeticus	2771875	77	62613	99.0330605	0	0.6463390304	0
ArikanM_2020__ERS1939593__bin.4	ArikanM_2020	ERS1939593	SGB1180	kSGB	Species	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter	Komagataeibacter_rhaeticus	2839428	102	45742	94.55544856	0	0.6437057041	0
ArikanM_2020__ERS1939594__bin.2	ArikanM_2020	ERS1939594	SGB1180	kSGB	Species	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter	Komagataeibacter_rhaeticus	2911754	101	48866	96.79425453	0	0.6410579328	0
ArikanM_2020__ERS1939655__bin.1	ArikanM_2020	ERS1939655	SGB1180	kSGB	Species	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter	Komagataeibacter_rhaeticus	2955699	94	57430	99.32193869	0	0.6429751473	0
ArikanM_2020__ERS1939656__bin.5	ArikanM_2020	ERS1939656	SGB1180	kSGB	Species	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter	Komagataeibacter_rhaeticus	2855979	118	41432	97.75818488	0.2902155887	0.6443615307	0
LeechJ_2020__ERS3967738__bin.1	LeechJ_2020	ERS3967738	SGB1180	kSGB	Species	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter	Komagataeibacter_rhaeticus	3019125	163	30607	98.554606	0.9950248756	0.6423324639	50
LeechJ_2020__ERS3967739__bin.2	LeechJ_2020	ERS3967739	SGB1180	kSGB	Species	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter	Komagataeibacter_rhaeticus	2598207	591	5473	82.52622518	2.487562189	0.6404943871	16.67
ArikanM_2020__ERS1939655__bin.10	ArikanM_2020	ERS1939655	SGB94227	ufSGB	Other	Bacteria	Acidobacteria	CFGB63345	OFGB63345	FGB63345	GGB69906	GGB69906_SGB94227	4464897	146	56488	96.5337132	1.709401709	0.6604607004	0
