mag	dataset_name	sample_id	sgb_id	Unknown	Level of assigned taxonomy	superkingdom	phylum	class	order	family	genus	species	genome_size	# contigs	N50 (contigs)	completeness	contamination	GC	strain_heterogeneity
VerceM_2019__ERS1807707__bin.2	VerceM_2019	ERS1807707	SGB7216	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_hilgardii	3031422	245	17583	96.61458333	1.145833333	0.3991209406	25
MortensenS_xxxx__WK001-2-G-48h-01C4_S1__bin.11	MortensenS_xxxx	WK001-2-G-48h-01C4_S1	SGB7216	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_hilgardii	2984346	63	72054	98.75	0.3125	0.3996105009	0
MortensenS_xxxx__WK001T-1-L-00h-05D3_S82__bin.1	MortensenS_xxxx	WK001T-1-L-00h-05D3_S82	SGB7216	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_hilgardii	2063335	687	3113	57.97936959	0.5208333333	0.4017462021	0
MortensenS_xxxx__WK001T-1-L-02h-05D7_S86__bin.1	MortensenS_xxxx	WK001T-1-L-02h-05D7_S86	SGB7216	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_hilgardii	1709865	619	2858	52.07911143	0.8528645833	0.4032973363	33.33
MortensenS_xxxx__WK001T-1-L-04h-05E2_S90__bin.7	MortensenS_xxxx	WK001T-1-L-04h-05E2_S90	SGB7216	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_hilgardii	2075254	654	3359	63.16589444	2.572916667	0.403012836	20
MortensenS_xxxx__WK001T-1-L-16h-05F1_S98__bin.7	MortensenS_xxxx	WK001T-1-L-16h-05F1_S98	SGB7216	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_hilgardii	2159419	664	3604	66.10577877	1.306818182	0.4080643914	16.67
MortensenS_xxxx__WK006-2-G-48h-01C9_S6__bin.2	MortensenS_xxxx	WK006-2-G-48h-01C9_S6	SGB7216	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_hilgardii	2891788	96	46502	94.375	0.3125	0.4005839986	0
MortensenS_xxxx__WK006-2-L-48h-01H6_S48__bin.5	MortensenS_xxxx	WK006-2-L-48h-01H6_S48	SGB7216	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_hilgardii	1476520	555	2788	52.38498828	0.3645833333	0.4119199198	0
MortensenS_xxxx__WK007-1-L-08h-01H7_S49__bin.9	MortensenS_xxxx	WK007-1-L-08h-01H7_S49	SGB7216	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_hilgardii	2136476	588	4089	70.27809343	0	0.4077696169	0
MortensenS_xxxx__WK007-1-L-48h-01H8_S50__bin.1	MortensenS_xxxx	WK007-1-L-48h-01H8_S50	SGB7216	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_hilgardii	1977191	629	3394	63.60571677	0.625	0.408949363	0
MortensenS_xxxx__WK007-2-G-48h-01D1_S7__bin.1	MortensenS_xxxx	WK007-2-G-48h-01D1_S7	SGB7216	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_hilgardii	2906282	234	18731	96.35416667	1.0625	0.3997901787	33.33
MortensenS_xxxx__WK007-2-L-08h-01H9_S51__bin.6	MortensenS_xxxx	WK007-2-L-08h-01H9_S51	SGB7216	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_hilgardii	2231628	573	4210	70.00241252	0.6770833333	0.4068903957	0
MortensenS_xxxx__WK009-2-G-48h-01D3_S9__bin.9	MortensenS_xxxx	WK009-2-G-48h-01D3_S9	SGB7216	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_hilgardii	3009748	433	9329	94.6875	4.21875	0.4008777479	0
MortensenS_xxxx__WK013-1-L-48h-02B5_S74__bin.5	MortensenS_xxxx	WK013-1-L-48h-02B5_S74	SGB7216	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_hilgardii	1787975	601	3184	61.13938492	2.385416667	0.4089469931	8.33
MortensenS_xxxx__WK013-2-G-48h-01D7_S13__bin.9	MortensenS_xxxx	WK013-2-G-48h-01D7_S13	SGB7216	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_hilgardii	2915231	277	15809	90.14880952	2.528409091	0.4015397065	18.18
MortensenS_xxxx__WK014-2-G-48h-01D8_S14__bin.3	MortensenS_xxxx	WK014-2-G-48h-01D8_S14	SGB7216	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_hilgardii	1786799	627	2968	52.59170387	2.020833333	0.4089894834	0
MortensenS_xxxx__WK015-1-L-08h-02C3_S81__bin.11	MortensenS_xxxx	WK015-1-L-08h-02C3_S81	SGB7216	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_hilgardii	2536416	636	4747	64.69667659	0.4214015152	0.4057926618	33.33
MortensenS_xxxx__WK015-1-L-48h-02C4_S82__bin.2	MortensenS_xxxx	WK015-1-L-48h-02C4_S82	SGB7216	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_hilgardii	2667487	431	8551	86.61458333	1	0.4048263403	0
MortensenS_xxxx__WK015-2-L-08h-02C5_S83__bin.5	MortensenS_xxxx	WK015-2-L-08h-02C5_S83	SGB7216	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_hilgardii	2400624	668	3940	64.90124459	4.259700803	0.4078014716	13.64
MortensenS_xxxx__WK016-2-G-48h-01E1_S16__bin.6	MortensenS_xxxx	WK016-2-G-48h-01E1_S16	SGB7216	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_hilgardii	2204560	621	4244	72.53255208	0.9375	0.4064711326	0
MortensenS_xxxx__WK017-2-G-48h-01E2_S17__bin.2	MortensenS_xxxx	WK017-2-G-48h-01E2_S17	SGB7216	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_hilgardii	2843711	322	12567	94.53125	0.3125	0.4024649481	0
MortensenS_xxxx__WK018-2-G-48h-01E3_S18__bin.1	MortensenS_xxxx	WK018-2-G-48h-01E3_S18	SGB7216	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_hilgardii	2949617	367	11924	98.125	0.4375	0.4016782518	0
MortensenS_xxxx__WK018T-1-G-00h-05I7_S131__bin.3	MortensenS_xxxx	WK018T-1-G-00h-05I7_S131	SGB7216	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_hilgardii	3083155	200	24265	98.125	0.3125	0.3998488561	0
MortensenS_xxxx__WK021-2-G-48h-01E6_S21__bin.5	MortensenS_xxxx	WK021-2-G-48h-01E6_S21	SGB7216	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_hilgardii	2940279	256	16469	94.51171875	0.9375	0.4009629698	0
MortensenS_xxxx__WK024-1-L-48h-02G7_S121__bin.8	MortensenS_xxxx	WK024-1-L-48h-02G7_S121	SGB7216	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_hilgardii	1617490	601	2798	55.95605046	0.4861111111	0.4108155228	0
MortensenS_xxxx__WK024-2-G-48h-01E9_S24__bin.6	MortensenS_xxxx	WK024-2-G-48h-01E9_S24	SGB7216	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_hilgardii	2221977	672	3589	73.05202133	0.9825994318	0.407675237	28.57
MortensenS_xxxx__WK025-1-L-08h-02H4_S5__bin.8	MortensenS_xxxx	WK025-1-L-08h-02H4_S5	SGB7216	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_hilgardii	2937869	358	11183	90.91964286	0.9375	0.4019222777	0
MortensenS_xxxx__WK025-2-G-48h-04A1_S101__bin.1	MortensenS_xxxx	WK025-2-G-48h-04A1_S101	SGB7216	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_hilgardii	3064061	126	40520	99.375	0.3125	0.400044255	0
MortensenS_xxxx__WK025-2-L-08h-02H6_S7__bin.5	MortensenS_xxxx	WK025-2-L-08h-02H6_S7	SGB7216	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_hilgardii	2206266	590	4171	71.61434659	0.08897569444	0.4092453041	0
MortensenS_xxxx__WK025-2-L-48h-02H7_S8__bin.6	MortensenS_xxxx	WK025-2-L-48h-02H7_S8	SGB7216	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_hilgardii	2696076	546	6054	90.97619048	0.5208333333	0.4040787426	0
MortensenS_xxxx__WK026-2-G-48h-04A2_S102__bin.5	MortensenS_xxxx	WK026-2-G-48h-04A2_S102	SGB7216	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_hilgardii	3109965	259	17601	97.6875	1.875	0.399784885	0
MortensenS_xxxx__WK027-1-L-08h-02I3_S13__bin.11	MortensenS_xxxx	WK027-1-L-08h-02I3_S13	SGB7216	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_hilgardii	3008220	141	36654	99.375	1.25	0.3994259063	0
MortensenS_xxxx__WK027-1-L-48h-02I4_S14__bin.2	MortensenS_xxxx	WK027-1-L-48h-02I4_S14	SGB7216	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_hilgardii	3068388	235	22610	99.375	1.25	0.3988944684	0
MortensenS_xxxx__WK027-2-G-48h-04A3_S103__bin.2	MortensenS_xxxx	WK027-2-G-48h-04A3_S103	SGB7216	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_hilgardii	2941043	122	42267	99.375	0.625	0.3996388356	0
MortensenS_xxxx__WK027-2-L-08h-02I5_S15__bin.5	MortensenS_xxxx	WK027-2-L-08h-02I5_S15	SGB7216	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_hilgardii	2895470	260	16165	94.625	1.875	0.4010174514	0
MortensenS_xxxx__WK029-2-G-48h-04A5_S105__bin.3	MortensenS_xxxx	WK029-2-G-48h-04A5_S105	SGB7216	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_hilgardii	2708470	542	5986	88.24479167	1.427083333	0.4020886331	20
MortensenS_xxxx__WK030-1-L-08h-03A6_S25__bin.10	MortensenS_xxxx	WK030-1-L-08h-03A6_S25	SGB7216	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_hilgardii	3121090	422	10373	96.61458333	0.5729166667	0.4006430446	0
MortensenS_xxxx__WK030-1-L-48h-03A7_S26__bin.4	MortensenS_xxxx	WK030-1-L-48h-03A7_S26	SGB7216	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_hilgardii	3027690	262	17759	97.1875	0.5208333333	0.4001185722	50
MortensenS_xxxx__WK030-2-G-48h-04A6_S106__bin.1	MortensenS_xxxx	WK030-2-G-48h-04A6_S106	SGB7216	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_hilgardii	3059004	81	50509	99.375	0.3125	0.3992015048	0
MortensenS_xxxx__WK030-2-L-08h-03A8_S27__bin.2	MortensenS_xxxx	WK030-2-L-08h-03A8_S27	SGB7216	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_hilgardii	3218639	157	33340	99.375	0.625	0.3990018763	50
MortensenS_xxxx__WK030-2-L-48h-03A9_S28__bin.4	MortensenS_xxxx	WK030-2-L-48h-03A9_S28	SGB7216	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_hilgardii	2992364	311	14276	94.79166667	0	0.4008977517	0
MortensenS_xxxx__WK033-2-G-48h-04A9_S109__bin.7	MortensenS_xxxx	WK033-2-G-48h-04A9_S109	SGB7216	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_hilgardii	3113818	212	22688	98.59375	0.4375	0.3999970454	0
MortensenS_xxxx__WK034-2-G-48h-04B1_S110__bin.9	MortensenS_xxxx	WK034-2-G-48h-04B1_S110	SGB7216	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_hilgardii	2427035	588	4816	77.59412202	0.7924107143	0.4061976857	25
MortensenS_xxxx__WK036-2-G-48h-04B3_S112__bin.3	MortensenS_xxxx	WK036-2-G-48h-04B3_S112	SGB7216	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_hilgardii	2935581	105	49352	95	0.3125	0.4006051954	0
MortensenS_xxxx__WK048-2-G-48h-04C6_S124__bin.4	MortensenS_xxxx	WK048-2-G-48h-04C6_S124	SGB7216	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_hilgardii	3011591	154	31327	96.45833333	0.3125	0.4010308837	0
MortensenS_xxxx__WK050-2-G-48h-04D2_S129__bin.5	MortensenS_xxxx	WK050-2-G-48h-04D2_S129	SGB7216	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_hilgardii	3275852	252	20659	99.16071429	2.395833333	0.3996966285	25
MortensenS_xxxx__WK053-2-G-48h-05G5_S111__bin.3	MortensenS_xxxx	WK053-2-G-48h-05G5_S111	SGB7216	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_hilgardii	2760773	500	7167	87.86197917	0.3125	0.4034225197	0
MortensenS_xxxx__WK054-2-G-48h-05G6_S112__bin.1	MortensenS_xxxx	WK054-2-G-48h-05G6_S112	SGB7216	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_hilgardii	2518103	644	4515	77.58984375	3.006944444	0.4040585314	0
MortensenS_xxxx__WK055-2-G-48h-05G7_S113__bin.2	MortensenS_xxxx	WK055-2-G-48h-05G7_S113	SGB7216	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_hilgardii	3152495	117	44978	99.375	0.3125	0.3995162562	0
MortensenS_xxxx__WK056-1-L-48h-04F7_S23__bin.6	MortensenS_xxxx	WK056-1-L-48h-04F7_S23	SGB7216	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_hilgardii	1874548	684	2843	55.85288149	1.234809028	0.4067481868	40
MortensenS_xxxx__WK056-2-G-48h-05G8_S114__bin.4	MortensenS_xxxx	WK056-2-G-48h-05G8_S114	SGB7216	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_hilgardii	3170915	150	35497	98.125	1.71875	0.4002119262	0
MortensenS_xxxx__WK056-2-L-08h-04F8_S24__bin.8	MortensenS_xxxx	WK056-2-L-08h-04F8_S24	SGB7216	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_hilgardii	3364464	437	11354	96.875	4.047619048	0.3984533643	15.38
MortensenS_xxxx__WK056-2-L-48h-04F9_S25__bin.8	MortensenS_xxxx	WK056-2-L-48h-04F9_S25	SGB7216	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_hilgardii	2628419	676	4361	81.73660714	1.822916667	0.4052854587	0
MortensenS_xxxx__WK057-2-G-48h-05G9_S115__bin.6	MortensenS_xxxx	WK057-2-G-48h-05G9_S115	SGB7216	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_hilgardii	3026814	425	9569	95	1.036458333	0.4018162332	16.67
MortensenS_xxxx__WK059-2-L-08h-04H2_S36__bin.5	MortensenS_xxxx	WK059-2-L-08h-04H2_S36	SGB7216	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_hilgardii	2691338	589	5370	83.4421503	4.021103896	0.4038296193	26.09
MortensenS_xxxx__WK060-2-G-48h-05H3_S118__bin.1	MortensenS_xxxx	WK060-2-G-48h-05H3_S118	SGB7216	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_hilgardii	2908262	171	29768	89.89583333	0.9375	0.3996507192	0
MortensenS_xxxx__WK060-2-L-08h-04H6_S40__bin.1	MortensenS_xxxx	WK060-2-L-08h-04H6_S40	SGB7216	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_hilgardii	1096292	42	34745	84.0625	0	0.3896580473	0
MASTER_WP4_UNINA_1__FO011_71775__bin.24	MASTER_WP4_UNINA_1	FO011_71775	SGB7216	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_hilgardii	3112323	235	24530	98.625	1.25	0.3975904815	0
MASTER_WP4_UNINA_1__PR004_71775__bin.11	MASTER_WP4_UNINA_1	PR004_71775	SGB7216	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_hilgardii	2898041	171	43106	99.25	2.5	0.3975778811	33.33
MASTER_WP4_UNINA_1__PR005_71775__bin.4	MASTER_WP4_UNINA_1	PR005_71775	SGB7216	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_hilgardii	2788402	304	13535	96.51041667	2.296401515	0.3989338697	77.78
MASTER_WP4_UNINA_1__PR207_71775__bin.22	MASTER_WP4_UNINA_1	PR207_71775	SGB7216	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_hilgardii	2823742	115	35508	95.5	0.625	0.3989755438	0
MASTER_WP4_CSIC_2__P2601__bin.22	MASTER_WP4_CSIC_2	P2601	SGB7216	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_hilgardii	3357533	211	29786	96.75	1.5625	0.3980157455	0
DeFilippisF_xxxx__DF_79__bin.7	DeFilippisF_xxxx	DF_79	SGB7216	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_hilgardii	2986706	115	38647	98.625	1.09375	0.399423646	33.33
MortensenS_xxxx__WK001T-1-G-00h-05I5_S129__bin.3	MortensenS_xxxx	WK001T-1-G-00h-05I5_S129	SGB7216	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_hilgardii	3030622	55	73188	99.375	0.3125	0.3998057165	0
MortensenS_xxxx__WK001T-2-G-00h-05I6_S130__bin.2	MortensenS_xxxx	WK001T-2-G-00h-05I6_S130	SGB7216	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_hilgardii	3044254	59	73189	99.375	0.3125	0.3995819666	0
MortensenS_xxxx__WK018T-2-G-00h-05I8_S132__bin.5	MortensenS_xxxx	WK018T-2-G-00h-05I8_S132	SGB7216	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_hilgardii	3039820	128	38956	99.375	0.3125	0.4000253304	0
MortensenS_xxxx__WK025-1-L-48h-02H5_S6__bin.6	MortensenS_xxxx	WK025-1-L-48h-02H5_S6	SGB7216	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_hilgardii	3077942	117	47989	99.375	0.9375	0.3995250723	0
MortensenS_xxxx__WK059-2-G-48h-05H2_S117__bin.2	MortensenS_xxxx	WK059-2-G-48h-05H2_S117	SGB7216	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_hilgardii	3033696	70	61899	99.375	0.3125	0.3997496783	0
MortensenS_xxxx__WK060-1-L-48h-04H5_S39__bin.2	MortensenS_xxxx	WK060-1-L-48h-04H5_S39	SGB7216	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_hilgardii	3079905	107	40168	99.0625	0.3125	0.3997613563	0
MortensenS_xxxx__WK060-2-L-48h-04H7_S41__bin.4	MortensenS_xxxx	WK060-2-L-48h-04H7_S41	SGB7216	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_hilgardii	3065484	118	41017	99.0625	0.625	0.3992449479	0
ChaconVargasK_2020__SRS6087089__bin.27	ChaconVargasK_2020	SRS6087089	SGB39064	uSGB	Other	Bacteria	Firmicutes	CFGB9039	OFGB9039	FGB9039	GGB26873	GGB26873_SGB39064	476741	33	20256	50	0	0.4270536832	0
ChaconVargasK_2020__SRS6087090__bin.22	ChaconVargasK_2020	SRS6087090	SGB39064	uSGB	Other	Bacteria	Firmicutes	CFGB9039	OFGB9039	FGB9039	GGB26873	GGB26873_SGB39064	1200579	106	17514	92.18642829	2.970779221	0.4318574621	58.33
ChaconVargasK_2020__SRS6087091__bin.5	ChaconVargasK_2020	SRS6087091	SGB39064	uSGB	Other	Bacteria	Firmicutes	CFGB9039	OFGB9039	FGB9039	GGB26873	GGB26873_SGB39064	1076086	120	14214	88.04531991	2.121212121	0.4332274558	55.56
ChaconVargasK_2020__SRS6087094__bin.3	ChaconVargasK_2020	SRS6087094	SGB39064	uSGB	Other	Bacteria	Firmicutes	CFGB9039	OFGB9039	FGB9039	GGB26873	GGB26873_SGB39064	1022212	127	10926	76.56504751	0.4919323101	0.4279435186	20
ChaconVargasK_2020__SRS6087089__bin.20	ChaconVargasK_2020	SRS6087089	SGB94703	ufSGB	Genus	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Fructilactobacillus	Fructilactobacillus_SGB94703	1508331	41	61727	99.375	0.625	0.3665289648	0
ChaconVargasK_2020__SRS6087090__bin.7	ChaconVargasK_2020	SRS6087090	SGB94703	ufSGB	Genus	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Fructilactobacillus	Fructilactobacillus_SGB94703	1457760	38	61727	99.375	0.625	0.3672833663	0
ChaconVargasK_2020__SRS6087091__bin.1	ChaconVargasK_2020	SRS6087091	SGB94703	ufSGB	Genus	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Fructilactobacillus	Fructilactobacillus_SGB94703	1507193	42	61727	99.375	0.625	0.3666332049	100
ChaconVargasK_2020__SRS6087094__bin.9	ChaconVargasK_2020	SRS6087094	SGB94703	ufSGB	Genus	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Fructilactobacillus	Fructilactobacillus_SGB94703	1415398	42	51129	96.875	0.625	0.3684546679	0
ChaconVargasK_2020__SRS6087090__bin.12	ChaconVargasK_2020	SRS6087090	SGB77042	kSGB	Species	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Zymomonadaceae	Zymomonas	Zymomonas_mobilis	1879147	133	26431	94.04977376	3.986209869	0.462065501	84.62
MortensenS_xxxx__WK043-2-G-48h-04C1_S119__bin.7	MortensenS_xxxx	WK043-2-G-48h-04C1_S119	SGB77042	kSGB	Species	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Zymomonadaceae	Zymomonas	Zymomonas_mobilis	1912269	191	13873	97.57164404	0.3393665158	0.4654857659	100
MortensenS_xxxx__WK043-2-L-08h-03G6_S79__bin.8	MortensenS_xxxx	WK043-2-L-08h-03G6_S79	SGB77042	kSGB	Species	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Zymomonadaceae	Zymomonas	Zymomonas_mobilis	1451444	404	4145	78.09308339	0.9049773756	0.471659258	66.67
MortensenS_xxxx__WK043-2-L-48h-03G7_S80__bin.1	MortensenS_xxxx	WK043-2-L-48h-03G7_S80	SGB77042	kSGB	Species	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Zymomonadaceae	Zymomonas	Zymomonas_mobilis	1837616	201	13712	96.11613876	0	0.4663498794	0
ChaconVargasK_2020__SRS6087091__bin.16	ChaconVargasK_2020	SRS6087091	SGB94446	ufSGB	Genus	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Secundilactobacillus	Secundilactobacillus_SGB94446	1616802	337	5659	64.05294012	0.2455357143	0.4425668697	0
MASTER_WP4_UNINA_2__F-20__bin.3	MASTER_WP4_UNINA_2	F-20	SGB7249	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Latilactobacillus	Latilactobacillus_curvatus	1823133	113	25263	96.55797101	0	0.4197241781	0
