sample	ZhaoCC_2020__SRS5803191	ZhaoCC_2020__SRS5803192	ZhaoCC_2020__SRS5803193	ZhaoCC_2020__SRS5803194	ZhaoCC_2020__SRS5803195
k__Bacteria|p__Firmicutes|c__CFGB42708|o__OFGB42708|f__FGB42708|g__GGB70295|s__GGB70295_SGB94712|t__SGB94712	0.0	0.00231	2.05367	12.25991	7.38737
k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Weeksellaceae_unclassified|s__Weeksellaceae_bacterium|t__SGB194979	0.0	0.00357	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Vagococcus|s__Vagococcus_intermedius|t__SGB153074	0.0	0.0	0.0	0.0	0.00736
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Vagococcus|s__Vagococcus_fessus|t__SGB29903	0.0	0.00388	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Denitrificimonas|s__Denitrificimonas_caeni|t__SGB60155	0.0	0.0038	0.0	0.0	4.52223
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Psychrobacter|s__Psychrobacter_sp_APC_3426|t__SGB99643	0.0	1.01061	0.0	0.95775	1.27569
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__GGB42929|s__GGB42929_SGB60152|t__SGB60152	0.0	0.14785	0.0	0.0	1.10325
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Psychrobacter|s__Psychrobacter_sp_NG27|t__SGB81607	0.0	0.01356	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Carnobacterium|s__Carnobacterium_iners|t__SGB7910	0.0	0.00286	0.0	0.0	0.02998
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Jeotgalibaca|s__Jeotgalibaca_dankookensis|t__SGB7901	20.95572	0.15404	0.0	15.03133	1.54715
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Psychrobacter|s__Psychrobacter_jeotgali|t__SGB92573	1.91672	0.0	0.0	0.00899	0.0
k__Bacteria|p__Firmicutes|c__CFGB4415|o__OFGB4415|f__FGB4415|g__GGB70330|s__GGB70330_SGB94751|t__SGB94751	0.0	69.3836	96.15766	44.60989	12.36604
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__GGB59563|s__GGB59563_SGB123143|t__SGB123143	0.0	0.0	0.0	0.0	0.12279
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__GGB59563|s__GGB59563_SGB81373|t__SGB81373	0.0	0.0	0.0	0.0	0.0082
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Microbacteriaceae|g__Leucobacter|s__Leucobacter_salsicius|t__SGB34853	0.0	0.0	0.0	0.0	0.00047
