clade_name	GianvitoDP_2025__SRR31346740	GianvitoDP_2025__SRR31346739	GianvitoDP_2025__SRR31346742	GianvitoDP_2025__SRR31346743	GianvitoDP_2025__SRR31346744	GianvitoDP_2025__SRR31346745	GianvitoDP_2025__SRR31346746	GianvitoDP_2025__SRR31346747	GianvitoDP_2025__SRR31346748	GianvitoDP_2025__SRR31346749
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Micrococcaceae|g__Pseudarthrobacter|s__Pseudarthrobacter_equi|t__SGB16735	0.17768	0.06464	0.09336	0.0	0.08588	0.2006	0.0	0.0	0.26276	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Kitasatosporales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_albidoflavus|t__SGB16294	0.15211	0.0	0.0	0.0	0.0	0.14496	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Micrococcaceae|g__Citricoccus|s__Citricoccus_sp_CH26A|t__SGB35107	0.13978	0.05829	0.00248	0.01736	0.0	0.01242	0.0	0.0	0.00409	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Microbacteriaceae|g__Frigoribacterium|s__Frigoribacterium_sp_CFBP_8751|t__SGB16813	0.13126	1.50676	0.24282	0.19312	1.24134	0.94504	0.08247	4.89316	0.61331	1.25353
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Microbacteriaceae|g__Microbacterium|s__Microbacterium_oryzae|t__SGB87893	0.13101	0.00263	0.0	0.07091	0.00391	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__Cytophagia|o__Cytophagales|f__Spirosomataceae|g__Larkinella|s__Larkinella_arboricola|t__SGB21389	0.11758	0.0	0.0	0.00695	0.00147	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_oryzihabitans|t__SGB12307	0.11088	0.25683	0.05218	0.23429	3.73342	2.61489	9.00193	13.24607	0.70936	0.726
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Propionibacteriaceae|g__GGB71872|s__GGB71872_SGB98877|t__SGB98877	0.10221	0.21231	0.52965	0.31877	0.06232	0.03968	0.21387	0.0	0.54635	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Promicromonosporaceae|g__Cellulosimicrobium|s__Cellulosimicrobium_cellulans|t__SGB16053	0.0947	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0134	0.0
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Massilia|s__Massilia_sp_9096|t__SGB179484	0.0927	0.0	0.0	0.0	0.01495	0.0	0.01299	0.0	0.0	0.00213
