dataset_name	sample_id	macrocategory	category	type	subtype	commercial_name	fermented/non-fermented	Part_of_cheese	Milk_source	Animal_feeding	Milk_processing	Thermisation	Pasteurization	Skimming	Inoculation_of_moulds	Curd_cutting	Presence_of_rind	Backslopping	Starter_culture	Technology_of_production	Coagulation_method	Ripening_period	Rheological_properties	Temperature_of_curd_processing_Celsius_degree	country	sample_accession	run_accession	experiment_accession	study_accession	project_accession	database_origin	library_layout	sequencing_platform	DNA_extraction_kit	collection_date	n_of_bases	n_of_reads	min_read_len	median_read_len	mean_read_len	max_read_len	n_contigs	n_MAGs_MQ_prok	n_MAGs_HQ_prok	n_MAGs_MQ_euk	n_MAGs_HQ_euk	filtered	curator
MASTER_WP4_FFoQSI_2	VB15-29_a	food	dairy	cheese	ripened_cheese_a_rind		F	Rind																	AUT	SAMN36690599	SRR25395310		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		2139746236	14454349	75	150.0	144.4393583	151.0	13814	5	9	0	0	no	Niccolò_Carlino
MASTER_WP4_FFoQSI_2	VB15-30	food	dairy	cheese	ripened_cheese_b_rind		F	Rind																	AUT	SAMN36690601	SRR25395308		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		7177486600	48268596	75	150.0	145.9278137	151.0	32028	9	7	1	0	no	Niccolò_Carlino
MASTER_WP4_FFoQSI_2	VB16-23	food	dairy	cheese	fresh_cheese_a_core		F	Core																	AUT	SAMN36690281	SRR25395150		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		169114	1139	75	150.0	149.3127934	151.0	0	0	0	0	0	yes	Niccolò_Carlino
MASTER_WP4_FFoQSI_2	VB16-24	food	dairy	cheese	fresh_cheese_b_core		F	Core																	AUT	SAMN36690282	SRR25395149		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		13709015317	92563393	75	150.0	146.3782818	151.0	1480	2	0	0	0	no	Niccolò_Carlino
MASTER_WP4_FFoQSI_2	VB16-25	food	dairy	cheese	fresh_cheese_a_rind		F	Rind																	AUT	SAMN36690283	SRR25395147		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		11187028370	75233964	75	150.0	147.4945655	151.0	2189	2	0	0	0	no	Niccolò_Carlino
MASTER_WP4_FFoQSI_2	VB16-26	food	dairy	cheese	fresh_cheese_b_rind		F	Rind																	AUT	SAMN36690284	SRR25395146		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		13222315230	88983813	75	150.0	146.923678	151.0	1268	1	1	0	0	no	Niccolò_Carlino
MASTER_WP4_FFoQSI_2	VB16-27	food	dairy	cheese	ripened_cheese_a_core		F	Core																	AUT	SAMN36690602	SRR25395307		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		12466458345	83669456	75	150.0	145.9001214	151.0	1485	3	0	0	0	no	Niccolò_Carlino
MASTER_WP4_FFoQSI_2	VB16-28	food	dairy	cheese	ripened_cheese_b_core		F	Core																	AUT	SAMN36690603	SRR25395305		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		5114516136	34291813	75	150.0	146.4900207	151.0	3902	4	2	0	0	no	Niccolò_Carlino
MASTER_WP4_FFoQSI_2	VB16-29	food	dairy	cheese	ripened_cheese_a_rind		F	Rind																	AUT	SAMN36690604	SRR25395304		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		3525904326	23685011	75	150.0	146.6023883	151.0	21018	7	6	0	0	no	Niccolò_Carlino
MASTER_WP4_FFoQSI_2	VB16-30	food	dairy	cheese	ripened_cheese_b_rind		F	Rind																	AUT	SAMN36690605	SRR25395303		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		12000072668	80503962	75	150.0	146.9459256	151.0	24892	5	15	0	0	no	Niccolò_Carlino
