clade_name	VermoteL_2025__ERR15089274	VermoteL_2025__ERR15089273	VermoteL_2025__ERR15089272	VermoteL_2025__ERR15089271	VermoteL_2025__ERR15089279	VermoteL_2025__ERR15089278	VermoteL_2025__ERR15089280	VermoteL_2025__ERR15089276	VermoteL_2025__ERR15089282	VermoteL_2025__ERR15089283	VermoteL_2025__ERR15089275	VermoteL_2025__ERR15089284	VermoteL_2025__ERR15089290	VermoteL_2025__ERR15089289	VermoteL_2025__ERR15089288	VermoteL_2025__ERR15089287	VermoteL_2025__ERR15089286	VermoteL_2025__ERR15089285	VermoteL_2025__ERR15089291	VermoteL_2025__ERR15089293	VermoteL_2025__ERR15089292
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Promicromonosporaceae|g__Cellulosimicrobium|s__Cellulosimicrobium_cellulans|t__SGB16053	0.0	0.0	0.07361	0.0	0.0	0.23933	0.0	0.0	0.01975	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00236	0.0	0.0	0.32084	0.0
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Pichiaceae|g__Pichia|s__Pichia_kudriavzevii|t__EUK4909	0.0	0.0	0.0	0.01151	0.0	0.0	0.0	0.0	0.00376	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.32487	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_mesenteroides|t__SGB7126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.12652	25.634	0.0	1.11224	2.8401	13.04628	13.06999	30.09671	0.16681	0.37083	1.5535	0.0	1.29212
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Pantoea|s__Pantoea_agglomerans|t__SGB10187	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.80626	2.61503	0.0	0.10372	0.53269	1.84649	0.1526	0.02586	0.11548	0.14005	0.37698	0.0	0.36974
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_durans|t__SGB7966	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.78975	1.42805	0.0	0.11673	0.07377	1.62293	2.60842	0.0	0.0	0.01305	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_lactis|t__SGB7121	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.78733	1.8434	0.0	0.20319	3.91157	9.97658	5.6567	0.18959	0.02662	0.09816	1.30188	0.0	0.79761
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Kosakonia|s__Kosakonia_cowanii|t__SGB10050	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.47036	1.58872	0.0	0.0	0.05063	1.16712	0.04435	0.0	0.0	0.00469	0.02226	0.0	0.00541
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_cerevisiae|t__SGB1200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.43139	1.84962	0.0	0.0	6.5751	12.10177	0.08459	0.0	0.0	0.0	9.58148	0.0	5.78129
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_taiwanensis|t__SGB25314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.84833	0.6961	0.0	0.0	0.0	1.48993	0.10826	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecium|t__SGB7968	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.73011	0.48191	0.0	0.0	0.0	0.87187	0.73302	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lacticaseibacillus|s__Lacticaseibacillus_paracasei|t__SGB7142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52523	0.27577	0.0	1.52891	0.4705	0.09189	0.0	0.0	1.23029	2.77449	0.08142	0.02216	0.03235
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_ludwigii|t__SGB10127	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26041	0.23579	0.0	0.0	0.0084	0.18566	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Duffyella|s__Duffyella_gerundensis|t__SGB10195	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14976	0.15389	0.0	0.0	0.00506	0.11643	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_mundtii|t__SGB7963	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14477	0.08628	0.0	0.0	0.0	0.06293	0.0	0.0	0.0	0.0	0.0	0.0	0.0
