	YasirM_2022	YasirM_2022	YasirM_2022	YasirM_2022	YasirM_2022	YasirM_2022	YasirM_2022	YasirM_2022	YasirM_2022	YasirM_2022	YasirM_2022	YasirM_2022	YasirM_2022	YasirM_2022	YasirM_2022	YasirM_2022	YasirM_2022	YasirM_2022
sample	YasirM_2022__SRR18334997	YasirM_2022__SRR18334998	YasirM_2022__SRR18334999	YasirM_2022__SRR18335000	YasirM_2022__SRR18335001	YasirM_2022__SRR18335002	YasirM_2022__SRR18335003	YasirM_2022__SRR18335004	YasirM_2022__SRR18335005	YasirM_2022__SRR18335006	YasirM_2022__SRR18335007	YasirM_2022__SRR18335008	YasirM_2022__SRR18335009	YasirM_2022__SRR18335010	YasirM_2022__SRR18335011	YasirM_2022__SRR18335012	YasirM_2022__SRR18335013	YasirM_2022__SRR18335014
macrocategory	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food
category	fermented_fruits_and_vegetables	fermented_fruits_and_vegetables	fermented_fruits_and_vegetables	fermented_fruits_and_vegetables	fermented_fruits_and_vegetables	fermented_fruits_and_vegetables	fermented_fruits_and_vegetables	fermented_fruits_and_vegetables	fermented_fruits_and_vegetables	fermented_fruits_and_vegetables	fermented_fruits_and_vegetables	fermented_fruits_and_vegetables	fermented_fruits_and_vegetables	fermented_fruits_and_vegetables	fermented_fruits_and_vegetables	fermented_fruits_and_vegetables	fermented_fruits_and_vegetables	fermented_fruits_and_vegetables
type	brine_fermented_vegetables	brine_fermented_vegetables	brine_fermented_vegetables	brine_fermented_vegetables	brine_fermented_vegetables	brine_fermented_vegetables	brine_fermented_vegetables	brine_fermented_vegetables	brine_fermented_vegetables	brine_fermented_vegetables	brine_fermented_vegetables	brine_fermented_vegetables	brine_fermented_vegetables	brine_fermented_vegetables	brine_fermented_vegetables	brine_fermented_vegetables	brine_fermented_vegetables	brine_fermented_vegetables
subtype	mixed_vegetable_pickle	mixed_vegetable_pickle	mixed_vegetable_pickle	mixed_vegetable_pickle	mixed_vegetable_pickle	mixed_vegetable_pickle	mixed_vegetable_pickle	mixed_vegetable_pickle	green_papaya_pickle	green_papaya_pickle	green_papaya_pickle	white_onion_pickle	white_onion_pickle	white_onion_pickle	mixed_vegetable_pickle	mixed_vegetable_pickle	mixed_vegetable_pickle	mixed_vegetable_pickle
country	BOL	GRC	GRC	GRC	SAU	SAU	SAU	IND	SAU	SAU	SAU	SAU	SAU	SAU	BOL	BOL	IND	IND
source	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_hibernica|t__SGB69387	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09117	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Marinilactibacillus|s__Marinilactibacillus_psychrotolerans|t__SGB7876	0.0	0.02606	0.0025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_lundensis|t__SGB12101	0.0	0.0	0.06541	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Psychrobacter|s__Psychrobacter_namhaensis|t__SGB23002	0.0	0.0	0.04451	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Psychrobacter|s__Psychrobacter_alimentarius|t__SGB10455	0.0	0.0	0.48971	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecalis|t__SGB7962	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0628	0.0	0.0	0.0	0.04043
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Psychrobacter|s__Psychrobacter_faecalis|t__SGB10464	0.0	0.0	3.14745	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactiplantibacillus|s__Lactiplantibacillus_plantarum|t__SGB7202	0.86785	0.62973	0.24233	6.23203	0.53044	0.01081	0.0	0.2724	0.0	0.0	0.0	4.6959	8.62829	15.04875	1.03513	0.10462	0.26453	34.79518
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Brevibacteriaceae|g__Brevibacterium|s__Brevibacterium_linens|t__SGB16634	0.0	0.01575	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10126	0.0	0.0	0.00327	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Propionibacteriaceae|g__Acidipropionibacterium|s__Acidipropionibacterium_acidipropionici|t__SGB16957	0.11661	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0013	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_helveticus|t__SGB7048	0.0	0.01721	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Pediococcus|s__Pediococcus_parvulus|t__SGB7180	1.06344	0.76549	1.43401	0.37548	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00112	0.02699	0.48867	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_thermophilus|t__SGB8002	0.0	0.24455	0.08324	0.44718	0.0	0.0	0.0	0.0	1.54422	2.14975	2.25259	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_delbrueckii|t__SGB7020	0.0	0.0414	0.00687	0.88646	0.0	0.0	0.0	0.0	0.0	0.0	0.0142	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae|g__Cobetia|s__Cobetia_amphilecti|t__SGB11853	0.0	0.02944	0.11114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_putida|t__SGB12293	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03376	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_fragi|t__SGB12106	0.0	0.0	0.24363	0.0	0.0	0.0	0.0	0.0	0.38241	0.21857	0.54886	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Pantoea|s__Candidatus_Pantoea_floridensis|t__SGB10174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04749	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Rahnella|s__Rahnella_aceris|t__SGB10240	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5043	0.33621	0.8364	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Pantoea|s__Pantoea_coffeiphila|t__SGB23192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36348	0.21962	0.31062	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_monteilii|t__SGB12291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07114	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Latilactobacillus|s__Latilactobacillus_curvatus|t__SGB7249	0.18664	0.41135	0.13088	5.01617	0.0	0.0	0.0	0.0	0.30696	0.2655	0.39895	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_fragi|t__SGB12107	0.0	0.0	0.76842	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03196	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Carnobacterium|s__Carnobacterium_mobile|t__SGB29872	0.0	0.0	0.05694	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
