sample	LiZ_2019__SRS3379157	LiZ_2019__SRS3379159	LiZ_2019__SRS3379160	LiZ_2019__SRS3379161	LiZ_2019__SRS3379165	LiZ_2019__SRS3379166	LiZ_2019__SRS3379169	LiZ_2019__SRS3379170
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Ligilactobacillus|s__Ligilactobacillus_acidipiscis|t__SGB7059	0.0	0.2594	0.04655	0.0	0.0	5.31327	0.00171	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Levilactobacillus|s__Levilactobacillus_suantsaii|t__SGB29645	0.0	0.68318	0.00259	0.0	0.0	0.38301	13.98167	6.40064
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Pediococcus|s__Pediococcus_ethanolidurans|t__SGB7178	0.0	0.0	0.0	0.0	0.0	0.0	7.3187	2.4093
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Companilactobacillus|s__Companilactobacillus_zhachilii|t__SGB100420	0.0	0.0	0.0	0.0	0.0	0.0	0.11389	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Kosakonia|s__Kosakonia_radicincitans|t__SGB10051	0.0	2.49564	5.60895	0.0606	1.71983	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Hyphomicrobiales_unclassified|g__Hyphomicrobiales_unclassified|s__Hyphomicrobiales_bacterium|t__SGB11080	0.00043	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodospirillales|f__Azospirillaceae|g__Azospirillum|s__Azospirillum_halopraeferens|t__SGB31849	0.07914	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Brucellaceae|g__Brucella|s__Brucella_gallinifaecis|t__SGB85911	0.0006	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Yokenella|s__Yokenella_regensburgei|t__SGB10104	0.0	2.77587	2.45273	0.0	0.0	1.59109	0.0	0.0
k__Bacteria|p__Thermodesulfobacteriota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_desulfuricans|t__SGB15463	0.0	0.0	0.0	0.0	0.0	0.00888	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Levilactobacillus|s__Levilactobacillus_suantsaiihabitans|t__SGB29636	0.0	0.0	0.0	0.0	0.0	0.0	0.00331	0.0
