sample	MotaGutierrezJ_2021__SRR11602138	MotaGutierrezJ_2021__SRR11602139	MotaGutierrezJ_2021__SRR11602140	MotaGutierrezJ_2021__SRR11602141	MotaGutierrezJ_2021__SRR11602142	MotaGutierrezJ_2021__SRR11602143	MotaGutierrezJ_2021__SRR11602144	MotaGutierrezJ_2021__SRR11602145	MotaGutierrezJ_2021__SRR11602146	MotaGutierrezJ_2021__SRR11602147	MotaGutierrezJ_2021__SRR11602148	MotaGutierrezJ_2021__SRR11602149	MotaGutierrezJ_2021__SRR11602150	MotaGutierrezJ_2021__SRR11602151	MotaGutierrezJ_2021__SRR11602152	MotaGutierrezJ_2021__SRR11602153	MotaGutierrezJ_2021__SRR11602154	MotaGutierrezJ_2021__SRR11602155	MotaGutierrezJ_2021__SRR11602156	MotaGutierrezJ_2021__SRR11602157
macrocategory	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food
category	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds
type	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans
subtype	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass
country	MEX	MEX	MEX	MEX	MEX	MEX	MEX	MEX	MEX	MEX	MEX	MEX	MEX	MEX	MEX	MEX	MEX	MEX	MEX	MEX
source	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Ureibacillus|s__Ureibacillus_sp_Re31|t__SGB82709	0.1555	0.09365	0.0	0.0061	0.00167	0.00199	0.00173	1.24616	0.02908	0.00711	0.00072	0.0007	0.0	0.0	0.00541	0.7548	0.0	0.00936	0.0396	0.07611
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Brevundimonas|s__Brevundimonas_aurantiaca|t__SGB11740	0.12423	0.0	0.0	0.0	0.0	0.0	0.0	0.02843	0.0864	0.0	0.0	0.0	0.0	0.0	0.0	0.01164	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_ascendens|t__SGB1195	0.10723	0.01686	0.00771	0.01252	0.0	0.0	0.0	0.03082	0.01641	0.02169	0.00373	0.012	0.0	0.0	0.0	0.02283	0.00706	0.02501	0.01368	0.01012
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_licheniformis|t__SGB7780	0.09927	0.14238	0.0	0.0	0.0	0.0	0.0	1.17034	0.01835	0.0	0.0	0.0	0.0	0.0	0.0	0.65193	0.0	0.0	0.05827	0.15391
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lentilactobacillus|s__Lentilactobacillus_farraginis|t__SGB7215	0.09447	0.06847	0.01858	0.03285	0.00788	0.00228	0.00988	0.13868	0.01864	0.0202	0.00806	0.03304	0.00408	0.0056	0.01039	0.09825	0.03697	0.04931	0.0384	0.09824
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Arcobacteraceae|g__Aliarcobacter|s__Aliarcobacter_butzleri|t__SGB19413	0.08949	0.0	0.0	0.00291	0.0	0.0001	0.14527	0.0017	0.03949	0.0	0.13985	0.0	0.14763	0.0	0.08906	0.0	0.0	0.17235	0.0057	0.00807
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Paucilactobacillus|s__Paucilactobacillus_suebicus|t__SGB7172	0.07376	0.30198	1.43822	2.34929	2.14952	1.55278	6.36972	0.01523	0.0097	0.61056	1.79149	0.73463	1.3463	0.84153	5.93786	0.01098	1.55339	0.862	0.00968	0.15784
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_ghanensis|t__SGB1192	0.06904	2.51794	9.96504	11.24873	2.07682	0.10689	0.46598	0.57203	1.68009	10.07543	9.0597	12.41998	4.25015	6.13047	0.78931	1.41653	11.02569	5.7594	1.93203	2.29339
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_pomorum|t__SGB1193	0.06479	0.1331	0.12486	0.03464	0.00517	0.00277	0.0	0.12376	0.0199	0.11423	0.05496	0.18598	0.00498	0.02322	0.0	0.12173	0.20247	0.14664	0.02711	0.12748
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_stutzeri|t__SGB12382	0.06175	0.0	0.0	0.0	0.0	0.0	0.0	0.01908	0.06222	0.0	0.0	0.0	0.0	0.0	0.0	0.01456	0.0	0.0	0.0	0.0
