sample	MotaGutierrezJ_2021__SRR11602138	MotaGutierrezJ_2021__SRR11602139	MotaGutierrezJ_2021__SRR11602140	MotaGutierrezJ_2021__SRR11602141	MotaGutierrezJ_2021__SRR11602142	MotaGutierrezJ_2021__SRR11602143	MotaGutierrezJ_2021__SRR11602144	MotaGutierrezJ_2021__SRR11602145	MotaGutierrezJ_2021__SRR11602146	MotaGutierrezJ_2021__SRR11602147	MotaGutierrezJ_2021__SRR11602148	MotaGutierrezJ_2021__SRR11602149	MotaGutierrezJ_2021__SRR11602150	MotaGutierrezJ_2021__SRR11602151	MotaGutierrezJ_2021__SRR11602152	MotaGutierrezJ_2021__SRR11602153	MotaGutierrezJ_2021__SRR11602154	MotaGutierrezJ_2021__SRR11602155	MotaGutierrezJ_2021__SRR11602156	MotaGutierrezJ_2021__SRR11602157
macrocategory	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food
category	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds
type	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans
subtype	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass
country	MEX	MEX	MEX	MEX	MEX	MEX	MEX	MEX	MEX	MEX	MEX	MEX	MEX	MEX	MEX	MEX	MEX	MEX	MEX	MEX
source	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_senegalensis|t__SGB1205	0.0049	0.06321	0.04542	0.52572	0.01065	0.05594	0.04119	0.02589	0.0528	0.42413	0.01496	0.17871	0.02508	0.41974	0.06345	0.0554	0.11809	0.40875	0.0732	0.06031
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_papayae|t__SGB30486	0.00473	0.06291	0.19696	0.73726	0.18844	1.6088	2.63838	0.0	0.08686	0.41998	0.2121	0.30307	0.69065	2.04134	4.11045	0.00345	0.17724	0.30691	0.05157	0.08076
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Bradyrhizobiaceae|g__Rhodopseudomonas|s__Rhodopseudomonas_sp_AAP120|t__SGB11283	0.00352	0.02659	0.01093	0.01901	0.08312	0.05338	0.0187	0.0	0.00127	0.05569	0.1148	0.39475	0.02346	0.03094	0.05451	0.00077	0.01695	0.04347	0.03077	0.02024
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus_montaniterrae|t__SGB94505	0.00349	0.00302	0.0	0.0	0.0	0.0	0.0	0.14871	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08296	0.0	0.0	0.00114	0.00231
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Helicobacteraceae|g__Helicobacter|s__Helicobacter_pullorum|t__SGB19402	0.00337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Novacetimonas|s__Novacetimonas_hansenii|t__SGB1175	0.00299	0.29409	0.73339	0.35996	0.529	0.29118	0.9062	0.01246	0.16743	0.51617	0.73215	1.73129	1.08446	2.45392	1.45315	0.05002	0.69113	0.30128	0.14114	0.25158
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Niallia|s__Niallia_alba|t__SGB7551	0.00291	0.0	0.0	0.0	0.0	0.0	0.0	0.00527	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00268	0.0	0.0	0.00019	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Oceanobacillus|s__Oceanobacillus_sojae|t__SGB82742	0.00231	0.0009	0.0	0.0	0.0	0.00496	0.00038	0.06039	0.0	0.0	0.0	0.0	0.00013	0.0	0.00244	0.02749	0.0	0.0	0.0	0.00347
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Komagataeibacter|s__Komagataeibacter_oboediens|t__SGB1177	0.00141	0.07976	0.31286	0.14666	0.01318	0.0	0.03384	0.01654	0.05268	0.25783	0.23562	0.54424	0.03309	0.11727	0.03931	0.04427	0.31031	0.07695	0.0747	0.05452
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Lysinibacillus|s__Lysinibacillus_telephonicus|t__SGB29947	0.00138	0.00999	0.0	0.0	0.0	0.0	0.0	0.2089	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15173	0.0	0.0	0.0	0.00769
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_pneumoniae|t__SGB10115_group	0.00119	0.0	0.0	0.0053	0.0	0.0	0.0	0.07865	0.0	0.00205	0.00301	0.00042	0.00681	0.0	0.0	0.09329	0.0	0.00449	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Heyndrickxia|s__Heyndrickxia_oleronia|t__SGB7732	0.00109	0.01396	0.0	0.0	0.0	0.00146	0.0	0.70633	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6574	0.0	0.0	0.0	0.01155
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Sphingobacterium|s__Sphingobacterium_composti_Yoo_et_al_2007_non_Ten_et_al_2007|t__SGB78592	0.00106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00049	0.0	0.00031	0.0	0.00073	0.0	8e-05	0.0	0.00053	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_stutzeri|t__SGB12381	0.00068	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas|s__Sphingomonas_sp_CCH9_E2|t__SGB31677	0.00047	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00131	0.0	0.0	0.0	0.0	0.0	0.0	5e-05	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Tatumella|s__Tatumella_sp_JGM130|t__SGB92518	0.00038	0.01413	0.00237	0.06712	0.0	0.09273	0.68953	0.0	0.0045	0.03074	0.0	0.01361	0.0	0.01602	0.74753	0.0	0.01052	0.06595	0.0	0.00834
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Weizmannia|s__Weizmannia_ginsengihumi|t__SGB7734	0.00035	0.00387	0.0	0.0	0.0	0.0	0.0	0.0322	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03528	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Brevundimonas|s__Brevundimonas_mediterranea|t__SGB11739	0.00022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lentilactobacillus|s__Lentilactobacillus_raoultii|t__SGB29609	0.00014	0.0	0.0	0.0029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00275	0.0	0.00075
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_persici|t__SGB1199	0.0	0.13041	0.30734	0.39474	0.25898	0.19341	1.22761	0.00493	0.05352	0.30238	0.16725	0.56321	0.85619	1.18539	2.43264	0.00891	0.2847	0.20609	0.04124	0.13665
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_syzygii|t__SGB1189	0.0	0.09859	0.32201	0.58085	0.25494	0.05455	0.31161	0.00456	0.02262	0.16195	0.32392	0.47671	0.39924	0.6564	0.39863	0.03103	0.28445	0.13523	0.02769	0.09781
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Secundilactobacillus|s__Secundilactobacillus_collinoides|t__SGB7210	0.0	0.06451	0.91431	0.0	0.75568	0.0	1.72966	0.00786	0.0	0.0	0.95574	0.52801	0.62277	0.0	1.46714	0.00316	0.40196	0.0	0.0	0.02167
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_suratthaniensis|t__SGB92975	0.0	0.05886	0.19645	0.13314	0.17982	0.24991	2.02471	0.00219	0.01253	0.05927	0.19561	0.33937	0.53937	0.46708	2.74872	0.0058	0.19392	0.04328	0.00915	0.07467
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Rhodanobacteraceae|g__Frateuria|s__Frateuria_aurantia|t__SGB12577	0.0	0.04099	0.08397	0.12316	0.14138	0.55572	2.02048	0.0	0.01371	0.10114	0.15038	0.1239	0.31458	0.22593	2.85937	0.00066	0.06656	0.05782	0.00466	0.03256
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Novacetimonas|s__Novacetimonas_pomaceti|t__SGB24150	0.0	0.03715	0.0607	0.0041	0.01649	0.0	0.01901	0.01489	0.00263	0.02351	0.05672	0.14501	0.0585	0.00248	0.01667	0.02329	0.07776	0.01126	0.0029	0.03141
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Komagataeibacter|s__Komagataeibacter_saccharivorans|t__SGB24153	0.0	0.03489	0.0891	0.37918	0.04027	0.07105	0.06716	0.0	0.064	0.27058	0.08658	0.25823	0.09322	0.56012	0.09571	0.0059	0.0938	0.19097	0.07379	0.03279
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Gluconobacter|s__Gluconobacter_japonicus|t__SGB1161	0.0	0.0319	0.08996	0.16676	0.09324	0.38313	0.95561	0.0	0.01689	0.16664	0.07853	0.12474	0.32866	0.41833	1.10504	0.00152	0.06958	0.07169	0.00667	0.03492
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Tatumella|s__Tatumella_ptyseos|t__SGB10295	0.0	0.03114	0.03028	0.27073	0.03521	0.724	1.19638	0.0	0.01546	0.15817	0.03423	0.06461	0.10935	0.13844	1.29777	0.0	0.02346	0.16109	0.00107	0.01402
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Gluconacetobacter|s__Gluconacetobacter_entanii|t__SGB24152	0.0	0.03099	0.0475	0.00433	0.00153	0.0014	0.00863	0.01781	0.0135	0.0613	0.02739	0.17649	0.01001	0.00737	0.00362	0.04019	0.08216	0.01465	0.02423	0.03954
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Gluconobacter|s__Gluconobacter_oxydans|t__SGB1165	0.0	0.02856	0.01655	0.30999	0.00462	0.26947	0.53492	0.0	0.03922	0.22011	0.00399	0.07957	0.03733	1.00883	0.66643	0.0	0.051	0.19171	0.03847	0.02969
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Microbacteriaceae|g__Curtobacterium|s__Curtobacterium_citreum|t__SGB16804	0.0	0.02796	0.1876	0.0	0.47637	0.00051	0.61819	0.0	0.0	0.0	0.23771	0.16699	0.579	0.0	0.51214	0.0	0.10375	0.0	0.0	0.00392
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Pantoea|s__Pantoea_dispersa|t__SGB10172	0.0	0.01902	0.4441	0.05134	0.36717	0.22063	0.37182	0.0	0.0003	0.01189	0.28367	0.43074	1.08519	0.03179	0.31297	0.0025	0.2463	0.01516	0.0	0.00737
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_orientalis|t__SGB1187	0.0	0.01793	0.052	0.09834	0.03601	0.02717	0.18603	0.0	0.00162	0.03557	0.04951	0.08572	0.07349	0.18935	0.23975	0.0	0.04961	0.02855	0.00194	0.02052
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_thailandicus|t__SGB1186	0.0	0.01778	0.03758	0.06606	0.03845	0.19556	0.57292	0.0	0.00452	0.0526	0.0218	0.06574	0.15683	0.19218	0.71949	0.00077	0.03168	0.02837	0.00224	0.01645
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Ralstonia|s__Ralstonia_pickettii|t__SGB12924	0.0	0.0143	0.00552	0.00817	0.03491	0.02692	0.00844	0.0	0.0	0.02802	0.02823	0.0263	0.01557	0.01812	0.03217	0.0	0.00568	0.02445	0.0244	0.01431
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Tatumella|s__Tatumella_saanichensis|t__SGB31094	0.0	0.01087	0.02439	0.06169	0.03375	0.11422	0.19799	0.0	0.00188	0.06531	0.02393	0.02145	0.0748	0.035	0.25173	0.0	0.00633	0.03574	0.0	0.00132
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Pantoea|s__Pantoea_anthophila|t__SGB10185	0.0	0.00945	0.16039	0.00681	0.12584	0.01695	0.2842	0.0	0.0	0.00314	0.08044	0.12211	0.56487	0.00384	0.26357	0.0	0.0946	0.00276	0.0	0.00681
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Lysinibacillus|s__Lysinibacillus_boronitolerans|t__SGB7494	0.0	0.00755	0.0	0.0	0.0	0.0	0.0	0.37064	0.0	0.00476	0.0	0.0	0.0	0.0	0.0	0.29415	0.0	0.0	0.0	0.00787
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Komagataeibacter|s__Komagataeibacter_diospyri|t__SGB89227	0.0	0.00713	0.05438	0.0	0.01133	0.0	0.00354	0.0	0.0	0.00248	0.05957	0.09502	0.04936	0.00582	0.00578	0.00327	0.05681	0.0	0.0	0.00119
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Gluconobacter|s__Gluconobacter_kondonii|t__SGB30476	0.0	0.00647	0.00514	0.08738	0.00659	0.45722	0.52791	0.0	0.00655	0.03556	0.00306	0.01446	0.0292	0.29416	0.63505	0.0	0.00849	0.03917	0.00263	0.00693
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Comamonas|s__Comamonas_kerstersii|t__SGB12676	0.0	0.00563	0.00752	0.0	0.02167	0.0047	0.0	0.0	0.0	0.03601	0.00881	0.03608	0.00811	0.0	0.0	0.0	0.02073	0.02401	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Pantoea|s__Pantoea_stewartii|t__SGB10192	0.0	0.00471	0.02965	0.0	0.12129	0.0048	0.15645	0.0	0.0	0.0	0.07959	0.01527	0.08911	0.0	0.26461	0.0	0.00829	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_tropicalis|t__SGB1204	0.0	0.00462	0.00739	0.0789	0.00031	0.00746	0.00546	0.0	0.0042	0.0677	0.0	0.02947	0.00521	0.05087	0.00549	0.00342	0.02418	0.0367	0.0071	0.00582
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas|s__Sphingomonas_sp_3F27F9|t__SGB31711	0.0	0.00413	0.0	0.0	0.0001	0.00283	0.0	0.0	0.0	0.0078	0.00218	0.00263	0.00415	0.00596	0.00395	0.0	0.0	0.01125	0.00435	0.00209
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_indonesiensis|t__SGB1203	0.0	0.00388	0.01997	0.01996	0.02128	0.0221	0.10477	0.0	0.0	0.01953	0.00975	0.03271	0.05766	0.07256	0.1488	0.0	0.02132	0.00804	0.00084	0.00315
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus_lactis|t__SGB7408	0.0	0.00356	0.0	0.0	0.0	0.0	0.0	0.46185	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24177	0.0	0.0	0.0	0.00621
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_sp_KACC_21233|t__SGB89215	0.0	0.0035	0.01106	0.02747	0.01308	0.05237	0.20089	0.0	0.00075	0.01486	0.00736	0.02406	0.04617	0.0339	0.24822	0.0	0.0129	0.00933	0.0008	0.00588
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Tatumella|s__Tatumella_sp_JGM118|t__SGB92519	0.0	0.00349	0.0	0.01681	0.0	0.05827	0.2514	0.0	0.0	0.00562	0.0	0.00321	0.00189	0.00797	0.26022	0.0	0.00197	0.01072	0.0	0.00286
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Lysinibacillus|s__Lysinibacillus_endophyticus|t__SGB7475	0.0	0.00261	0.0	0.0	0.0	0.0	0.0	0.03951	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0284	0.0	0.0	0.0	0.00277
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Cytobacillus|s__Cytobacillus_kochii|t__SGB7554	0.0	0.00231	0.0	0.0	0.0	0.0	0.0	0.07338	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03457	0.0	0.0	0.0	0.00579
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Kosakonia|s__Kosakonia_cowanii|t__SGB10050	0.0	0.00207	0.00975	0.0	0.00805	0.00785	0.17045	0.0	0.0	0.00095	0.00516	0.00826	0.0388	0.0	0.11911	0.0	0.00489	0.0	0.0	0.00569
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacteriaceae_unclassified|s__Enterobacteriaceae_bacterium_JKS000234|t__SGB10174	0.0	0.00202	0.01631	0.00823	0.01489	0.06331	0.14942	0.0	0.0	0.00679	0.00724	0.02079	0.07035	0.00545	0.12364	0.0	0.01207	0.005	0.0	0.00131
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Lysinibacillus|s__Lysinibacillus_macroides|t__SGB7495	0.0	0.00192	0.0	0.0	0.0	0.0	0.0	0.00227	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00129	0.0	0.0	0.0	0.00216
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Gluconobacter|s__Gluconobacter_sphaericus|t__SGB89212	0.0	0.00177	0.00341	0.06489	0.00363	0.13958	0.14923	0.0	0.00923	0.04651	0.00109	0.00818	0.00913	0.16094	0.17803	0.0	0.00463	0.04252	0.00407	0.00228
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Weissella|s__Weissella_fabalis|t__SGB74367	0.0	0.00163	0.00045	0.0054	0.0	0.01434	0.17329	0.0	0.0	0.00048	0.0	0.00169	0.0	0.00122	0.1315	0.0	0.00198	0.00037	0.0	0.00068
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Gluconobacter|s__Gluconobacter_kanchanaburiensis|t__SGB89213	0.0	0.00104	0.00507	0.00639	0.00483	0.02573	0.10813	0.0	9e-05	0.0066	0.00181	0.01	0.02393	0.03276	0.08938	0.0	0.00328	0.00225	0.0	0.00138
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus_ginsengihumi|t__SGB29179	0.0	0.00096	0.0	0.0	0.0	0.0	0.0	0.11388	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05342	0.0	0.0	7e-05	0.00195
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_cancerogenus|t__SGB10181	0.0	0.00095	0.03968	0.00191	0.1497	0.00906	0.07679	0.0	0.0	0.0	0.04137	0.04225	0.57654	0.0	0.08435	0.0	0.0256	0.0011	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Komagataeibacter|s__Komagataeibacter_europaeus|t__SGB1178	0.0	0.00084	0.01441	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00515	0.01514	0.0	0.0	0.0	0.0	0.00522	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sartagoforme|t__SGB6182	0.0	0.00028	0.0	0.0	0.0	0.0	0.0	0.00148	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00203	0.0	0.0	0.0	0.00086
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Cupriavidus|s__Cupriavidus_pauculus|t__SGB88496	0.0	0.00025	0.00193	0.0	0.00239	0.0	0.01584	0.0	0.0	0.0	4e-05	0.00596	0.02663	0.0	0.02855	0.0	0.00059	0.0	0.0	0.00046
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactiplantibacillus|s__Lactiplantibacillus_mudanjiangensis|t__SGB29626	0.0	0.00023	0.0212	0.00796	0.02753	0.02297	0.07896	0.0	0.0	0.00982	0.03	0.01141	0.02174	0.00633	0.08068	0.0	0.01363	0.00413	0.0	6e-05
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_hormaechei|t__SGB10130	0.0	0.00021	0.02321	0.0	0.0311	0.044	0.07291	0.0	0.0	0.0018	0.03294	0.03006	0.06462	0.0	0.06772	0.0	0.00457	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Sphingobacterium|s__Sphingobacterium_sp_T2|t__SGB28246	0.0	0.00012	0.00846	0.00045	0.00216	0.0	0.0	0.0	0.0	0.00185	0.00036	0.00496	0.00065	0.00224	0.0	0.0	0.00525	0.00257	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Furfurilactobacillus|s__Furfurilactobacillus_rossiae|t__SGB80456	0.0	0.0	0.01646	0.03022	0.03666	0.05871	0.08083	0.0	0.0	0.0	0.12282	0.00368	0.02818	0.00713	0.05996	0.0	0.01036	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lentilactobacillus|s__Lentilactobacillus_hilgardii|t__SGB7216	0.0	0.0	0.0126	0.00818	0.0	0.0	0.0	0.0	0.0	0.02717	0.00168	0.01239	0.0	0.0	0.0	0.0	0.01744	0.01327	0.0	0.0034
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_velezensis|t__SGB7785	0.0	0.0	0.00654	0.0	0.09109	0.0	0.00431	0.0	0.0	0.0	0.0417	0.00952	0.03943	0.0	0.01009	0.0	0.00133	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Komagataeibacter|s__Komagataeibacter_nataicola|t__SGB1182	0.0	0.0	0.00592	0.0005	0.0	0.0	0.0	0.0	0.0	0.0	0.00178	0.01255	0.00111	0.01148	0.0	0.0	0.00551	0.00117	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Pantoea|s__Pantoea_sp_Acro_805|t__SGB81771	0.0	0.0	0.00468	0.0	0.00227	0.0	0.03738	0.0	0.0	0.0	0.0007	0.00324	0.02905	0.0	0.03246	0.0	0.00329	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Komagataeibacter|s__Komagataeibacter_medellinensis|t__SGB1181	0.0	0.0	0.00442	0.00539	0.0	0.00149	0.02432	0.0	0.0	0.0044	0.0	0.00444	0.00363	0.02575	0.03044	0.0	0.00037	0.00058	7e-05	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Pantoea|s__Pantoea_wallisii|t__SGB10173	0.0	0.0	0.00359	0.0	0.01923	0.0	0.0063	0.0	0.0	0.0	0.00379	0.00513	0.12871	0.0	0.00704	0.0	0.00071	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Komagataeibacter|s__Komagataeibacter_sucrofermentans|t__SGB24155	0.0	0.0	0.00337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00746	0.01345	0.0	0.00123	0.0	0.0	0.00756	0.0	0.0	0.0
