sample	MilaniC_2019__SRS3591601	MilaniC_2019__SRS3591585	MilaniC_2019__SRS3591583	MilaniC_2019__SRS3591582
macrocategory	food	food	food	food
category	dairy	dairy	dairy	dairy
type	milk	cheese	milk	cheese
subtype		parmigiano_reggiano		parmigiano_reggiano
country	ITA	ITA	ITA	ITA
source	public	public	public	public
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Propionibacteriaceae|g__Acidipropionibacterium|s__Acidipropionibacterium_jensenii|t__SGB35146	0.0	0.0	0.0	0.25154
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Propionibacteriaceae|g__Brevilactibacter|s__Brevilactibacter_sinopodophylli|t__SGB35153	0.0	0.0	0.07825	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Propionibacteriaceae|g__Naumannella|s__Naumannella_halotolerans|t__SGB35136	0.0	6e-05	0.0	0.01583
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Propionibacteriaceae|g__Tessaracoccus|s__Tessaracoccus_bendigoensis|t__SGB15912	0.0	0.0	0.25221	0.0
k__Bacteria|p__Actinobacteria|c__CFGB10332|o__OFGB10332|f__FGB10332|g__GGB71907|s__GGB71907_SGB98925|t__SGB98925	0.0	0.00311	0.0	0.0
k__Bacteria|p__Actinobacteria|c__CFGB64728|o__OFGB64728|f__FGB64728|g__GGB71906|s__GGB71906_SGB98924|t__SGB98924	0.0	0.0	0.0	0.01227
k__Bacteria|p__Actinobacteria|c__CFGB64808|o__OFGB64808|f__FGB64808|g__GGB71944|s__GGB71944_SGB98980|t__SGB98980	0.0	0.0	0.0	0.00093
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus|t__SGB1871	0.19658	0.0	0.19476	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis|t__SGB1836	0.58438	0.0	0.71842	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola_dorei|t__SGB1815	0.0	0	0.02386	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola_vulgatus|t__SGB1814	0.58283	0	0.76834	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella|s__Barnesiella_sp_An22|t__SGB1967	0.19829	0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri_clade_A|t__SGB1626	1.2986	0	1.05109	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_onderdonkii|t__SGB2303	0.05786	0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis|t__SGB2318	0.58386	0	0.20862	0.0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Chryseobacterium|s__Chryseobacterium_scophthalmum|t__SGB2563	0.0	0	0.0	0.00155
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Epilithonimonas|s__Epilithonimonas_bovis|t__SGB2548	0	0	0	0.0826
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Kaistella|s__Kaistella_haifensis|t__SGB2641	0	0	0	0.00049
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB11414|o__OFGB11414|f__FGB11414|g__GGB33537|s__GGB33537_SGB46614|t__SGB46614	0	0	0	0.00059
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_italicus|t__SGB7973	0	0.00484	0	0.16509
