clade_name	BandlaA_2020__SRR10585495	BandlaA_2020__SRR10585497	BandlaA_2020__SRR10585498	BandlaA_2020__SRR10585499	BandlaA_2020__SRR10585507	BandlaA_2020__SRR10585513	BandlaA_2020__SRR10585514	BandlaA_2020__SRR10585515	BandlaA_2020__SRR10585516	BandlaA_2020__SRR10585518	BandlaA_2020__SRR10585527	BandlaA_2020__SRR10585528	BandlaA_2020__SRR10585529	BandlaA_2020__SRR10585530	BandlaA_2020__SRR10585531	BandlaA_2020__SRR10585540	BandlaA_2020__SRR10585541	BandlaA_2020__SRR10585542	BandlaA_2020__SRR10585558	BandlaA_2020__SRR10585544	BandlaA_2020__SRR10585559	BandlaA_2020__SRR10585561	BandlaA_2020__SRR10585560
k__Bacteria|p__Candidatus_Parcubacteria|c__CFGB3756|o__OFGB3756|f__FGB3756|g__GGB49619|s__GGB49619_SGB69595|t__SGB69595	0.72727	1.04262	0.8584	3.5609	0.0	0.0	0.0	0.16159	0.47756	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_citronellolis|t__SGB12328	0.65796	0.52724	0.80948	0.3019	0.0	0.90828	1.42456	2.20945	1.3727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Boseaceae|g__Bosea|s__Bosea_sp_AS_1|t__SGB31914	0.63909	0.39862	0.57601	0.46094	0.0	1.33267	1.27315	1.43094	1.15968	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingopyxis|s__Sphingopyxis_terrae|t__SGB11567	0.55879	0.00875	0.5915	0.20722	0.0	0.58045	0.60909	0.01899	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Nitrobacteraceae|g__Afipia|s__Afipia_felis|t__SGB11352	0.51365	0.40106	0.59642	1.58462	0.0	0.48035	0.68116	0.49785	0.63754	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Micropepsales|f__Micropepsaceae|g__GGB91896|s__GGB91896_SGB132609|t__SGB132609	0.50886	0.14137	0.11928	0.24515	0.0	0.12125	0.0	0.07476	0.101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Lysobacterales|f__Lysobacteraceae|g__GGB52501|s__GGB52501_SGB73371|t__SGB73371	0.44887	0.35638	1.07645	0.54862	0.0	0.31767	0.93804	0.29318	0.97298	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_sp_GCEP_101|t__SGB12322	0.44821	0.0	0.20087	0.13625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Phyllobacteriaceae|g__Mesorhizobium|s__Mesorhizobium_qingshengii|t__SGB11054	0.3496	0.13966	0.51444	0.03734	0.0	0.12415	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__GGB52572|s__GGB52572_SGB73451|t__SGB73451	0.34799	0.37387	0.2495	0.20389	0.0	0.08557	0.0	0.13715	0.13463	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingobium|s__Sphingobium_amiense|t__SGB31641	0.34328	0.02465	0.44548	0.21306	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Lysobacterales|f__Rhodanobacteraceae|g__Rhodanobacter|s__Rhodanobacter_SGB73385|t__SGB73385	0.34157	0.4124	0.3792	0.41035	0.0	0.97342	2.00731	1.35827	2.47061	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Nitrosomonadales|f__Thiobacillaceae|g__Thiobacillus|s__Thiobacillus_SGB208992|t__SGB208992	0.3184	0.0	0.11092	0.06225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas|s__Sphingomonas_yabuuchiae|t__SGB11680	0.3059	0.22196	0.12736	0.0	4.15147	2.23601	0.93853	0.0	2.06092	0.32558	0.0	2.35735	5.10916	0.0	0.0	3.96133	0.0	0.0	45.6889	0.0	28.886	39.57814	30.6695
