	FerrocinoI_2018	FerrocinoI_2018	FerrocinoI_2018	FerrocinoI_2018	FerrocinoI_2018	FerrocinoI_2018	FerrocinoI_2018	FerrocinoI_2018	FerrocinoI_2018	FerrocinoI_2018	FerrocinoI_2018	FerrocinoI_2018	FerrocinoI_2018	FerrocinoI_2018	FerrocinoI_2018	FerrocinoI_2018
sample	FerrocinoI_2018__SRS1779539	FerrocinoI_2018__SRS1779541	FerrocinoI_2018__SRS1779542	FerrocinoI_2018__SRS1779543	FerrocinoI_2018__SRS1779544	FerrocinoI_2018__SRS1779545	FerrocinoI_2018__SRS1779546	FerrocinoI_2018__SRS1779547	FerrocinoI_2018__SRS1779548	FerrocinoI_2018__SRS1779549	FerrocinoI_2018__SRS1779550	FerrocinoI_2018__SRS1779551	FerrocinoI_2018__SRS1779552	FerrocinoI_2018__SRS1779553	FerrocinoI_2018__SRS1779554	FerrocinoI_2018__SRS1779555
macrocategory	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food
category	fermented_meat	fermented_meat	fermented_meat	fermented_meat	fermented_meat	fermented_meat	fermented_meat	fermented_meat	fermented_meat	fermented_meat	fermented_meat	fermented_meat	fermented_meat	fermented_meat	fermented_meat	fermented_meat
type	meat	meat	meat	meat	meat	meat	meat	meat	meat	meat	meat	meat	meat	meat	meat	meat
subtype	felino-type_sausages	felino-type_sausages	felino-type_sausages	felino-type_sausages	felino-type_sausages	felino-type_sausages	felino-type_sausages	felino-type_sausages	felino-type_sausages	felino-type_sausages	felino-type_sausages	felino-type_sausages	felino-type_sausages	felino-type_sausages	felino-type_sausages	felino-type_sausages
country	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA
source	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Proteus|s__Proteus_vulgaris|t__SGB9993	0.0	0.0	0.0	0.0	0.0	0.03065	0.11403	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Vagococcus|s__Vagococcus_fluvialis|t__SGB7918	0.0	0.0	0.0	0.0	0.0	0.00048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_saprophyticus|t__SGB7848	0.0	0.0	0.0	0.0	0.33049	0.72931	0.56342	0.0	0.0	0.0	0.08684	0.0	0.0	0.0	0.47845	0.51687
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_succinus|t__SGB7842	0.0	0.0	0.0	0.0	0.0	0.19071	0.0	0.0	0.0	0.0	0.4291	0.0	0.0	0.0	0.04414	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Mammaliicoccus|s__Mammaliicoccus_vitulinus|t__SGB7820	0.0	0.0	0.0	0.0	0.0	1.56985	0.0	0.0	0.0	0.0	0.08574	0.0	0.0	0.0	0.21347	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Ewingella|s__Ewingella_americana|t__SGB10238	0.0	0.0	0.0	0.0	0.01539	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Latilactobacillus|s__Latilactobacillus_curvatus|t__SGB7249	1.48275	20.1403	0.0	0.0	24.58302	11.81851	6.37376	0.0	0.01144	0.0	13.06628	0.02094	0.0	0.0	16.56034	11.82676
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Serratia|s__Serratia_liquefaciens|t__SGB10256	0.0	0.0	0.0	0.0	0.20447	0.02573	1.26924	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Psychrobacter|s__Psychrobacter_pasteurii|t__SGB10444	0.0	0.0	0.0	0.0	0.0	0.01575	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae|g__Aerococcus|s__Aerococcus_urinaeequi|t__SGB7897	0.0	0.0	0.0	0.0	0.0	0.13631	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06307	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_shinii|t__SGB7846	0.0	0.0	0.0	0.0	0.0	1.87986	0.0	0.0	0.0	0.0	0.41025	0.0	0.0	0.0	0.14229	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_petauri|t__SGB7980	0.0	0.0	0.0	0.0	0.03851	0.0	0.53502	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3837
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Macrococcoides|s__Macrococcoides_caseolyticum|t__SGB7869	0.0	0.0	0.0	0.0	1.47879	0.70004	14.55803	0.0	0.0	0.0	0.01426	0.0	0.0	0.0	0.07972	0.37499
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Pediococcus|s__Pediococcus_pentosaceus|t__SGB7169	0.0	0.0	0.0	0.0	0.2903	0.08216	0.0	0.0	0.0	0.0	0.02376	0.0	0.0	0.0	0.42625	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_fallax|t__SGB29566	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01674	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Levilactobacillus|s__Levilactobacillus_brevis|t__SGB7196	0.1031	0.0	0.0	0.0	0.0	0.36885	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8204	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Loigolactobacillus|s__Loigolactobacillus_coryniformis|t__SGB7198	0.0552	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12112	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Weissella|s__Weissella_paramesenteroides|t__SGB7118	0.0	0.0	0.0	0.0	0.0	0.00317	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01251	0.0
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Candida|s__Candida_parapsilosis|t__EUK5480	0.0	0.0	0.0	0.0	0.02761	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Mammaliicoccus|s__Mammaliicoccus_sciuri|t__SGB7818	0.0	0.0	0.0	0.0	0.17929	0.36381	0.8362	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08756	0.26372
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_citreum|t__SGB7122	0.0621	0.0	0.0	0.0	0.0	5.00773	0.0	0.0	0.0	0.0	1.27295	0.0	0.0	0.0	2.06945	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_formosensis|t__SGB7981	0.0	0.0	0.0	0.0	2.06475	1.0957	7.89068	0.0	0.0	0.0	1.56715	0.0	0.0	0.0	0.58788	1.5059
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Pediococcus|s__Pediococcus_acidilactici|t__SGB7168	0.0	0.0	0.0	0.0	0.27708	0.23323	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.05922	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_gelidum|t__SGB96977	0.0	0.0	0.0	0.0	0.53194	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.19129
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_garvieae|t__SGB7979	0.0	0.0	0.0	0.0	0.34241	0.67808	4.66069	0.0	0.0	0.0	0.18663	0.0	0.0	0.0	0.13312	0.61779
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Weissella|s__Weissella_viridescens|t__SGB7111	0.0	0.0	0.0	0.0	0.0	0.00672	0.0	0.0	0.0	0.0	0.04364	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter_radioresistens|t__SGB10375	0.0	0.0	0.01931	0.0	0.0	0.0148	0.0	2.71841	0.01722	0.1695	0.05432	0.03539	0.03292	11.01026	0.05155	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Latilactobacillus|s__Latilactobacillus_sakei|t__SGB7248	87.15656	51.802	93.52775	79.66483	46.57061	42.62959	36.46803	70.8641	98.84803	93.2165	66.65565	99.42081	93.68855	41.39497	59.55288	44.01755
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_carnosum|t__SGB7129	0.0244	0.95773	0.0	0.0	6.20209	0.38682	4.56458	0.0	0.0	0.0	0.09701	0.0	0.0	0.0	0.1846	13.27438
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_aureus|t__SGB7852	0.0	25.83349	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Listeriaceae|g__Brochothrix|s__Brochothrix_thermosphacta|t__SGB7517	0.0	0.0	0.0	0.0	1.25011	1.88661	4.72599	0.0	0.0	0.0	0.13767	0.0	0.0	0.0	0.62315	2.95803
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_gasicomitatum|t__SGB7127	0.0	1.26648	0.0	0.0	9.60952	0.0	0.56577	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.5252
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Weissella|s__Weissella_sagaensis|t__SGB29577	0.0	0.0	0.0	0.0	0.04007	0.52398	0.0	0.0	0.0	0.0	0.18497	0.0	0.0	0.0	0.06509	0.0
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Ralstonia|s__Ralstonia_pickettii|t__SGB12924	0.0658	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02244	0.0	8.11675	0.0	0.0
