clade_name	BuzzancaD_2024__SRR30684823	BuzzancaD_2024__SRR30684824	BuzzancaD_2024__SRR30684825	BuzzancaD_2024__SRR30684827	BuzzancaD_2024__SRR30684826	BuzzancaD_2024__SRR30684828	BuzzancaD_2024__SRR30684829	BuzzancaD_2024__SRR30684830	BuzzancaD_2024__SRR30684831	BuzzancaD_2024__SRR30684832	BuzzancaD_2024__SRR30684833	BuzzancaD_2024__SRR30684834	BuzzancaD_2024__SRR30684835	BuzzancaD_2024__SRR30684836	BuzzancaD_2024__SRR30684837	BuzzancaD_2024__SRR30684838	BuzzancaD_2024__SRR30684839	BuzzancaD_2024__SRR30684840	BuzzancaD_2024__SRR30684841	BuzzancaD_2024__SRR30684842	BuzzancaD_2024__SRR30684843	BuzzancaD_2024__SRR30684844	BuzzancaD_2024__SRR30684845	BuzzancaD_2024__SRR30684846	BuzzancaD_2024__SRR30684847	BuzzancaD_2024__SRR30684848	BuzzancaD_2024__SRR30684849	BuzzancaD_2024__SRR30684850	BuzzancaD_2024__SRR30684851	BuzzancaD_2024__SRR30684852	BuzzancaD_2024__SRR30684853	BuzzancaD_2024__SRR30684854	BuzzancaD_2024__SRR30684855	BuzzancaD_2024__SRR30684856	BuzzancaD_2024__SRR30684857	BuzzancaD_2024__SRR30684858	BuzzancaD_2024__SRR30684859	BuzzancaD_2024__SRR30684860	BuzzancaD_2024__SRR30684861
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_lactis|t__SGB7985	0.0	6.44143	79.95649	81.20615	83.53733	81.20495	70.69039	93.41153	2.84619	9.60199	10.02813	11.48098	10.62715	1.78564	2.12757	3.78688	0.0	79.0066	55.70162	79.26416	88.87624	48.49058	2.06638	2.43608	22.36046	3.67325	15.22816	12.36146	26.9767	8.74556	94.77512	81.70905	9.73249	1.19194	3.3671	39.39203	3.65459	0.59487	22.44794
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_parauberis|t__SGB8228	0.0	3.79677	0.01117	17.61804	0.0	0.29119	22.14835	0.0	0.99393	0.0	0.0	0.0031	0.01686	0.0	0.0	0.01522	0.0	0.00523	15.31723	0.0	0.0	0.89346	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00203	0.0	0.2063	0.00719	0.0	0.00229	0.00025	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Serratia|s__Serratia_liquefaciens|t__SGB10256	0.0	0.59231	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00485	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00422	0.00084	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Hafniaceae|g__Hafnia|s__Hafnia_alvei|t__SGB10209	0.0	0.40483	0.0	0.0	0.00568	0.0	0.01933	0.0	0.01491	0.0	0.0	0.0	0.0	0.0	0.0	0.0123	0.0	0.0	0.06507	0.0	0.0	0.00866	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03564	0.0	0.02338	0.0056	0.0	0.00353	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Rahnella|s__Rahnella_bonaserana|t__SGB81714	0.0	0.32575	0.0	0.0	0.0	0.0	0.0	0.0	0.00058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Raoultella|s__Raoultella_terrigena|t__SGB10122	0.0	0.23502	0.0	0.0	0.0	0.0	0.0	0.0	0.37903	0.0	0.02556	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00427	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04938	0.0	0.0	0.0	0.0	0.0	0.0
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Pichiaceae|g__Pichia|s__Pichia_fermentans|t__EUK53655	0.0	0.09504	0.0	0.0	0.0	0.0	0.00044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00824	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00212	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00425	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter_guillouiae|t__SGB10380	0.0	0.09341	0.0	0.20799	0.0	0.04595	0.00286	0.0	0.15829	0.0	0.0	0.0006	0.0	0.0	0.0	0.03389	0.0	0.00162	0.00509	0.02697	0.0	0.07858	0.0	0.0072	0.0	0.0	0.0	0.0	0.03165	0.0	0.0	0.0	0.00445	0.00232	0.0	0.0	0.0	0.0	0.0
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Debaryomyces|s__Debaryomyces_hansenii_group_1|t__EUK4959_1	0.0	0.09011	0.0438	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00302	0.0	0.0	0.0	0.0	0.02612	0.0	0.03069	0.0	0.0	0.0	0.00618	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00732	0.0	0.00053
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_laudensis|t__SGB7991	0.0	0.08371	0.0	0.0	0.0	2.01464	0.0	0.0	0.0	0.0	0.0	0.0	0.48904	0.0	0.0	18.41242	0.0	0.0	0.0	18.65651	0.0	0.0	0.0	0.0	0.0	12.48372	0.0	0.0	0.0	0.0	0.0	0.93098	0.0	29.64773	39.26683	10.70044	38.25984	0.0	0.0
