	YuY_2022	YuY_2022	YuY_2022	YuY_2022	YuY_2022	YuY_2022	YuY_2022	YuY_2022	YuY_2022
sample	YuY_2022__SRR16950696	YuY_2022__SRR16950697	YuY_2022__SRR16950698	YuY_2022__SRR16950699	YuY_2022__SRR16950700	YuY_2022__SRR16950701	YuY_2022__SRR16950702	YuY_2022__SRR16950703	YuY_2022__SRR16950704
macrocategory	food	food	food	food	food	food	food	food	food
category	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds
type	mustard	mustard	mustard	mustard	mustard	mustard	mustard	mustard	mustard
subtype									
country	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN	CHN
source	public	public	public	public	public	public	public	public	public
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lentilactobacillus|s__Lentilactobacillus_kisonensis|t__SGB7223	0.01138	0.01239	0.01129	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Levilactobacillus|s__Levilactobacillus_lindianensis|t__SGB29633	0.12632	0.13642	0.11348	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Brevundimonas|s__Brevundimonas_vesicularis|t__SGB11742_group	0.00169	0.0	0.00245	0.01287	0.00622	0.01006	0.0623	0.06851	0.06116
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_warneri|t__SGB7857	0.0	0.0	0.00093	0.0	0.00145	0.00092	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Levilactobacillus|s__Levilactobacillus_fujinensis|t__SGB29642	0.01209	0.01185	0.01178	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Companilactobacillus|s__Companilactobacillus_kedongensis|t__SGB29560	5e-05	2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter_beijerinckii|t__SGB10371	0.0	0.0	0.0	0.00846	0.00564	0.00623	0.0314	0.03277	0.03387
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Levilactobacillus|s__Levilactobacillus_senmaizukei|t__SGB7197	0.02079	0.02036	0.01724	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__Shinella|s__Shinella_oryzae|t__SGB32107	0.0	0.0	0.0	0.00807	0.00608	0.00641	0.07042	0.07016	0.07873
k__Bacteria|p__Bacteroidota|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__GGB56634|s__GGB56634_SGB78050|t__SGB78050	0.0	0.0	0.0	0.0	0.0	0.0	0.00139	0.00118	0.00059
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Hyphomicrobiales_unclassified|g__Hyphomicrobiales_unclassified|s__Hyphomicrobiales_bacterium|t__SGB11081	0.00497	0.00598	0.00596	0.01609	0.0114	0.01317	0.20741	0.21496	0.27165
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Hyphomicrobiales_unclassified|g__Hyphomicrobiales_unclassified|s__Hyphomicrobiales_bacterium|t__SGB11084	0.00315	0.00221	0.00162	0.00381	0.00403	0.00316	0.07483	0.07315	0.09221
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Paucilactobacillus|s__Paucilactobacillus_hokkaidonensis|t__SGB7184	0.01595	0.01513	0.01394	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_acetotolerans|t__SGB7027	0.22049	0.23318	0.26216	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Levilactobacillus|s__Levilactobacillus_yonginensis|t__SGB29639	0.00741	0.00786	0.00569	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Aeromonadales|f__Aeromonadaceae|g__Aeromonas|s__Aeromonas_media|t__SGB9957	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0036	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Lysobacterales|f__Lysobacteraceae|g__Stenotrophomonas|s__Stenotrophomonas_indicatrix|t__SGB12448	0.0	0.0	0.0	0.0	0.0	0.00021	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__Agrobacterium|s__Agrobacterium_sp_AGB01|t__SGB89571	0.0	0.0	0.0	0.0	0.0	0.0	0.0005	0.0	0.00011
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Duganella|s__Duganella_zoogloeoides|t__SGB12864	0.00372	0.00309	0.00028	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Lysobacterales|f__Lysobacteraceae|g__Xanthomonas|s__Xanthomonas_campestris|t__SGB12430	0.01033	0.01288	0.00665	0.11223	0.07981	0.09811	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Sphingobacterium|s__Sphingobacterium_sp_2149|t__SGB36183	0.0	0.0	0.0	0.0	0.0	0.0	0.00678	0.00532	0.00331
k__Bacteria|p__Bacteroidota|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Sphingobacterium|s__Sphingobacterium_SGB36187|t__SGB36187	0.0	0.0	0.0	0.00216	0.00239	0.00244	0.06168	0.04381	0.038
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Pediococcus|s__Pediococcus_ethanolidurans|t__SGB7178	3.43432	3.75413	3.77694	0.0	0.0	0.0	0.0	0.0	0.00022
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Pichiaceae|g__Pichia|s__Pichia_fermentans|t__EUK53655	0.00205	0.00247	0.00242	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_miyukkimchii|t__SGB69409	0.00091	0.00023	0.0003	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Caryophanaceae|g__Caryophanaceae_unclassified|s__Planococcaceae_bacterium|t__SGB29938	0.0	0.0	0.0	0.0	0.0	0.00047	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Leclercia|s__Leclercia_adecarboxylata|t__SGB10150	0.00131	0.0	0.00067	0.0132	0.01296	0.00945	0.02718	0.0333	0.0445
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_kimchii|t__SGB7128	0.0	0.00023	0.00024	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Weissella|s__Weissella_koreensis|t__SGB7108	0.00586	0.00912	0.00814	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactiplantibacillus|s__Lactiplantibacillus_pingfangensis|t__SGB49077	0.00475	0.00407	0.00368	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactiplantibacillus|s__Lactiplantibacillus_dongliensis|t__SGB49078	0.02605	0.02785	0.02487	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Levilactobacillus|s__Levilactobacillus_koreensis|t__SGB7192	0.01839	0.0201	0.01784	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Levilactobacillus|s__Levilactobacillus_parabrevis|t__SGB7193	0.31015	0.33406	0.28245	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Secundilactobacillus|s__Secundilactobacillus_malefermentans|t__SGB209928	0.8104	1.11277	0.90317	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Levilactobacillus|s__Levilactobacillus_tongjiangensis|t__SGB29640	0.00627	0.0075	0.00645	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Secundilactobacillus|s__Secundilactobacillus_silagei|t__SGB7208	0.78296	0.79025	0.71797	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Paracidovorax|s__Paracidovorax_wautersii|t__SGB12706	0.01176	0.01762	0.00921	0.0	0.0	0.0	0.00123	0.0	0.00218
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Companilactobacillus|s__Companilactobacillus_hulinensis|t__SGB29564	0.00102	0.00197	0.00096	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Latilactobacillus|s__Latilactobacillus_SGB25032|t__SGB25032	0.0302	0.0365	0.03228	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_putida|t__SGB12280	0.0	0.0	0.0	0.0	0.0	0.0	0.00372	0.00118	0.00284
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingobium|s__Sphingobium_limneticum|t__SGB31652	0.0	0.0	0.0	0.0	0.0	0.00053	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Brevundimonas|s__Brevundimonas_vesicularis|t__SGB31766	0.0	0.0	0.0	0.0	0.00099	0.00157	0.0	0.00249	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Exiguobacterium|s__Exiguobacterium_acetylicum|t__SGB8325	0.0	0.0	0.0	0.0	0.0036	0.00334	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_cancerogenus|t__SGB10128	0.00087	0.00057	0.00074	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Devosiaceae|g__Devosia|s__Devosia_sp_BK|t__SGB10973	0.0	0.0	0.0	0.0	0.0	0.0	0.00144	0.00045	0.0016
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_unclassified|g__Aquabacterium|s__Aquabacterium_SGB22426|t__SGB22426	0.0	0.0	0.0	0.0	0.0	0.0	0.00074	0.0	0.00016
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides|s__Nocardioides_kribbensis|t__SGB15975	0.0	0.0	0.0	0.00136	6e-05	0.00134	0.0292	0.02595	0.02899
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__GGB72467|s__GGB72467_SGB99677|t__SGB99677	0.0	0.00014	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas|s__Sphingomonas_parapaucimobilis|t__SGB11678	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00404	0.00224
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Herbaspirillum|s__Herbaspirillum_sp_C7C8|t__SGB12896	0.0	0.0	0.0	0.0	0.0	0.0	0.00563	0.00477	0.00333
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Methylobacteriaceae|g__Methylobacterium|s__Methylobacterium_gossipiicola|t__SGB11406	0.00264	0.00362	0.00194	0.012	0.00822	0.0095	0.13516	0.12916	0.14019
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Methylobacteriaceae|g__Methylorubrum|s__Methylorubrum_extorquens|t__SGB11392	0.00114	0.00103	0.00052	0.00849	0.00192	0.00597	0.11553	0.11157	0.14884
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Microbacteriaceae|g__Microbacterium|s__Microbacterium_testaceum|t__SGB16900	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_putida|t__SGB12290	0.0	0.0	0.0	0.0002	0.0	0.0	0.02965	0.03001	0.0284
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides|s__Nocardioides_SGB107694|t__SGB107694	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00135	0.00056
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Nitrosomonadales|f__Methylophilaceae|g__Methylophilus|s__Methylophilus_sp_QUAN|t__SGB80892	0.0	0.0	0.0	0.0	0.0	0.0	0.0006	0.00152	0.00071
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Micrococcaceae|g__Glutamicibacter|s__Glutamicibacter_nicotianae|t__SGB16750	0.0	0.0	0.0	0.00124	0.00048	0.00064	0.0094	0.01178	0.01168
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Microbacteriaceae|g__Microbacterium|s__Microbacterium_gawkjiense|t__SGB16908	0.00297	0.00302	0.00317	0.00836	0.00676	0.01032	0.01979	0.01567	0.02097
k__Bacteria|p__Cyanobacteriota|c__Cyanophyceae|o__Geitlerinematales|f__Geitlerinemataceae|g__Geitlerinema|s__Geitlerinema_sp_PCC_7407|t__SGB13386	0.0	0.0	0.0	0.0	0.0	0.0	0.00081	9e-05	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Peribacillus|s__Peribacillus_frigoritolerans|t__SGB7541	0.0	0.0	0.0	0.0	0.0	0.0	0.01084	0.00635	0.01351
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Priestia|s__Priestia_endophytica|t__SGB205877	0.0	0.0	0.0	0.02362	0.02298	0.02291	0.10836	0.11611	0.09122
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Terribacillus|s__Terribacillus_saccharophilus|t__SGB7762	0.0	0.0	0.0	0.0526	0.05152	0.05546	1.19884	1.26119	1.19623
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Rossellomorea|s__Rossellomorea_marisflavi|t__SGB7720	0.0	0.0	0.0	0.01857	0.01666	0.0199	0.30548	0.28536	0.29237
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas|s__Sphingomonas_panni|t__SGB111724	0.0	0.0	0.0	0.00241	0.00226	0.00316	0.01257	0.01039	0.01655
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Nocardiaceae|g__Rhodococcoides|s__Rhodococcoides_corynebacterioides|t__SGB110863	0.0	0.0	0.0	0.0	0.0	0.0	0.00011	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Nocardioidaceae|g__Aeromicrobium|s__Aeromicrobium_sp_Leaf245|t__SGB15989	0.0	0.00045	0.0	0.00083	0.00095	0.00109	0.0031	0.00193	0.00344
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__Shinella|s__Shinella_sp_GWS1|t__SGB11203	0.0	0.0	0.0	0.00028	0.0	0.0	0.01337	0.01122	0.01807
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Brevundimonas|s__Brevundimonas_sp_M20|t__SGB89361	0.0	0.0	0.0	0.0	0.0	0.0	0.00588	0.00424	0.00476
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Brevundimonas|s__Brevundimonas_aurantiaca|t__SGB11740	0.0	0.0	0.0	0.0	0.0	0.0	0.01081	0.00788	0.00777
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__Agrobacterium|s__Agrobacterium_tumefaciens|t__SGB11094	0.0	0.0	0.0	0.0	0.0	0.0	0.02536	0.02943	0.03126
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__Rhizobium|s__Rhizobium_rosettiformans|t__SGB32156	0.0	0.0	0.0	0.0	0.0	0.0	0.00102	0.001	0.00137
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Priestia|s__Priestia_filamentosa|t__SGB7676	0.0	0.0	0.0	0.00462	0.00131	0.00246	0.02438	0.03845	0.02255
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Leclercia|s__Leclercia_adecarboxylata|t__SGB38386	0.00302	0.00112	0.00271	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Priestia|s__Priestia_flexa|t__SGB7677	0.00707	0.01699	0.0127	0.64992	0.62485	0.58342	1.95968	1.82113	1.71153
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Priestia|s__Priestia_flexa|t__SGB25213	0.0	0.0	0.0	0.00539	0.00463	0.00356	0.03094	0.03323	0.02496
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Niallia|s__Niallia_circulans|t__SGB7550	0.0	0.0	0.0	0.0	0.0	0.0	0.01058	0.00468	0.00777
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Secundilactobacillus|s__Secundilactobacillus_hailunensis|t__SGB49084	0.14399	0.1729	0.15657	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Herbaspirillum|s__Herbaspirillum_seropedicae|t__SGB12893	0.00976	0.01029	0.00709	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Nitrosomonadales|f__Methylophilaceae|g__Methylovorus|s__Methylovorus_glucosotrophus|t__SGB9483	0.00201	0.00282	0.001	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_unclassified|g__Aquabacterium|s__Aquabacterium_soli|t__SGB32542	0.00137	0.00159	0.00092	0.00934	0.00855	0.0094	0.21199	0.19563	0.19911
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Loigolactobacillus|s__Loigolactobacillus_iwatensis|t__SGB29621	0.00114	0.00048	0.00131	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Nitrosomonadales|f__Methylophilaceae|g__Methylophilus|s__Methylophilus_sp_13|t__SGB80893	0.00113	0.00116	0.00094	0.04992	0.04599	0.04589	0.2435	0.2002	0.20244
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Herbaspirillum|s__Herbaspirillum_huttiense|t__SGB12894	0.0	0.00079	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Methylobacteriaceae|g__Methylobacterium|s__Methylobacterium_oryzae|t__SGB11385	0.0	0.00074	0.0	0.00318	0.00341	0.00347	0.12248	0.1219	0.12307
k__Bacteria|p__Campylobacterota|c__Epsilonproteobacteria|o__Campylobacterales|f__Arcobacteraceae|g__Arcobacter|s__Arcobacter_venerupis|t__SGB28485	0.0	0.0	0.00114	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Terribacillus|s__Terribacillus_saccharophilus|t__SGB7764	0.0	0.0	0.0	0.03655	0.03715	0.03523	0.38041	0.35379	0.36752
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_unclassified|g__Aquabacterium|s__Aquabacterium_SGB38588|t__SGB38588	0.0	0.0	0.0	0.01423	0.01251	0.01256	0.12712	0.10697	0.11026
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_dicomae|t__SGB82798	0.0	0.0	0.0	0.00892	0.00319	0.00118	0.11031	0.13552	0.06913
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Caulobacter|s__Caulobacter_sp_602_1|t__SGB31781	0.0	0.0	0.0	0.00679	0.00597	0.0075	0.01895	0.01233	0.01287
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Achromobacter|s__Achromobacter_xylosoxidans|t__SGB13140	0.0	0.0	0.0	0.00509	0.00418	0.00308	0.0602	0.05346	0.04797
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Terribacillus|s__Terribacillus_halophilus|t__SGB30077	0.0	0.0	0.0	0.00495	0.00541	0.00518	0.04857	0.04209	0.04761
k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium|s__Flavobacterium_lindanitolerans|t__SGB2933	0.0	0.0	0.0	0.00489	0.00252	0.00308	0.03186	0.02579	0.02337
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas|s__Sphingomonas_hankookensis|t__SGB11671	0.0	0.0	0.0	0.00239	0.00358	0.00251	0.01289	0.00812	0.00641
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Nitrosomonadales|f__Methylophilaceae|g__Methylophilus|s__Methylophilus_methylotrophus|t__SGB23324	0.0	0.0	0.0	0.00185	0.00229	0.00215	0.02952	0.02641	0.02338
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides|s__Nocardioides_SGB73688|t__SGB73688	0.0	0.0	0.0	0.00141	0.00114	0.00162	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Terribacillus|s__Terribacillus_sp_DMT04|t__SGB109804	0.0	0.0	0.0	0.00074	0.00045	0.00147	0.0216	0.02164	0.02204
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_unclassified|g__Aquabacterium|s__Aquabacterium_SGB178799|t__SGB178799	0.0	0.0	0.0	0.00031	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_inaquosorum|t__SGB7790	0.0	0.0	0.0	0.0	0.00258	0.0	0.02565	0.02567	0.02806
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__Agrobacterium|s__Agrobacterium_salinitolerans|t__SGB11093	0.0	0.0	0.0	0.0	0.0	0.0	0.1025	0.10641	0.12474
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Methylobacteriaceae|g__Methylobacterium|s__Methylobacterium_fujisawaense|t__SGB11384	0.0	0.0	0.0	0.0	0.0	0.0	0.02286	0.03291	0.02308
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Cytobacillus|s__Cytobacillus_firmus|t__SGB7570	0.0	0.0	0.0	0.0	0.0	0.0	0.01415	0.00686	0.01566
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__Agrobacterium|s__Agrobacterium_tumefaciens|t__SGB11095	0.0	0.0	0.0	0.0	0.0	0.0	0.01156	0.00976	0.0182
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Microbacteriaceae|g__Microbacterium|s__Microbacterium_enclense|t__SGB16897	0.0	0.0	0.0	0.0	0.0	0.0	0.01086	0.00526	0.01237
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Stutzerimonas|s__Stutzerimonas_urumqiensis|t__SGB33300	0.0	0.0	0.0	0.0	0.0	0.0	0.01072	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Lysobacterales|f__Lysobacteraceae|g__Xanthomonas|s__Xanthomonas_sacchari|t__SGB12502	0.0	0.0	0.0	0.0	0.0	0.0	0.00906	0.01137	0.01309
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Nitrosomonadales|f__Methylophilaceae|g__Methylobacillus|s__Methylobacillus_glycogenes|t__SGB30604	0.0	0.0	0.0	0.0	0.0	0.0	0.00437	0.00176	0.00134
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_hominis|t__SGB7690	0.0	0.0	0.0	0.0	0.0	0.0	0.00422	0.02284	0.00293
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus_massiliensis|t__SGB29195	0.0	0.0	0.0	0.0	0.0	0.0	0.00367	0.00374	0.00334
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Achromobacter|s__Achromobacter_dolens|t__SGB208923	0.0	0.0	0.0	0.0	0.0	0.0	0.00364	0.0	0.00061
