sample	LiZ_2018__SRS2920555	LiZ_2018__SRS2920554	LiZ_2018__SRS2920553	LiZ_2018__SRS2920552	LiZ_2018__SRS2920551	LiZ_2018__SRS2920550
macrocategory	food	food	food	food	food	food
category	fermented_beverages	fermented_beverages	fermented_beverages	fermented_beverages	fermented_beverages	fermented_beverages
type	tea	tea	tea	tea	tea	tea
subtype	pu-erh_tea	pu-erh_tea	pu-erh_tea	pu-erh_tea	pu-erh_tea	pu-erh_tea
country	CHN	CHN	CHN	CHN	CHN	CHN
source	public	public	public	public	public	public
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Sphingobacterium|s__Sphingobacterium_sp_T2|t__SGB28246	4.91318	0.0	0.0	0.0	4.98128	3.044
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Sphingobacterium|s__Sphingobacterium_thalpophilum|t__SGB28240	0.35901	0.0	0.0	0.0	0.30522	0.24965
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Thermales|f__Thermaceae|g__Thermus|s__Thermus_scotoductus|t__SGB17564	0.0	0.0	0.0	0.0	0.00489	0.01371
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Aeribacillus|s__Aeribacillus_pallidus|t__SGB8340	0.02105	0.0	0.0	0.0	0.02017	0.01159
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_renqingensis|t__SGB94607	0.22479	0.0	0.0	0.0	0.19619	0.13398
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_sp_JC_4|t__SGB66482	0.00291	0.0	0.0	0.0	0.00508	0.0034
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_sp_SD088|t__SGB94636	0.00265	0.0	0.0	0.0	0.00268	0.001
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_subtilis|t__SGB82812	2.04906	0.0	0.0	0.0	2.27597	1.52949
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Caldibacillus|s__Caldibacillus_thermoamylovorans|t__SGB7728	7.14343	0.0	0.0	0.0	7.58658	5.43362
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Heyndrickxia|s__Heyndrickxia_oleronia|t__SGB7732	0.08545	0.0	0.0	0.0	0.08195	0.05327
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Lederbergia|s__Lederbergia_citri|t__SGB94634	0.0019	0.0	0.0	0.0	0.00189	0.00134
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Lederbergia|s__Lederbergia_galactosidilytica|t__SGB7644	0.0	0.0	0.0	0.0	0.0001	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Lysinibacillus|s__Lysinibacillus_endophyticus|t__SGB7475	0.00364	0.0	0.0	0.0	0.00711	0.00297
